"","var","chao"
"1","Vogue1A.01.003",19
"2","Vogue1A.01.004",25
"3","Vogue1A.01.005",27
"4","Vogue1A.01.006",21
"5","Vogue1A.01.007",17
"6","Vogue1A.01.008",18
"7","Vogue1A.01.009",20
"8","Vogue1A.01.010",18
"9","Vogue1A.01.011",18
"10","Vogue1A.01.012",18
"11","Vogue1A.01.013",26
"12","Vogue1A.01.014",16
"13","Vogue1A.01.015",22
"14","Vogue1A.01.016",14
"15","Vogue1A.01.017",22
"16","Vogue1A.01.018",18
"17","Vogue1A.01.019",16
"18","Vogue1A.01.020",19
"19","Vogue1A.01.021",21
"20","Vogue1A.01.022",18
"21","Vogue1A.01.023",25
"22","Vogue1A.01.024",21
"23","Vogue1A.01.025",27
"24","Vogue1A.01.026",23
"25","Vogue1A.01.027",13
"26","Vogue1A.01.028",18
"27","Vogue1A.01.029",12
"28","Vogue1A.01.030",16
"29","Vogue1A.01.031",22
"30","Vogue1A.01.032",18
"31","Vogue1A.01.033",12
"32","Vogue1A.01.034",21
"33","Vogue1A.01.035",23
"34","Vogue1A.01.036",23
"35","Vogue1A.01.037",21
"36","Vogue1A.01.038",27
"37","Vogue1A.01.039",19
"38","Vogue1A.01.040",12
"39","Vogue1A.01.041",12
"40","Vogue1A.01.042",10
"41","Vogue1A.01.043",14
"42","Vogue1A.01.044",15
"43","Vogue1A.01.045",15
"44","Vogue1A.01.046",25
"45","Vogue1A.01.047",17
"46","Vogue1A.01.048",13
"47","Vogue1A.01.049",15
"48","Vogue1A.01.050",16
"49","Vogue1A.01.051",20
"50","Vogue1A.01.052",22
"51","Vogue1A.01.053",23
"52","Vogue1A.01.054",19
"53","Vogue1A.01.055",24
"54","Vogue1A.01.057",20
"55","Vogue1A.01.059",20
"56","Vogue1A.01.060",18
"57","Vogue1A.01.061",19
"58","Vogue1A.01.062",21
"59","Vogue1A.01.063",23
"60","Vogue1A.01.064",13
"61","Vogue1A.01.065",22
"62","Vogue1A.01.066",16
"63","Vogue1A.01.067",17
"64","Vogue1A.01.068",19
"65","Vogue1A.01.069",14
"66","Vogue1A.01.070",18
"67","Vogue1A.01.071",17
"68","Vogue1A.01.072",13
"69","Vogue1A.01.073",13
"70","Vogue1A.01.074",24
"71","Vogue1A.01.075",18
"72","Vogue1A.01.076",22
"73","Vogue1A.01.077",13
"74","Vogue1A.01.078",17
"75","Vogue1A.01.079",9
"76","Vogue1A.01.080",16
"77","Vogue1A.01.081",14
"78","Vogue1A.01.082",15
"79","Vogue1A.01.083",16
"80","Vogue1A.01.084",12
"81","Vogue1A.01.085",20
"82","Vogue1A.01.086",16
"83","Vogue1A.01.087",21
"84","Vogue1A.01.088",16
"85","Vogue1A.01.089",16
"86","Vogue1A.01.090",16
"87","Vogue1A.01.091",23
"88","Vogue1A.01.092",15
"89","Vogue1A.01.093",10
"90","Vogue1A.01.094",13
"91","Vogue1A.01.095",12
"92","Vogue1A.01.096",17
"93","Vogue1A.01.097",11
"94","Vogue1A.01.098",21
"95","Vogue1A.01.099",15
"96","Vogue1A.01.100",12
"97","Vogue1A.01.101",11
"98","Vogue1A.01.102",15
"99","Vogue1A.01.103",29
"100","Vogue1A.01.104",20
"101","Vogue1A.01.105",6
"102","Vogue1A.01.106",19
"103","Vogue1A.01.107",23
"104","Vogue1A.01.108",19
"105","Vogue1A.01.109",24
"106","Vogue1A.01.110",20
"107","Vogue1A.01.111",25
"108","Vogue1A.01.112",20
"109","Vogue1A.01.113",23
"110","Vogue1A.01.114",26
"111","Vogue1A.01.115",23
"112","Vogue1A.01.116",24
"113","Vogue1A.01.117",18
"114","Vogue1A.01.118",14
"115","Vogue1A.01.119",23
"116","Vogue1A.01.120",17
"117","Vogue1A.01.121",22
"118","Vogue1A.01.122",26
"119","Vogue1A.01.123",28
"120","Vogue1A.01.124",13
"121","Vogue1A.01.125",24
"122","Vogue1A.01.126",24
"123","Vogue1A.01.127",20
"124","Vogue1A.01.128",26
"125","Vogue1A.01.129",25
"126","Vogue1A.01.130",23
"127","Vogue1A.01.131",21
"128","Vogue1A.01.132",24
"129","Vogue1A.01.133",21
"130","Vogue1A.01.134",22
"131","Vogue1A.01.135",22
"132","Vogue1A.01.136",21
"133","Vogue1A.01.137",18
"134","Vogue1A.01.138",14
"135","Vogue1A.01.139",24
"136","Vogue1A.01.140",23
"137","Vogue1A.01.141",24
"138","Vogue1A.01.142",18
"139","Vogue1A.01.143",17
"140","Vogue1A.01.144",21
"141","Vogue1A.01.145",19
"142","Vogue1A.01.146",19
"143","Vogue1A.01.147",21
"144","Vogue1A.01.148",24
"145","Vogue1A.01.149",15
"146","Vogue1A.01.150",15
"147","Vogue1A.01.151",13
"148","Vogue1A.01.152",12
"149","Vogue1A.01.154",16
"150","Vogue1A.01.155",8
"151","Vogue1A.01.156",14
"152","Vogue1A.01.157",8
"153","Vogue1A.01.158",22
"154","Vogue1A.01.159",14
"155","Vogue1A.01.160",14
"156","Vogue1A.01.161",18
"157","Vogue1A.01.162",14
"158","Vogue1A.01.163",16
"159","Vogue1A.01.164",19
"160","Vogue1A.01.166",5
"161","Vogue1A.01.167",13
"162","Vogue1A.01.168",14
"163","Vogue1A.01.169",17
"164","Vogue1A.01.170",19
"165","Vogue1A.01.171",12
"166","Vogue1A.01.172",16
"167","Vogue1A.01.173",13
"168","Vogue1A.01.174",13
"169","Vogue1A.01.175",9
"170","Vogue1A.01.176",14
"171","Vogue1A.01.177",17
"172","Vogue1A.01.179",10
"173","Vogue1A.01.180",19
"174","Vogue1A.01.181",14
"175","Vogue1A.01.183",18
"176","Vogue1A.01.184",12
"177","Vogue1A.01.185",20
"178","Vogue1A.01.186",16
"179","Vogue1A.01.187",17
"180","Vogue1A.01.188",14
"181","Vogue1A.01.189",15
"182","Vogue1A.01.190",17
"183","Vogue1A.01.191",14
"184","Vogue1A.01.192",20
"185","Vogue1A.01.193",22
"186","Vogue1A.01.194",15
"187","Vogue1A.01.195",21
"188","Vogue1A.01.196",14
"189","Vogue1A.01.197",16
"190","Vogue1A.01.198",23
"191","Vogue1A.01.199",14
"192","Vogue1A.01.200",17
"193","Vogue1A.01.201",16
"194","Vogue1A.01.202",20
"195","Vogue1A.01.203",22
"196","Vogue1A.01.204",26
