"","rarefy"
"Vogue1A.01.003",4.74769582147121
"Vogue1A.01.004",9.69443140408559
"Vogue1A.01.005",11.0723554068397
"Vogue1A.01.006",10.4044959369807
"Vogue1A.01.007",10.7933058753531
"Vogue1A.01.008",11.0239520425403
"Vogue1A.01.009",6.75317948975252
"Vogue1A.01.010",7.10494009696613
"Vogue1A.01.011",6.36034221742613
"Vogue1A.01.012",6.93540778190127
"Vogue1A.01.013",9.30573851676135
"Vogue1A.01.014",6.63472654570676
"Vogue1A.01.015",15.2141123447811
"Vogue1A.01.016",13
"Vogue1A.01.017",13.5012151312255
"Vogue1A.01.018",6.01067886421701
"Vogue1A.01.019",10.6866341434756
"Vogue1A.01.020",7.63649235629994
"Vogue1A.01.021",15.0382759303378
"Vogue1A.01.022",10.969933975973
"Vogue1A.01.023",13.5139136015125
"Vogue1A.01.024",10.445228478946
"Vogue1A.01.025",13.9309711000973
"Vogue1A.01.026",5.55659453443667
"Vogue1A.01.027",6.05216037568471
"Vogue1A.01.028",4.96917041303856
"Vogue1A.01.029",5.57365256342825
"Vogue1A.01.030",6.18827492412395
"Vogue1A.01.031",6.87364163552605
"Vogue1A.01.032",9.3264334702385
"Vogue1A.01.033",4.04577023339381
"Vogue1A.01.034",10.6894146544506
"Vogue1A.01.035",11.2966924268972
"Vogue1A.01.036",5.15539400692375
"Vogue1A.01.037",9.63334940559448
"Vogue1A.01.038",6.96814907289699
"Vogue1A.01.039",6.54434904343432
"Vogue1A.01.040",3.91159596899584
"Vogue1A.01.041",3.64558629809144
"Vogue1A.01.042",3.48914168607673
"Vogue1A.01.043",6.80117654923489
"Vogue1A.01.044",4.20537436479961
"Vogue1A.01.045",4.38137328899079
"Vogue1A.01.046",7.92841002446901
"Vogue1A.01.047",8.03586920426757
"Vogue1A.01.048",2.72515088249389
"Vogue1A.01.049",5.08427324547371
"Vogue1A.01.050",5.45633836862509
"Vogue1A.01.051",10.2489134768753
"Vogue1A.01.052",8.75532483400439
"Vogue1A.01.053",8.18371837028791
"Vogue1A.01.054",6.82559535377638
"Vogue1A.01.055",14.7667797859844
"Vogue1A.01.057",5.71918826192626
"Vogue1A.01.059",11.1566441027566
"Vogue1A.01.060",6.05306734697837
"Vogue1A.01.061",6.69440950052751
"Vogue1A.01.062",9.49712415987912
"Vogue1A.01.063",7.9149703684436
"Vogue1A.01.064",6.3912093088438
"Vogue1A.01.065",8.53862562933644
"Vogue1A.01.066",5.7186841363624
"Vogue1A.01.067",6.28585040422257
"Vogue1A.01.068",4.39978578319207
"Vogue1A.01.069",4.35804725100854
"Vogue1A.01.070",7.83135605670026
"Vogue1A.01.071",8.16702512579294
"Vogue1A.01.072",3.76378573789175
"Vogue1A.01.073",4.37165518222327
"Vogue1A.01.074",7.78638126290248
"Vogue1A.01.075",10.7660189002579
"Vogue1A.01.076",7.90757603551508
"Vogue1A.01.077",6.44906944606952
"Vogue1A.01.078",10.3109822640258
"Vogue1A.01.079",3.89996553694542
"Vogue1A.01.080",5.37885580611009
"Vogue1A.01.081",7.26839701809541
"Vogue1A.01.082",2.4544613095552
"Vogue1A.01.083",5.50114753713522
"Vogue1A.01.084",6.39156758982647
"Vogue1A.01.085",3.71619846223833
"Vogue1A.01.086",14.2039576799854
"Vogue1A.01.087",5.42003087178382
"Vogue1A.01.088",2.92873277780164
"Vogue1A.01.089",4.22871549263767
"Vogue1A.01.090",3.9744215608012
"Vogue1A.01.091",5.83675310077789
"Vogue1A.01.092",4.0656837677129
"Vogue1A.01.093",4.05710692980779
"Vogue1A.01.094",3.54746690512965
"Vogue1A.01.095",2.72142995622003
"Vogue1A.01.096",4.49247801829741
"Vogue1A.01.097",2.4370058405082
"Vogue1A.01.098",5.68505300711002
"Vogue1A.01.099",5.67432993167052
"Vogue1A.01.100",2.23740931851223
"Vogue1A.01.101",3.99939555813537
"Vogue1A.01.102",3.07705294674083
"Vogue1A.01.103",9.43138171367275
"Vogue1A.01.104",9.04228116358951
"Vogue1A.01.105",1.68816410507457
"Vogue1A.01.106",9.23061266529012
"Vogue1A.01.107",2.31332597289302
"Vogue1A.01.108",9.58244488083897
"Vogue1A.01.109",10.8159636399454
"Vogue1A.01.110",8.66151414563141
"Vogue1A.01.111",11.7868866201108
"Vogue1A.01.112",11.9839116126381
"Vogue1A.01.113",5.65629087223329
"Vogue1A.01.114",9.96046916157926
"Vogue1A.01.115",9.50780393747892
"Vogue1A.01.116",7.78516374435442
"Vogue1A.01.117",3.28642526054377
"Vogue1A.01.118",6.48124018271405
"Vogue1A.01.119",11.8501010144013
"Vogue1A.01.120",5.09916721978794
"Vogue1A.01.121",8.69476584285482
"Vogue1A.01.122",11.2457760995091
"Vogue1A.01.123",7.00087535347149
"Vogue1A.01.124",4.36863379696134
"Vogue1A.01.125",8.41245614278596
"Vogue1A.01.126",6.94872832976627
"Vogue1A.01.127",5.34358006389537
"Vogue1A.01.128",13.2675758356612
"Vogue1A.01.129",11.8672874969513
"Vogue1A.01.130",10.2704611525321
"Vogue1A.01.131",12.0732592479563
"Vogue1A.01.132",7.6723052612522
"Vogue1A.01.133",5.99485184797128
"Vogue1A.01.134",11.4736480526193
"Vogue1A.01.135",4.01127945840012
"Vogue1A.01.136",8.88471685724151
"Vogue1A.01.137",9.36189979683658
"Vogue1A.01.138",5.42848174630253
"Vogue1A.01.139",11.2409621727603
"Vogue1A.01.140",8.66541200973408
"Vogue1A.01.141",5.52833310408761
"Vogue1A.01.142",2.13649827950406
"Vogue1A.01.143",5.83365688074251
"Vogue1A.01.144",7.22689558389286
"Vogue1A.01.145",6.3736000197397
"Vogue1A.01.146",2.42412331599167
"Vogue1A.01.147",4.7728684104741
"Vogue1A.01.148",5.28165380057904
"Vogue1A.01.149",7.77609347722819
"Vogue1A.01.150",5.43322684924048
"Vogue1A.01.151",1.8947698965919
"Vogue1A.01.152",2.41086512718757
"Vogue1A.01.154",2.91197846722436
"Vogue1A.01.155",2.54497263236782
"Vogue1A.01.156",3.09316897305175
"Vogue1A.01.157",2.02957637759181
"Vogue1A.01.158",6.70324587846174
"Vogue1A.01.159",3.9570277516363
"Vogue1A.01.160",6.43549414929942
"Vogue1A.01.161",2.98627746348984
"Vogue1A.01.162",4.84580922148806
"Vogue1A.01.163",3.60898052568501
"Vogue1A.01.164",7.28019501027018
"Vogue1A.01.166",2.6679452684845
"Vogue1A.01.167",5.06849792735475
"Vogue1A.01.168",2.88919321427642
"Vogue1A.01.169",5.28922379779183
"Vogue1A.01.170",3.02623867392099
"Vogue1A.01.171",5.04535324151169
"Vogue1A.01.172",3.6611547898384
"Vogue1A.01.173",3.83812253640352
"Vogue1A.01.174",4.35643454659118
"Vogue1A.01.175",3.90958011557553
"Vogue1A.01.176",2.74606537384807
"Vogue1A.01.177",3.03781060796575
"Vogue1A.01.179",3.66075949283173
"Vogue1A.01.180",12.5454938442602
"Vogue1A.01.181",3.72610783676169
"Vogue1A.01.183",3.77456226948206
"Vogue1A.01.184",5.29114751087255
"Vogue1A.01.185",6.14208734282981
"Vogue1A.01.186",3.80798106712281
"Vogue1A.01.187",5.9170463210891
"Vogue1A.01.188",5.65361326048846
"Vogue1A.01.189",8.317869457011
"Vogue1A.01.190",11.7858727300214
"Vogue1A.01.191",1.93611702292711
"Vogue1A.01.192",3.64239996715131
"Vogue1A.01.193",4.79699777291919
"Vogue1A.01.194",5.99439325106773
"Vogue1A.01.195",12.9950772528605
"Vogue1A.01.196",5.77928593421605
"Vogue1A.01.197",2.75334995293106
"Vogue1A.01.198",4.88886675410996
"Vogue1A.01.199",4.45451098452194
"Vogue1A.01.200",6.5488557732804
"Vogue1A.01.201",6.98561378824596
"Vogue1A.01.202",8.27678832966029
"Vogue1A.01.203",14.8680985088249
"Vogue1A.01.204",13.3947119634917
"Vogue1A.01.205",5.01422427486021
"Vogue1A.01.206",9.19520450398139
"Vogue1A.01.207",4.28728867125378
"Vogue1A.01.208",12.6703564191499
"Vogue1A.01.209",5.82032933341833
"Vogue1A.01.210",11.1857087717881
"Vogue1A.01.211",11.6732092295966
"Vogue1A.01.212",8.455327215636
"Vogue1A.01.213",4.59823622499153
"Vogue1A.01.214",11.2637922118705
"Vogue1A.01.215",5.4545308862193
"Vogue1A.01.216",13.0309621703368
"Vogue1A.01.217",2.13722903016867
"Vogue1A.01.218",3.2028299518878
"Vogue1A.01.219",3.58520934021576
"Vogue1A.01.220",12.5713931013218
"Vogue1A.01.221",4.71563372283029
"Vogue1A.01.222",5.12772915257668
"Vogue1A.01.223",9.60378716948132
"Vogue1A.01.224",3.6771512279122
"Vogue1A.01.225",3.51848288186476
"Vogue1A.01.226",6.93227117990454
"Vogue1A.01.227",5.77026255532005
"Vogue1A.01.228",13.2753855220209
"Vogue1A.01.229",9.2695745183772
"Vogue1A.01.230",3.94674263736593
"Vogue1A.01.231",3.41747502256484
"Vogue1A.01.232",8.52047669462652
"Vogue1A.01.233",1.9023293735329
"Vogue1A.01.234",5.88243916294263
"Vogue1A.01.235",3.28570598231024
"Vogue1A.01.236",3.74198757203564
"Vogue1A.01.237",3.37995573242895
"Vogue1A.01.238",7.57397719771368
"Vogue1A.01.239",5.30397339101504
"Vogue1A.01.240",3.29778910796745
"Vogue1A.01.241",8.05108459312659
"Vogue1A.01.242",13.0911379972523
"Vogue1A.01.243",8.67388012536558
"Vogue1A.01.244",6.86187689181669
"Vogue1A.01.245",11.3739350336971
"Vogue1A.01.246",7.4885742440596
"Vogue1A.01.247",3.17042193812642
"Vogue1A.01.248",4.23100983572888
"Vogue1A.01.249",10.2913790210733
"Vogue1A.01.250",2.76812530354029
"Vogue1A.01.251",3.84177337451017
"Vogue1A.01.252",4.83855001112283
"Vogue1A.01.253",4.21698771532698
"Vogue1A.01.254",3.06144348891957
"Vogue1A.01.255",14.1180180018663
