Participants,Actinobacteria sp.,Alloscardovia omnicolens,Atopobium vaginae,Bifidobacterium breve,Clostridia sp. BVAB2,Clostridium genomosp. BVAB3,Enterococcus rattus,Escherichia coli,Eukaryote,Gardnerella vaginalis Group A,Gardnerella vaginalis Group B,Gardnerella vaginalis Group C,Gardnerella vaginalis Group D,Klebsiella pneumoniae,Lactobacillus crispatus,Lactobacillus gasseri,Lactobacillus iners,Lactobacillus jensenii,Megasphaera sp. genomosp. type 1,Other Actinobacteria,Other Bacteria,Other Bacteroidetes,Other Bifidobacterium,Other Clostridium,Other Firmicutes,Other Lactobacillus,Other Prevotella,Other Proteobacteria,Other Streptococcus,Porphyromonas uenonis,Prevotella amnii,Prevotella timonensis,Pseudomonas putida,Streptococcus devriesei,Variovorax paradoxus
Vogue1A.01.003,0,0,0,0,0,0,0,0,1,81,14,6,0,0,26956,281,24,225,0,30,0,3,0,13,6,1702,0,58,46,0,0,1,1,0,39
Vogue1A.01.007,0,0,0,0,0,0,1,0,0,54,10,0,0,0,1798,16,12,11,0,33,3,0,0,0,51,10,0,306,15,0,0,88,105,0,124
Vogue1A.01.012,0,0,0,0,0,9,1,0,3,69,4,0,0,0,5481,50,918,44,0,16,0,0,0,0,2,520,0,35,31,0,0,1,21,0,5
Vogue1A.01.016,0,4,0,0,0,1,0,0,0,39,36,14,0,0,5,8,0,1,0,0,0,0,0,0,0,8,0,6,0,0,0,1,1,0,14
Vogue1A.01.017,0,1,2,0,7,0,3,0,0,145,300,39,0,0,912,142,105,180,0,18,46,4,0,1,11,233,0,34,43,0,0,0,1,0,13
Vogue1A.01.019,0,0,0,0,0,1,0,0,0,19,4,0,0,0,471,17,38,19,0,8,0,0,0,1,1,176,0,26,16,0,0,0,1,0,10
Vogue1A.01.020,0,1,3,0,0,6,0,0,0,9,108,13,0,0,2211,10,10,91,36,8,2,0,0,0,1,0,0,1,1,0,3,23,0,0,0
Vogue1A.01.022,0,0,0,0,0,2,2,0,0,213,32,0,0,0,877,95,17,37,0,5,0,0,1,0,2,73,0,11,95,0,0,3,6,0,21
Vogue1A.01.023,0,0,0,0,0,0,762,0,12,369,22,18,0,0,24116,3575,2478,2824,3,426,2,1172,35,181,1701,2786,1323,1245,186,0,1,7,52,0,760
Vogue1A.01.024,0,0,0,0,0,1,3,0,11,45,3,0,0,0,1655,8,7,31,0,51,7,1,0,1,112,10,11,935,27,0,0,0,167,0,198
Vogue1A.01.025,0,0,0,2,5,8,13367,0,430,497,24,9,0,0,13724,769,4837,509,0,936,106,1890,392,212,7522,1603,1196,555,253,1,0,2,12,0,26
Vogue1A.01.026,0,0,1,0,0,0,10,0,15,83,56,24,0,0,18890,365,83,318,2,35,1,2,0,15,18,48,4,15,24,0,0,4,0,0,27
Vogue1A.01.029,0,0,0,0,0,0,0,0,0,11,0,0,0,0,2600,75,433,28,0,2,0,0,0,7,3,2,0,47,2,0,0,0,0,0,0
Vogue1A.01.030,0,0,0,0,0,0,0,0,0,49,3,0,0,0,4630,563,588,557,0,8,0,1,0,10,2,21,14,2,9,0,0,11,0,0,0
Vogue1A.01.033,0,0,0,2,0,0,0,0,2,6,0,4,0,0,3502,39,48,20,0,8,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0
Vogue1A.01.034,0,0,2,0,5,1,0,0,7,20,163,13,0,0,1486,27,68,5,33,12,0,1,4,0,0,0,6,8,9,0,0,45,0,0,1
Vogue1A.01.036,0,0,0,0,1,1,0,0,17,139,3,0,0,0,39027,435,2612,294,0,196,6,7,0,32,22,16,2,117,61,1,0,7,33,0,3
