Closest hit header,Kingdom,Phylum,Class,Order,Family,Genus,Simple names,Total reads,Percent of dataset,Vogue1A-01-003,Vogue1A-01-004,Vogue1A-01-005,Vogue1A-01-006,Vogue1A-01-007,Vogue1A-01-008,Vogue1A-01-009,Vogue1A-01-010,Vogue1A-01-011,Vogue1A-01-012,Vogue1A-01-013,Vogue1A-01-014,Vogue1A-01-015,Vogue1A-01-016,Vogue1A-01-017,Vogue1A-01-018,Vogue1A-01-019,Vogue1A-01-020,Vogue1A-01-021,Vogue1A-01-022,Vogue1A-01-023,Vogue1A-01-024,Vogue1A-01-025,Vogue1A-01-026,Vogue1A-01-027,Vogue1A-01-028,Vogue1A-01-029,Vogue1A-01-030,Vogue1A-01-031,Vogue1A-01-032,Vogue1A-01-033,Vogue1A-01-034,Vogue1A-01-035,Vogue1A-01-036,Vogue1A-01-037,Vogue1A-01-038,Vogue1A-01-039,Vogue1A-01-040,Vogue1A-01-041,Vogue1A-01-042,Vogue1A-01-043,Vogue1A-01-044,Vogue1A-01-045,Vogue1A-01-046,Vogue1A-01-047,Vogue1A-01-048,Vogue1A-01-049,Vogue1A-01-050,Vogue1A-01-051,Vogue1A-01-052,Vogue1A-01-053,Vogue1A-01-054,Vogue1A-01-055,Vogue1A-01-057,Vogue1A-01-059,Vogue1A-01-060,Vogue1A-01-061,Vogue1A-01-062,Vogue1A-01-063,Vogue1A-01-064,Vogue1A-01-065,Vogue1A-01-066,Vogue1A-01-067,Vogue1A-01-068,Vogue1A-01-069,Vogue1A-01-070,Vogue1A-01-071,Vogue1A-01-072,Vogue1A-01-073,Vogue1A-01-074,Vogue1A-01-075,Vogue1A-01-076,Vogue1A-01-077,Vogue1A-01-078,Vogue1A-01-079,Vogue1A-01-080,Vogue1A-01-081,Vogue1A-01-082,Vogue1A-01-083,Vogue1A-01-084,Vogue1A-01-085,Vogue1A-01-086,Vogue1A-01-087,Vogue1A-01-088,Vogue1A-01-089,Vogue1A-01-090,Vogue1A-01-091,Vogue1A-01-092,Vogue1A-01-093,Vogue1A-01-094,Vogue1A-01-095,Vogue1A-01-096,Vogue1A-01-097,Vogue1A-01-098,Vogue1A-01-099,Vogue1A-01-100,Vogue1A-01-101,Vogue1A-01-102,Vogue1A-01-103,Vogue1A-01-104,Vogue1A-01-105,Vogue1A-01-106,Vogue1A-01-107,Vogue1A-01-108,Vogue1A-01-109,Vogue1A-01-110,Vogue1A-01-111,Vogue1A-01-112,Vogue1A-01-113,Vogue1A-01-114,Vogue1A-01-115,Vogue1A-01-116,Vogue1A-01-117,Vogue1A-01-118,Vogue1A-01-119,Vogue1A-01-120,Vogue1A-01-121,Vogue1A-01-122,Vogue1A-01-123,Vogue1A-01-124,Vogue1A-01-125,Vogue1A-01-126,Vogue1A-01-127,Vogue1A-01-128,Vogue1A-01-129,Vogue1A-01-130,Vogue1A-01-131,Vogue1A-01-132,Vogue1A-01-133,Vogue1A-01-134,Vogue1A-01-135,Vogue1A-01-136,Vogue1A-01-137,Vogue1A-01-138,Vogue1A-01-139,Vogue1A-01-140,Vogue1A-01-141,Vogue1A-01-142,Vogue1A-01-143,Vogue1A-01-144,Vogue1A-01-145,Vogue1A-01-146,Vogue1A-01-147,Vogue1A-01-148,Vogue1A-01-149,Vogue1A-01-150,Vogue1A-01-151,Vogue1A-01-152,Vogue1A-01-154,Vogue1A-01-155,Vogue1A-01-156,Vogue1A-01-157,Vogue1A-01-158,Vogue1A-01-159,Vogue1A-01-160,Vogue1A-01-161,Vogue1A-01-162,Vogue1A-01-163,Vogue1A-01-164,Vogue1A-01-166,Vogue1A-01-167,Vogue1A-01-168,Vogue1A-01-169,Vogue1A-01-170,Vogue1A-01-171,Vogue1A-01-172,Vogue1A-01-173,Vogue1A-01-174,Vogue1A-01-175,Vogue1A-01-176,Vogue1A-01-177,Vogue1A-01-179,Vogue1A-01-180,Vogue1A-01-181,Vogue1A-01-183,Vogue1A-01-184,Vogue1A-01-185,Vogue1A-01-186,Vogue1A-01-187,Vogue1A-01-188,Vogue1A-01-189,Vogue1A-01-190,Vogue1A-01-191,Vogue1A-01-192,Vogue1A-01-193,Vogue1A-01-194,Vogue1A-01-195,Vogue1A-01-196,Vogue1A-01-197,Vogue1A-01-198,Vogue1A-01-199,Vogue1A-01-200,Vogue1A-01-201,Vogue1A-01-202,Vogue1A-01-203,Vogue1A-01-204,Vogue1A-01-205,Vogue1A-01-206,Vogue1A-01-207,Vogue1A-01-208,Vogue1A-01-209,Vogue1A-01-210,Vogue1A-01-211,Vogue1A-01-212,Vogue1A-01-213,Vogue1A-01-214,Vogue1A-01-215,Vogue1A-01-216,Vogue1A-01-217,Vogue1A-01-218,Vogue1A-01-219,Vogue1A-01-220,Vogue1A-01-221,Vogue1A-01-222,Vogue1A-01-223,Vogue1A-01-224,Vogue1A-01-225,Vogue1A-01-226,Vogue1A-01-227,Vogue1A-01-228,Vogue1A-01-229,Vogue1A-01-230,Vogue1A-01-231,Vogue1A-01-232,Vogue1A-01-233,Vogue1A-01-234,Vogue1A-01-235,Vogue1A-01-236,Vogue1A-01-237,Vogue1A-01-238,Vogue1A-01-239,Vogue1A-01-240,Vogue1A-01-241,Vogue1A-01-242,Vogue1A-01-243,Vogue1A-01-244,Vogue1A-01-245,Vogue1A-01-246,Vogue1A-01-247,Vogue1A-01-248,Vogue1A-01-249,Vogue1A-01-250,Vogue1A-01-251,Vogue1A-01-252,Vogue1A-01-253,Vogue1A-01-254,Vogue1A-01-255,Vogue1A-01-256,Vogue1A-01-257,Vogue1A-01-258,Vogue1A-01-259,Vogue1A-01-260,Vogue1A-01-261,Vogue1A-01-262,Vogue1A-01-263,Vogue1A-01-264,Vogue1A-01-265,Vogue1A-01-266,Vogue1A-01-267,Vogue1A-01-268,Vogue1A-01-269,Vogue1A-01-270,Vogue1A-01-271,Vogue1A-01-272,Vogue1A-01-273,Vogue1A-01-274,Vogue1A-01-275,Vogue1A-01-276,Vogue1A-01-277,Vogue1A-01-278,Vogue1A-01-279,Vogue1A-01-280,Vogue1A-01-281,Vogue1A-01-282,Vogue1A-01-283,Vogue1A-01-284,Vogue1A-01-285,Vogue1A-01-286,Vogue1A-01-287,Vogue1A-01-288,Vogue1A-01-289,Vogue1A-01-290,Vogue1A-01-291,Vogue1A-01-292,Vogue1A-01-293,Vogue1A-01-294,Vogue1A-01-295,Vogue1A-01-296,Vogue1A-01-297,Vogue1A-01-298,Vogue1A-01-300,Vogue1A-01-301,Vogue1A-01-302,Vogue1A-01-303,Vogue1A-01-304,Vogue1A-01-305,Vogue1A-01-306,Vogue1A-01-307,Vogue1A-01-308,Vogue1A-01-309,Vogue1A-01-310,Vogue1A-01-311,Vogue1A-01-312,Vogue1A-01-313,Vogue1A-01-314,Vogue1A-01-316,Vogue1A-01-317,Vogue1A-01-318,Vogue1A-01-319,Vogue1A-01-320
b7450 AY562570 Lactobacillus crispatus CECT4840,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus crispatus,1223070,39.831,26956,3,2084,1307,1798,27,46,3,35,5481,653,78,196,5,912,3,471,2211,104,877,24116,1655,13724,18890,17,43,2600,4630,208,919,3502,1486,11,39027,48,16,400,8121,1037,1775,12,33,181,8617,4,105,2021,37,5,1,3932,6730,164,1,1,2183,4450,15,9484,17,63,5934,1936,81,0,8,95,21568,4465,581,1,5,1374,578,3641,10427,20,9329,14,10,13823,13,38,9,8927,23102,43,24372,35,8464,5887,11,6733,2965,1178,5124,72,2932,21,3226,4,72,22728,32,142,29,54,1864,9152,21986,281,3,10644,1683,16,10,24,11,22847,16,9678,4908,4346,7395,55,531,25,11602,27,1649,16574,13,1040,11,3881,833,3276,33914,14,242,2422,9776,13558,25,3,1975,5,5776,132,1339,6214,1673,67,27,14,20640,3703,13018,671,508,55,18,19873,26028,12,4106,4789,2375,3362,18459,9619,1250,34,17,16,951,4,5938,944,11,1,3,10792,23936,3400,3533,116,52,7753,8271,6428,1984,737,4,768,174,1187,5,5012,389,50,24,6068,2527,8794,4083,6930,3910,1229,6619,1684,3,36,107,0,1301,1,4,9270,14,5,6350,3645,132,7827,173,16,5126,8543,1901,3620,3234,45,7,7,90,10,1626,4,4929,17,1775,2166,1335,1042,38098,69,16,8437,4964,255,213,3,337,31,17155,2193,8674,4164,19,294,63,1349,5,33,12273,39,268,58,11,63,6,2261,13,184,11,20285,7061,28095,4884,1679,4902,13287,14020,23227,74,7202,133,91,126,4995,3309,105,11080,28,124,14391,7321,3927,16,17,31,19,12515,1184,5064,392,53,7253,2205
b15282 NZ_ACLN01000008 Lactobacillus iners DSM 13335,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus iners,547255,17.822,24,1,414,55423,12,2305,209,1956,3250,918,8619,2,88,0,105,5448,38,10,135,17,2478,7,4837,83,11,19387,433,588,6486,5,48,68,231,2612,7,42523,11508,29,0,5,23,10583,10254,11762,0,1,6,150,0,92,11664,1121,1058,22,3,10,2320,188,162,1061,10,1053,4,285,0,1606,3,55,1710,15112,25,3886,64,162,0,8,1026,34,5,0,1786,7,5724,9362,13,414,10907,121,4,20,3,41,7,2586,16,0,1,9,6360,22,1473,789,4,98,2140,92,8580,40,8,525,5440,8575,0,82,13,6382,33,4684,3658,148,1079,6347,104,274,67,54,5,250,6,23,48,26,99,3,2871,5,686,16,10,1426,7,4,2520,4930,90,2,4,6,13098,6,15,2,4709,8125,830,12,52,2895,4,609,1080,8552,1857,25,263,18,11,1,23,19,38,3,86,3,4126,552,1177,1114,5,4971,0,523,3,40,19592,59,13,1072,5,35,1256,1,4,3,143,1560,4,9,6,434,1992,2036,57,22,7601,56,2,99,1,18,11,37,5303,17987,1,49,9,1,3013,0,8,9,1,606,0,7,8,6,2,12,2,5,30,1,1,1649,104,23,2,35,0,0,4,2577,7,11,0,3,2,0,2,62,4,125,708,1169,4817,56,19905,274,1624,1404,52,1442,848,47,247,1020,3341,66,1158,268,180,3498,62,14,6146,18,30,9,24,104,20,7,15,8295,334,19,6,0,175,27,5229,420,2,4905,26,11,631,67,311,30,9,15,32,2986,1345,2909,3,1272
b15920 CP001849 Gardnerella vaginalis 409-05 NULL,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Gardnerella,Gardnerella vaginalis Group A,227320,7.403,81,60564,290,7633,54,45,1698,62,354,69,1938,1181,271,39,145,27,19,9,117,213,369,45,497,83,79,137,11,49,498,49,6,20,17,139,3293,293,390,11,1,2,18,23,29,81,422,1,465,64,523,5670,1036,257,37,57,60,10,134,336,46,9,368,22,6,99,9,21,65,44,8,215,972,15,9,23,61,14,15,8,4,34,11,0,63,22,13,31,155,49,3633,12,11,34,14,78,6,6,1284,1,17,7,0,6,18,92,11,17,565,2,5,88,150,19,13,2,330,531,63,72,49,4,19,33,5,36,2,2,10,139,479,24,29,462,1,60,36,41,24108,44,4,695,0,6,24,75,4833,43,6,3,19,0,7,1,19,17,5,24,26,10,25,0,4,621,63,26,44,1,8,5,8,19,42,2,164,116,4,2,4251,11,623,130,418,65,12,14,106,37,51,10,9,10,7,2,2,9,6,115,4,1460,8,10,11,294,709,16,20,19,11,76,0,7,1,133,28,76,1498,4,1562,2093,143,1,8623,19,9,5009,18,90,73,7,14,18,17,10,39,48,3,206,517,11,5,6,2,1,1,20,1,33,12,24,4791,7,31,983,68,5497,46,36,15,25,2748,20,21,49,30,4,622,74,1495,135,116,165,54,12,40,21,1641,32423,1131,24,56,9,207,13,115,51,75,66,23,19,1723,421,28,35,76,175,11,34,281,13,5,6544,3240,62,584,54,9,19,19,9,17,22
b7850 AF429687 Lactobacillus jensenii ATCC 25258,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus jensenii,218027,7.100,225,2,2105,928,11,2,3,4,4645,44,103,6,107,1,180,1,19,91,30,37,2824,31,509,318,1,974,28,557,8156,29,20,5,1,294,1,16,5794,751,107,9,2199,58,4,22,1,0,9,9323,0,1,1313,1224,70,96,1,68,1096,2273,3094,34,7,212,24,21101,0,1552,0,183,28,1388,0,0,304,24,30,353,91,12,0,0,37,0,7077,1,405,64,3,149,1,159,13,4563,12,10463,61,8,4,11,7,80,0,838,51,276,8,3014,11949,40,55,80,25759,0,23,22,0,2,0,75,310,0,1680,72,121,122,4,291,0,17,13,42,284,0,35,14,611,69,348,63,0,3,5,9,1680,13763,0,37,1,33,43,5,13,3,1092,1158,2,135,2342,19,36,6,2,1,634,38,3128,49,126,2,1064,71,24,8,0,2,5,2,1,47,6,349,1,0,15,259,1675,4900,13,49,14,118,244,2,3,2,3,3,17,0,40,6,757,3187,38,8,526,216,10,5,10,106,31,25,6578,1980,0,31,0,1,1259,1,3,127,123,23,7,11,0,8,118,6,42,28,2878,30,0,0,0,42,0,28,0,13,13,8,24,368,1,0,153,39,2,7,0,35,6,1284,62,17,631,766,41,1000,14,168,6,52,2,14,16,2206,896,426,38,1,922,13,262,85,58,45,8,58,130,89,44,4,274,4,3,1,56,724,6,6883,4,95,33,40,93,0,13,2554,1,421,31,44,36,18,17,528
b15977 FJ577599 Actinobacteria sp. N153 N153_103-6,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Gardnerella,Gardnerella vaginalis Group B,204057,6.645,14,13569,43,11394,10,3,2342,2,19,4,728,2086,70,36,300,27,4,108,104,32,22,3,24,56,11,2,0,3,38,0,0,163,1142,3,818,6,6,0,1,0,16,11,0,1305,1070,0,14,4,1018,579,137,76,8,811,18,0,15,2910,1,0,1777,3,43,15,10,2,8190,2,0,93,511,0,12,0,4,0,2,1,228,8,7,0,4,1,0,19,4,0,185,0,0,0,0,5,1,0,16,0,76,10,0,9,8,3808,10,22,424,0,4,528,494,405,2,6,4517,11,525,3098,92,0,53,21,1,109,5,142,127,41,14320,11,10,3262,5,3270,861,1344,506,2,11,2945,6,27,1,37,657,5,0,2,3,0,3,0,45,2,63,1,6,8,1,0,29,15,73,1,1,7,0,20,0,1,4,8,566,5852,21,18,8816,1,11,1325,28,40,2,3,49,0,19,2,0,3,0,0,1,2,468,343,3,76,3,8,4,163,101,102,13,1244,195,1371,0,0,2,31,2,2,1555,0,32,2984,2,0,238,1,0,2656,3,6887,191,2,2,7,11,4,10,115,172,1068,219,1,3,3,0,0,0,3,0,12,22,12,363,1,33,12676,481,288,12,3,3,4,1663,11,5,11,11,27,79,16,828,345,170,6439,602,27,219,130,117,2878,3031,25,14,9,508,11,1480,2,5,3,2,16,48,4305,1,1,27,5,1,4,7128,2,4,1502,9421,1723,15574,16,1,1,101,13,1,75
b10199 EF571590 Lactobacillus gasseri ATCC 33323,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus gasseri,130966,4.265,281,4,1471,686,16,14,231,0,4217,50,187,80,148,8,142,10,17,10,1,95,3575,8,769,365,779,892,75,563,7295,30,39,27,1,435,0,81,6650,81,2,14,89,5,6,58,1,0,96,1011,1,0,1620,270,13,4387,0,166,702,662,1720,4,8,372,113,302,0,504,5,672,173,712,0,696,205,42,67,352,16,27,2797,707,89,5,928,1822,219,271,11419,994,2935,198,41,165,40,600,10,30,0,6,22,23,0,45,55,12,11,68,1916,22,24,72,831,3,26,6,4,2,3997,5,64,2465,103,37,16,144,85,11,299,59,3,48,55,1,9,0,214,15,74,96,3,22,3,18,131,317,0,14,0,16,7,4,9,6,22,354,17,310,310,198,3255,1,1,2,342,282,201,22,94,33,135,292,33,7,0,394,2218,24,1,39,218,40,0,0,44,124,98,96,1,3,16,60,29,4,4,0,2,9,3,2,10,9,9,74,90,16,57,10,18,50,0,24,4,6,130,62,4,2,2048,7,2392,45,4,46,14,4,8,6,16114,19,59,7,20,8,39,49,0,14,1,15,1657,24,3,121,168,20,92,242,5,449,64,25,26,16,5,48,9,224,26,60,158,51,15,61,2803,5,11,100,15,62,46,120,189,15,32,12,11966,300,133,64,223,16,1,21,18,52,95,8,26,10,0,43,12,47,9,345,0,14,85,39,7,2,2,89,0,117,9,31,8,5,28,134
b17590 AB547633 Prevotella timonensis JCM 15640,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella timonensis,77949,2.539,1,16820,5,2,88,21,0,1,27,1,3,0,1,1,0,0,0,23,39,3,7,0,2,4,1,0,0,11,0,1,0,45,217,7,16,292,9,0,0,0,0,0,0,152,0,4,0,0,42,1558,131,13,197,42,234,1,1,122,18,0,0,0,1,1,1,45,877,0,1,0,12,23,2,5,0,0,2,0,2,22,0,0,0,0,0,2,94,0,0,0,0,1,0,10,2,0,0,2,36,22,0,2,1,0,111,0,170,0,0,0,1,80,0,0,203,0,82,460,9,0,6,377,0,29,0,0,24,0,0,1,0,16,0,0,3,7,1,0,0,1,2,0,10,11,299,3,0,0,0,0,1,0,7,0,1,2,0,0,3,0,0,0,0,3,0,1,5,0,0,0,1,0,1210,0,1,0,0,0,2,0,387,554,0,39,0,0,0,0,1,5,0,18,0,0,116,4,0,1042,0,1,3,0,3,12,0,1,8,167,0,0,0,1,1,1,54,0,0,130,6,59,4048,0,3,2283,1,42,2,11,0,0,3,1,5,4075,0,3,1,5,0,6,175,0,4,3,0,9,78,267,1,38,33,24311,21,89,5,61,1,3,15,1,14,20,512,1,2,11,4578,11,61,4,111,5,40,16,15,5,215,2,3,5,84,3,210,0,6,1,1,82,763,4490,3,5,4,6,775,3,1,1,0,46,0,6,8,5,3117,0,3,1,4,1
b16543 ADGP01000033 Megasphaera sp. genomosp. type_1 s,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Megasphaera,Megasphaera sp. genomosp. type 1,61825,2.013,0,9303,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,36,36,0,3,0,0,2,0,0,0,0,0,10,0,33,339,0,524,4,0,0,0,0,13,2,0,0,1471,3,0,0,739,460,2,0,1,0,174,0,0,0,0,2,0,0,0,7,0,0,3406,0,0,0,223,0,0,0,0,0,0,0,22,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,4,0,3,5,0,2,12,1541,2,15,372,52,158,0,3,1505,0,99,1179,22,0,15,6,2,197,1,1,36,12,0,3,1,20,0,2,77,9,2,4,1,2,1,2,3,24,1518,11,1,0,0,0,0,0,31,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,1219,0,1,0,8550,0,0,0,122,609,0,64,61,0,5,0,0,0,0,33,174,114,194,78,1,271,2,3,0,30,407,60,6,422,77,443,0,0,0,1325,0,0,2637,0,1,3,0,1,594,1,0,0,1,17,0,1,0,17,0,0,1,357,170,2,330,0,0,5,2,0,0,0,0,0,5,8,1,0,23,7803,1557,814,5,6,2,8,37,3,2,5,2,8,919,13,3925,87,20,5,172,0,45,36,29,6,524,6,8,3,194,0,446,1,3,1,0,0,1,0,0,0,7,0,0,0,1,0,0,2766,0,1,105,1,1,0,1,1,1,1
b16472 CP001850 Clostridium genomosp. BVAB3 UPII9-5 ,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales,Clostridium,Clostridium genomosp. BVAB3,38236,1.245,0,9708,3,0,0,0,0,1,1,9,6,0,0,1,0,0,1,6,12,2,0,1,8,0,0,0,0,0,1,35,0,1,12,1,1950,1,0,0,0,0,0,0,0,0,0,0,0,1,954,1,1,0,0,1,431,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,104,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,1,0,0,0,0,0,0,381,0,0,1,0,3949,0,26,2,14,0,56,0,1,1,5,0,3,3,1,6,3,3,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1164,0,0,0,1,0,1,0,441,387,0,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,107,0,0,404,0,0,0,0,0,4639,0,0,0,0,4,0,0,0,0,0,0,0,262,0,0,55,0,1,0,1,0,0,0,0,0,19,10,1,1,18,6941,660,9,0,0,0,0,1,0,0,0,0,0,1,10,4513,13,16,1,36,0,12,6,14,3,101,0,0,1,46,2,153,3,1,2,0,0,275,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
b8455 CP000705 Lactobacillus reuteri JCM1112,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus reuteri,31311,1.020,1677,1,28,944,9,3,1,2,173,519,19049,135,85,8,223,4,176,0,18,72,2713,10,82,38,0,1,1,4,3,0,0,0,0,0,0,0,7,11,1,7,0,0,0,104,0,0,3,3,0,0,250,43,0,0,0,0,132,0,2,53,6,16,2,0,0,45,0,0,15,39,0,7,16,2,1,1,2,1,0,0,5,0,33,0,12,98,21,89,0,3,0,0,0,50,4,1,0,11,3,0,0,0,0,0,1,1,2422,20,2,81,2,8,96,2,0,0,1,0,45,6,1,10,6,2,0,0,0,10,0,0,0,0,5,0,16,0,0,7,0,1,0,2,15,0,0,7,0,1,1,0,1,0,15,16,0,8,0,33,0,0,0,0,84,6,0,0,0,1,0,4,3,2,0,0,3,3,0,5,3,0,0,0,2,0,8,0,0,0,1,4,45,0,0,0,0,0,0,0,10,18,1,4,10,0,0,0,4,1,1,0,6,1,0,418,0,0,0,0,34,0,0,1,0,0,0,0,0,0,2,0,13,0,8,3,0,7,0,0,0,1,0,0,9,3,0,33,0,0,4,2,1,1,0,3,0,8,1,0,202,0,0,21,2,0,0,6,0,2,0,0,13,4,9,3,4,0,225,35,12,1,0,0,0,1,4,1,0,0,0,0,0,5,3,0,0,0,16,1,9,0,0,0,0,5,0,4,1,0,0,18
