"","Participants","Pielou.s.Eveness","Species.Richness","Shannon.s.Diversity","Chao1","Good.s.Coverage"
"1","Vogue1B2.01.01",0.10885272,8.09075422,0.279201714,25.5,0.997503744
"2","Vogue1B2.01.06",0.502538571,12.68067941,1.360899677,17,0.998929336
"3","Vogue1B2.01.07",0.106458969,9.832211507,0.273061864,14.5,0.997830803
"4","Vogue1B2.01.08",0.35936981,11.25827321,1.110827339,23,0.999887899
"5","Vogue1B2.01.09",0.0691216,7.960219128,0.19164577,17,0.999625678
"6","Vogue1B2.01.10",0.449924065,10.91887547,1.187375402,16.25,0.998323086
"7","Vogue1B2.01.11",0.271153352,10.00071197,0.650197342,11,0.99958159
"8","Vogue1B2.01.12",0.640010438,15.481104,1.849868094,18.16666667,0.99947313
"9","Vogue1B2.01.15",0.143240756,10.08635664,0.355939908,14,0.998387097
"10","Vogue1B2.01.19",0.304042064,10,0.700082723,11,0.996447602
"11","Vogue1B2.01.21",0.24481276,12.43179811,0.720836235,21,0.999677731
"12","Vogue1B2.01.23",0.074865019,4.278992171,0.179518475,13.25,0.999552973
"13","Vogue1B2.01.26",0.621948654,15.35699107,1.863191655,22.25,0.999196141
"14","Vogue1B2.01.28",0.493742294,16.90202841,1.453794057,20.125,0.996919918
"15","Vogue1B2.01.29",0.486025617,15.52285376,1.431072772,21.25,0.998457584
"16","Vogue1B2.01.35",0.296949384,11.73779107,0.823318513,17,0.999182339
"17","Vogue1B2.01.37",0.304688781,9.552411107,0.844776677,20.5,0.999436408
"18","Vogue1B2.01.38",0.450600906,15.51307899,1.349879675,24.5,0.998886414
"19","Vogue1B2.01.50",0.189799424,10.58726814,0.558852821,23.5,0.999713768
"20","Vogue1B2.01.52",0.224448543,9.67233195,0.672387744,24.5,0.999756236
"21","Vogue1B2.01.56",0.538147137,15.96259065,1.638401034,21,1
"22","Vogue1B2.01.58",0.316417099,11.46740246,0.931670841,20,0.999711441
"23","Vogue1B2.01.61",0.117619787,10.54064873,0.326111295,16.66666667,0.999470479
"24","Vogue1B2.01.62",0.33747934,14.15483745,0.993687323,19,0.999867585
"25","Vogue1B2.01.63",0.109949814,9.203820739,0.304845613,16.66666667,0.999612253
"26","Vogue1B2.01.64",0.406864099,12.77505816,1.257634203,23.125,0.999517064
