"","var","chao"
"1","Vogue1B2.01.01",14
"2","Vogue1B2.01.06",16
"3","Vogue1B2.01.07",14
"4","Vogue1B2.01.08",23
"5","Vogue1B2.01.09",17
"6","Vogue1B2.01.10",15
"7","Vogue1B2.01.11",12
"8","Vogue1B2.01.12",19
"9","Vogue1B2.01.15",13
"10","Vogue1B2.01.19",11
"11","Vogue1B2.01.21",20
"12","Vogue1B2.01.23",12
"13","Vogue1B2.01.26",21
"14","Vogue1B2.01.28",20
"15","Vogue1B2.01.29",20
"16","Vogue1B2.01.35",17
"17","Vogue1B2.01.37",17
"18","Vogue1B2.01.38",21
"19","Vogue1B2.01.50",20
"20","Vogue1B2.01.52",21
"21","Vogue1B2.01.56",22
"22","Vogue1B2.01.58",20
"23","Vogue1B2.01.61",17
"24","Vogue1B2.01.62",20
"25","Vogue1B2.01.63",17
"26","Vogue1B2.01.64",23
