Group,Total.Frequency,X1B2_01_26,X1B2_01_35,X1B2_01_37,X1B2_01_38,X1B2_01_50,X1B2_01_52,X1B2_01_56,X1B2_01_58,X1B2_01_61,X1B2_01_62,X1B2_01_63,X1B2_01_64,Vogue1B2.01.07,Vogue1B2.01.09,Vogue1B2.01.23,Vogue1B2.01.21,Vogue1B2.01.05,Vogue1B2.01.04,Vogue1B2.01.15,Vogue1B2.01.20,Vogue1B2.01.14,Vogue1B2.01.28,Vogue1B2.01.12,Vogue1B2.01.01,Vogue1B2.01.16,Vogue1B2.01.13,Vogue1B2.01.11,Vogue1B2.01.29,Vogue1B2.01.06,Vogue1B2.01.03,Vogue1B2.01.10,Vogue1B2.01.24,Vogue1B2.01.08,Vogue1B2.01.19
Actinobacteria sp.,11574,35,7,1,4,221,9435,155,18,5,127,10,1531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,9,0,0
Alloscardovia omnicolens,24,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,13,0,0,0,0,0,3,0
Atopobium vaginae,1106,204,27,17,18,32,48,6,10,8,56,15,425,2,0,0,4,4,0,0,0,0,3,0,1,2,0,0,10,0,0,134,0,80,0
Bifidobacterium breve,16,2,0,0,1,2,5,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clostridia sp. BVAB2,1428,81,66,0,1,7,11,495,4,37,205,2,273,1,3,2,15,15,3,3,5,16,16,31,1,2,0,23,32,34,2,2,12,16,12
Clostridium genomosp. BVAB3,643,196,3,0,0,0,0,0,10,0,397,0,7,1,0,0,0,14,0,0,0,0,5,0,0,0,0,0,5,0,1,0,0,4,0
Escherichia coli,2531,0,0,1,1738,0,0,0,1,0,0,0,0,0,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,775,0,7,0,2,0
Eukaryote,69,1,0,0,0,0,0,0,0,0,3,0,0,6,1,5,3,14,5,0,0,17,1,1,1,0,1,0,0,0,8,0,0,0,2
Gardnerella vaginalis Group A,18737,1493,1870,3449,8,775,4,53,105,9,5843,4,19,8,16,3,63,67,7,8,1,23,9,52,3,10,0,2067,1187,777,3,59,185,553,4
Gardnerella vaginalis Group B,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,1,86,0,0,0,0,0,0,0,0,0,294,0
Gardnerella vaginalis Group C,14132,174,408,96,5,18,9,497,28,3577,114,6,8,6,4,195,657,16,6,0,0,19,129,205,8,1,1,100,111,42,5334,1194,525,637,2
Gardnerella vaginalis Group D,82,0,0,0,0,0,0,64,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,1,0,0,0,0,2,0
Klebsiella pneumoniae,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,1,0,0,0,0,0,1,1,469
Lactobacillus crispatus,27007,1,3,7,15,10,22,40,3807,2,10,4880,18,7,26,25,160,106,7832,1162,1918,5354,502,647,64,2,29,79,63,2,2,69,18,116,9
Lactobacillus gasseri,6073,0,2,8,209,51,2599,17,11,21,7,2,2,23,3,3,48,16,2,3,3,13,8,7,1899,994,44,45,0,4,2,23,0,3,1
Lactobacillus iners,43313,14,7,1666,190,9179,1,17,2817,1,89,9,216,1321,5187,6473,5127,3496,73,25,390,105,236,518,11,3,493,26,309,11,3,253,126,4871,50
Lactobacillus jensenii,6728,21,11,9,19,11,23,4,8,2,8,141,2,1,16,2,19,2541,178,20,101,2209,15,204,6,1,985,13,9,5,2,11,1,117,13
Megasphaera sp. genomosp. type 1,11640,602,0,0,0,1,2,0,1,0,0,0,1,0,4,1,17,2,0,0,0,1,21,8,0,0,0,0,16,0,0,0,6,10957,0
Other Actinobacteria,308,17,0,2,0,0,7,99,2,4,0,0,0,0,1,0,0,4,3,0,0,0,0,33,0,5,0,1,2,103,0,2,9,13,1
Other Bacteria,15,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0
Other Bacteroidetes,35,0,0,0,14,0,0,3,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,3,0,1,0,1,9,0,0,0,0,1,0
Other Bifidobacterium,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,1,4,1,0,0,0,3,0,0,0,0,0,0,0
