Bacterial Species	Total reads	1B2_01_26	1B2_01_35	1B2_01_37	1B2_01_38	1B2_01_50	1B2_01_52	1B2_01_56	1B2_01_58	1B2_01_61	1B2_01_62	1B2_01_63	1B2_01_64
Lactobacillus iners	13473	11	7	1396	158	8769	1	17	2817	1	89	9	198
Gardnerella vaginalis Group A	13343	1477	1850	3302	8	762	2	44	102	9	5766	4	17
Actinobacteria sp.	10044	33	1	0	1	193	8137	138	10	4	96	2	1429
Lactobacillus crispatus	8286	0	3	5	8	8	20	39	3550	1	10	4627	15
Gardnerella vaginalis Group C	4870	165	399	91	1	16	5	489	27	3558	111	2	6
Prevotella amnii	3470	1	0	1	2	1	1	0	0	0	0	1	3463
Prevotella timonensis	2834	635	0	0	0	4	4	2151	2	35	2	0	1
Lactobacillus gasseri	2217	0	0	0	0	31	2146	16	3	19	1	0	1
Escherichia coli	1740	0	0	1	1738	0	0	0	1	0	0	0	0
Lactobacillus iners	733	3	0	270	32	410	0	0	0	0	0	0	18
Actinobacteria sp.	714	2	6	1	2	21	566	14	8	0	30	7	57
Atopobium vaginae	686	196	21	0	0	5	28	0	0	0	42	1	393
Clostridia sp. BVAB2	602	22	0	0	0	0	0	352	0	9	56	1	162
Other Prevotella	595	0	0	0	0	1	0	576	0	16	1	0	1
Clostridium genomosp. BVAB3	590	188	3	0	0	0	0	0	10	0	382	0	7
Megasphaera sp. genomosp. type_1	583	578	0	0	0	1	2	0	1	0	0	0	1
Other Firmicutes	564	0	9	0	0	0	0	0	7	0	546	2	0
Actinobacteria sp.	553	0	0	0	1	3	533	0	0	1	0	0	15
Lactobacillus gasseri	441	0	2	8	206	18	191	0	6	1	6	2	1
Clostridia sp. BVAB2	384	53	65	0	1	7	11	123	1	28	14	1	80
Lactobacillus crispatus	379	1	0	1	0	0	0	1	199	0	0	175	2
Streptococcus devriesei	325	2	8	23	35	51	41	15	35	21	39	25	30
Lactobacillus jensenii	258	21	11	9	19	11	23	4	8	2	8	140	2
Other Streptococcus	250	0	0	0	249	0	0	0	0	0	0	0	1
Lactobacillus gasseri	204	0	0	0	0	2	200	1	0	1	0	0	0
Actinobacteria sp.	203	0	0	0	0	1	196	1	0	0	1	1	3
Other Prevotella	185	0	0	0	0	0	0	180	0	5	0	0	0
Clostridia sp. BVAB2	167	3	1	0	0	0	0	3	3	0	135	0	22
Other Prevotella	164	0	0	0	0	0	0	160	0	3	1	0	0
Atopobium vaginae	162	7	6	17	18	27	17	6	10	8	13	14	19
Prevotella amnii	140	1	0	0	0	0	0	0	0	0	0	0	139
Prevotella timonensis	122	13	0	0	0	0	0	107	0	2	0	0	0
Other Actinobacteria	120	16	0	2	0	0	7	91	0	4	0	0	0
Other Prevotella	115	75	0	0	0	0	30	0	0	1	8	0	1
Lactobacillus crispatus	98	0	0	0	5	0	1	0	34	0	0	57	1
Other Clostridium	97	0	1	10	15	24	8	1	2	7	14	4	11
Gardnerella vaginalis Group A	89	0	0	88	0	0	0	0	0	0	1	0	0
Gardnerella vaginalis Group A	83	10	2	54	0	1	1	0	0	0	15	0	0
Other Clostridium	80	2	0	6	14	10	6	7	5	13	1	4	12
Other Firmicutes	76	50	13	1	0	1	1	0	6	0	4	0	0
Gardnerella vaginalis Group A	71	6	10	5	0	8	0	5	2	0	34	0	1
Other Lactobacillus	70	0	2	6	7	18	12	4	7	2	2	6	4
Prevotella timonensis	67	25	0	0	0	0	0	42	0	0	0	0	0
Gardnerella vaginalis Group C	64	9	8	2	4	2	4	8	1	19	1	4	2
Other Lactobacillus	55	1	0	7	1	31	0	0	14	0	0	0	1
Gardnerella vaginalis Group D	53	0	0	0	0	0	0	52	0	1	0	0	0
Prevotella timonensis	47	8	0	0	0	0	4	30	0	0	5	0	0
Gardnerella vaginalis Group A	41	0	8	0	0	3	0	3	1	0	26	0	0
Lactobacillus crispatus	41	0	0	0	0	2	0	0	23	0	0	16	0
Lactobacillus gasseri	40	0	0	0	0	0	38	0	2	0	0	0	0
Other Clostridium	40	0	0	0	39	0	0	1	0	0	0	0	0
Other Firmicutes	40	0	0	0	39	0	0	0	0	0	0	1	0
Other Firmicutes	37	37	0	0	0	0	0	0	0	0	0	0	0
Actinobacteria sp.	34	0	0	0	0	3	2	2	0	0	0	0	27
Other Firmicutes	34	0	0	3	0	7	7	1	7	0	2	6	1
Other Clostridium	32	19	0	0	0	0	0	0	0	1	12	0	0
Other Prevotella	32	0	0	0	1	0	0	30	0	1	0	0	0
Other Clostridium	30	0	0	0	0	0	0	24	0	2	0	0	4
Other Lactobacillus	29	0	0	0	0	6	5	1	0	0	0	17	0
Other Prevotella	27	0	2	0	0	0	0	0	0	0	25	0	0
Other Lactobacillus	23	0	6	4	0	1	2	0	0	0	10	0	0
Other Clostridium	22	0	0	1	0	10	0	0	8	0	0	2	1
Other Firmicutes	22	3	0	0	0	0	0	18	0	0	1	0	0
Other Streptococcus	21	0	0	0	20	0	1	0	0	0	0	0	0
Other Proteobacteria	20	2	1	0	0	4	9	1	0	0	2	0	1
Clostridia sp. BVAB2	19	0	0	0	0	0	0	13	0	0	0	0	6
Megasphaera sp. genomosp. type_1	17	17	0	0	0	0	0	0	0	0	0	0	0
Lactobacillus gasseri	17	0	0	0	0	0	17	0	0	0	0	0	0
Bifidobacterium breve	16	2	0	0	1	2	5	0	3	0	0	0	3
Clostridium genomosp. BVAB3	15	0	0	0	0	0	0	0	0	0	15	0	0
Other Proteobacteria	15	0	0	3	0	2	0	0	0	0	10	0	0
Other Lactobacillus	14	0	0	0	1	0	0	0	2	0	0	11	0
Other Proteobacteria	12	0	0	0	0	0	0	0	0	0	0	0	12
Other Lactobacillus	11	0	0	0	3	0	0	0	8	0	0	0	0
Other Proteobacteria	11	2	0	1	1	1	4	2	0	0	0	0	0
Other Prevotella	10	0	0	0	0	0	0	0	0	0	0	0	10
