"","kw.ep","kw.eBH","glm.ep","glm.eBH"
"Acetonema longum",0.460993853014828,0.845055208808582,0.0122707532623503,0.0135176695491996
"Acidaminococcus fermentans",0.483073850626404,0.845866135329133,0.0181029514449176,0.0196089258584139
"Acidaminococcus intestini",0.472785580267757,0.845585360456242,0.00648764864826137,0.00761223135824108
"Acidovorax avenae",0.481045648402099,0.846032457490175,0.009442036693576,0.0105618168756672
"Acidovorax ebreus",0.447811197205247,0.845375923233286,0.0109690837317273,0.0115884939217185
"Acinetobacter bereziniae",0.489680318939227,0.846681275746118,0.0327350895320688,0.0342669623968574
"Acinetobacter calcoaceticus",0.441271022276111,0.844256509488496,0.00691917136624291,0.0076999452452413
"Acinetobacter johnsonii",0.50706903446369,0.850375141908119,0.0173416607622485,0.0187256503987797
"Acinetobacter junii",0.482103511820116,0.846546726371734,0.0080941944521808,0.0092418795998245
"Acinetobacter lwoffii",0.466931504113144,0.845336151484706,0.0173653994617263,0.0188391220932146
"Acinetobacter parvus",0.475061663027851,0.847196178569999,0.0235689023107145,0.0250963173101176
"Acinetobacter pittii",0.510895357117037,0.847143872057565,0.0281811742043987,0.0296967622619261
"Actinobacillus minor",0.476796472758103,0.845422301051703,0.0196514270691646,0.0211619864060802
"Actinobacillus pleuropneumoniae",0.509199383100227,0.84863187800165,0.0343468460322518,0.0361016753209246
"Actinobacteria sp.",0.461282596102958,0.845849781255989,0.0140509695790606,0.0155486668732823
"Actinobaculum massiliae",0.496629675248506,0.846948838704559,0.0250575323232067,0.0264065413890095
"Actinomyces neuii",0.401331007574388,0.842608656016939,0.00409284919274586,0.0049825348148898
"Actinomyces neuii subsp. anitratus",0.465711906798754,0.847783731004284,0.0192299570434294,0.0207095623962767
"Actinomyces odontolyticus",0.525708600563288,0.848772407049095,0.0240306730352336,0.0257293098478478
"Actinomyces turicensis",0.475110098515466,0.845952800107577,0.0226919599373244,0.0242516164841759
"Aerococcus urinae",0.629672892750664,0.859096638676326,0.0796254080300373,0.0828020127937216
"Aerococcus viridans",0.507866519205163,0.849516856592091,0.0345379268316937,0.0363169063445741
"Aeromicrobium marinum",0.519651244314396,0.849217307321713,0.0312624332175285,0.0326825019024712
"Afipia clevelandensis",0.406037359619497,0.843067677450272,0.00488507385617601,0.00575272012843819
"Agrobacterium radiobacter",0.502051110803912,0.847947554320169,0.0298560705153452,0.0313381014926829
"Agrobacterium tumefaciens",0.491511019235801,0.846297460070263,0.0173506942722257,0.0188815082312407
"Agromonas oligotrophica",0.453333572109059,0.845735077750015,0.0236142302790166,0.0248506637652513
