"","kw.ep","kw.eBH","glm.ep","glm.eBH"
"Acetonema longum",0.471828895070211,0.894543879719921,0.490158000996985,0.912492327641907
"Acidaminococcus fermentans",0.407667455533583,0.864377748049812,0.444650073494632,0.906505968073712
"Acidaminococcus intestini",0.494778734021894,0.898493408526306,0.499080035280218,0.903167229960505
"Acidovorax avenae",0.536371546788582,0.9089807564172,0.492849801957517,0.921676574307003
"Acidovorax ebreus",0.415676194514355,0.854843215155629,0.45216977218434,0.881903446557092
"Acinetobacter bereziniae",0.439894992709608,0.884806500046478,0.475351662721382,0.887558678527072
"Acinetobacter calcoaceticus",0.512475492825498,0.908963566818886,0.525809414163074,0.916261954779035
"Acinetobacter johnsonii",0.526531561683792,0.911674704235021,0.522246405648638,0.923526636512003
"Acinetobacter junii",0.453090256462943,0.891352242204778,0.467957410941189,0.901886672682973
"Acinetobacter lwoffii",0.452853623184527,0.873186826916046,0.478827695223743,0.896084143490119
"Acinetobacter parvus",0.436059187322857,0.874110749714078,0.436312854252856,0.890143030911499
"Acinetobacter pittii",0.551492117045656,0.920596001114669,0.544073405437168,0.933944285439293
"Actinobacillus minor",0.516985150868635,0.906415214949766,0.518288506337768,0.919314020926592
"Actinobacillus pleuropneumoniae",0.467966312650841,0.882469848148168,0.45998993359483,0.900262146104099
"Actinobacteria sp.",0.0400212208435952,0.470201913973778,0.0142155472042778,0.160446095370031
"Actinobaculum massiliae",0.43115352282914,0.873302535696249,0.458768313403763,0.897449059639115
"Actinomyces neuii",0.531213058924894,0.924380549028228,0.521275140958894,0.932380706499103
"Actinomyces neuii subsp. anitratus",0.487188284678593,0.892453229767355,0.513053970289804,0.915990060235974
"Actinomyces odontolyticus",0.527930302802864,0.910204094560991,0.528715239729791,0.929395743573668
"Actinomyces turicensis",0.539774440375227,0.914701464184256,0.502571309876464,0.919970595042218
"Aerococcus urinae",0.00271339536527942,0.16986491308813,0.00239472450932096,0.0778513034112013
"Aerococcus viridans",0.514043988727798,0.900079598956355,0.506200799971079,0.925762556779871
"Aeromicrobium marinum",0.509420595168046,0.910792550693305,0.553150213004403,0.923669247283576
"Afipia clevelandensis",0.486276880588518,0.895127102434331,0.482609085700572,0.908189157764713
"Agrobacterium radiobacter",0.512203932123001,0.90486252853988,0.503268562468714,0.918018452997733
"Agrobacterium tumefaciens",0.539674172487574,0.910452466028699,0.528176699326023,0.923697503490992
"Agromonas oligotrophica",0.550761600284254,0.913106025648245,0.579678642291998,0.930035376703373
"Akkermansia muciniphila",0.484230702133469,0.892838480672417,0.46799346446817,0.897965685859577
"Alcaligenes faecalis",0.480990326191159,0.890448374464616,0.49395491165343,0.904996097579905
"Alicyclobacillus acidocaldarius",0.513701486251137,0.893676468792008,0.524913047029085,0.902731162195807
"Alistipes indistinctus",0.527970136310275,0.907222654468377,0.538631297270069,0.922159621756931
"Alistipes shahii",0.487998970335142,0.891836398552011,0.494646622783514,0.906848071614234
"Alistipes sp.",0.506806595872566,0.901652123668567,0.524765216980343,0.915164130294808
"Alloscardovia omnicolens",0.305821603272533,0.801621068985945,0.333997944369201,0.846332594490048
"amorphae DSM",0.46328275489008,0.879268354247685,0.472655785729242,0.879778060220353
"Amphibacillus xylanus",0.509355538867361,0.890293974968575,0.531518984010096,0.909099021249513
"Anaerococcus hydrogenalis",0.521870754852443,0.90085931902586,0.53397946068244,0.906225440702603
"Anaerococcus lactolyticus",0.517992105693883,0.90804614331885,0.509291155459829,0.921851068106713
"Anaerococcus prevotii",0.495372305210606,0.900949019155984,0.487328815021601,0.919971176147326
"Anaerococcus tetradius",0.481536208589336,0.901207934458212,0.482568660429733,0.918850759688587
"Anaerococcus vaginalis",0.475682640652746,0.893882784221881,0.503772750910093,0.916259473014087
"Anaeroglobus geminatus",0.460487678793412,0.881508398844971,0.41825910714279,0.881834441518784
"Anaerotruncus colihominis",0.513559911822506,0.897796092917361,0.513716942285681,0.912334775442972
"Aneurinibacillus aneurinolyticus",0.56014122270966,0.907262267573848,0.546637054304538,0.92348323671723
"Anoxybacillus flavithermus",0.478575312807705,0.887215217824454,0.48057628236705,0.904237958476252
"Arcanobacterium haemolyticum",0.492105010727123,0.902419019670567,0.511150763722917,0.924030291914159
"Arcanobacterium pyogenes",0.459339448323326,0.875611503145636,0.465697384750373,0.889889985990977
"Arthrobacter aurescens",0.473436261700151,0.885401746669606,0.466218197133104,0.900788675133692
"Arthrobacter chlorophenolicus",0.502800934177694,0.913579217445696,0.536434219282575,0.921746225060323
"Arthrobacter gangotriensis",0.503518009607215,0.901713785373259,0.514990819394289,0.913501186974314
"Arthrobacter globiformis",0.495666153315949,0.900658991592003,0.492106647342306,0.920600787581728
"Arthrobacter phenanthrenivorans",0.492466381307946,0.902197616915209,0.506224271635637,0.918536189817613
"Aspergillus niger",0.520416015285188,0.911138259967592,0.508242784751109,0.920586221670953
"Asticcacaulis excentricus",0.465546950135583,0.885167322966813,0.491477207280874,0.90949226321276
"Atopobium minutum",0.52576773428391,0.905957292052529,0.538408087083964,0.915178271890022
"Atopobium parvulum",0.530601038633328,0.908143392747097,0.533178418105708,0.915307580581988
"Atopobium vaginae",0.0351846368408726,0.55810198090713,0.0345249441259903,0.48665896308969
"Atopostipes suicloacalis",0.528045458158118,0.910068917473563,0.545517607687755,0.92307422326605
"Atopostipes suicloacalis ",0.504727652411563,0.902635162280661,0.474533321987678,0.912909493524259
"Azospirillum canadense",0.495785570105787,0.88768625188574,0.467578977884943,0.903245413437198
"Bacillus bataviensis",0.51179892825042,0.904420988617395,0.513226647710494,0.918876267944451
"Bacillus lentus",0.49996207973694,0.895636431015135,0.486805381787565,0.914085821394819
"Bacillus marinus",0.525629935069639,0.905451507694709,0.491362741173402,0.914982826259732
"Bacillus megaterium",0.498152397323009,0.906113326935268,0.529307793395789,0.922719710766736
"Bacillus mojavensis",0.475285561956303,0.882414682227278,0.461322887085736,0.899418123299732
"Bacillus pseudofirmus",0.53027245703579,0.908942103309699,0.507388289936684,0.925772409071304
"Bacillus psychrosaccharolyticus",0.468517801532313,0.882186543042533,0.464152272721858,0.887935082350508
"Bacillus stratosphericus",0.511036238675704,0.895059189874704,0.483189825364361,0.897860365497831
"Bacteroides cellulosilyticus",0.519543509440978,0.908942314948204,0.530740504156877,0.917081411019991
"Bacteroides clarus",0.506775705787881,0.893746242868458,0.511257194103029,0.909962814585452
"Bacteroides coagulans",0.520407226825029,0.916953774490965,0.551253145743657,0.933871668953534
"Bacteroides eggerthii",0.527574864983582,0.911064309638705,0.524264699613806,0.921107394152313
"Bacteroides pectinophilus",0.445946115739821,0.884291665369056,0.440685398368731,0.86997988588215
"Bacteroides salyersiae",0.52410631085382,0.907828151393761,0.546613188678681,0.925627276643364
"Bacteroides suis",0.475777742099459,0.894676291199462,0.505198848990287,0.906305447095962
"Bacteroides ureolyticus",0.490004387625003,0.894763213589075,0.514575025674604,0.914765436691052
"Bacteroides vulgatus",0.514323776497519,0.908496176274767,0.529701584593151,0.933343999488805
"Barnesiella intestinihominis",0.410250509497074,0.854495821581986,0.455739728593823,0.885455777158795
"Barnesiella viscericola",0.492495627662996,0.891741292530061,0.485783164696257,0.900083920098813
"Bartonella bovis",0.507983303536853,0.890305360166066,0.538539318677497,0.908478043890132
"Bdellovibrio bacteriovorus",0.585236436401795,0.920104991743424,0.56868683002818,0.919557802172549
"Bifidobacterium bifidum",0.489079254594503,0.89859403106249,0.461313180002396,0.908851923435368
"Bifidobacterium boum",0.524807975042865,0.902928697210616,0.503041510267021,0.904417223549641
"Bifidobacterium breve",0.536818480196258,0.920768626820892,0.573407373865313,0.940354015571075
"Bifidobacterium dentium",0.485449269924372,0.894282217490584,0.502239607778691,0.906176655924129
"Bifidobacterium kashiwanohense",0.45639116392596,0.882964930427944,0.459749349581258,0.893989102964107
"Bifidobacterium pseudocatenulatum",0.487690647579654,0.886007235416856,0.49074819736124,0.897241373443182
"Bifidobacterium thermacidophilum",0.468282494904623,0.875983666447071,0.480141308068582,0.905798650029593
"Bifidobacterium thermophilum",0.48654670946781,0.898777259051626,0.490855569911795,0.908695932729564
"Blautia hansenii ",0.472169119889946,0.889896731665608,0.46428627281498,0.889142188707271
"Blautia producta",0.521445742623628,0.906262751055215,0.510121213384681,0.915119997836689
"Bombus impatiens",0.498199602782289,0.895968672674967,0.488668583124226,0.916453079546444
