"","kw.ep","kw.eBH","glm.ep","glm.eBH"
"Acetonema longum",0.498297870492622,0.891143562780761,0.529004001527454,0.883446175484725
"Acidaminococcus fermentans",0.508283520808594,0.88857026960225,0.502968604945121,0.895282380864536
"Acidaminococcus intestini",0.495484302900248,0.879197809751815,0.469863871698575,0.864172405561056
"Acidovorax avenae",0.481599986092733,0.890125789742638,0.514755637073821,0.900622483670239
"Acidovorax ebreus",0.363791145451778,0.827784053432692,0.30674945422291,0.793896609210523
"Acinetobacter bereziniae",0.495085835674336,0.886469281556596,0.505403177665338,0.889003506758078
"Acinetobacter calcoaceticus",0.579757652227984,0.91496680380217,0.550592364099281,0.903876345645548
"Acinetobacter johnsonii",0.455765590600169,0.876656687824883,0.468001793570644,0.869168960933604
"Acinetobacter junii",0.464224883710698,0.880388883036183,0.436958000999116,0.873935098332575
"Acinetobacter lwoffii",0.490731565920021,0.890557955482049,0.517948923897494,0.884508103722825
"Acinetobacter parvus",0.451904106781184,0.882774370824904,0.487731984049821,0.882289050603174
"Acinetobacter pittii",0.51292834773561,0.891342857206532,0.502208698730801,0.887812968533745
"Actinobacillus minor",0.528259904015927,0.909929194995836,0.519793392509631,0.899108792897758
"Actinobacillus pleuropneumoniae",0.493527533575469,0.90215187953658,0.487915727417584,0.888245501188905
"Actinobacteria sp.",0.305389904398458,0.787968174545252,0.178672499620503,0.657155670923094
"Actinobaculum massiliae",0.472782749392044,0.893105370434835,0.496300436288471,0.8906610844851
"Actinomyces neuii",0.435381419755907,0.882412065054001,0.448675218317417,0.879502582902204
"Actinomyces neuii subsp. anitratus",0.520932952830377,0.895158781181529,0.487449147959761,0.883564341242509
"Actinomyces odontolyticus",0.505848108741633,0.894154180722877,0.534052253665705,0.898369189596926
"Actinomyces turicensis",0.464194351956258,0.862435819584909,0.4454616988233,0.846957974668587
"Aerococcus urinae",0.0521507221118369,0.477808289402477,0.0395856172511525,0.384839873424177
"Aerococcus viridans",0.492956097722897,0.900172229560625,0.489572140507852,0.892220916821835
"Aeromicrobium marinum",0.540846019193726,0.903074235502193,0.547660268498688,0.90473108044686
"Afipia clevelandensis",0.486487023926766,0.881329530324938,0.477786999008596,0.874065120792246
"Agrobacterium radiobacter",0.531171625594725,0.907027826421704,0.508490814324599,0.906670689467872
"Agrobacterium tumefaciens",0.507460323651782,0.897314951827415,0.487264152168099,0.886222760449852
"Agromonas oligotrophica",0.51033222247626,0.90027502308586,0.51364462967769,0.899365235273796
"Akkermansia muciniphila",0.493421134464762,0.901186027823438,0.537269371181633,0.901324809807112
"Alcaligenes faecalis",0.532755837883833,0.897727818902556,0.57253418714311,0.902796610329737
"Alicyclobacillus acidocaldarius",0.503888468534191,0.896915277174003,0.50358857169292,0.889736401295886
"Alistipes indistinctus",0.553356568103794,0.906514608243131,0.576797712628687,0.909275038179389
"Alistipes shahii",0.484646457766966,0.883649461475621,0.496004702497499,0.890793506673061
"Alistipes sp.",0.478489950700297,0.887052686461404,0.485459022897849,0.876747556817925
"Alloscardovia omnicolens",0.423638012481028,0.866282116611192,0.437632513896381,0.872461412965058
"amorphae DSM",0.476972878356541,0.894475811511765,0.495108553085305,0.885349109677485
"Amphibacillus xylanus",0.485279893120968,0.884414963083573,0.494106033297247,0.885378078125783
"Anaerococcus hydrogenalis",0.50036744253827,0.888127868764611,0.480529232147209,0.878134316239785
"Anaerococcus lactolyticus",0.544979607748464,0.909305287827849,0.513831946200082,0.891521552397828
"Anaerococcus prevotii",0.457353903603036,0.877988752311778,0.480173231877757,0.868967646774271
"Anaerococcus tetradius",0.496422011963834,0.894125369161847,0.52685002991731,0.889971052927287
"Anaerococcus vaginalis",0.463263130550001,0.864530841228891,0.456073076620554,0.862645581432568
"Anaeroglobus geminatus",0.52635211534599,0.898505328922877,0.525218222505688,0.895126132322971
"Anaerotruncus colihominis",0.501864238825082,0.895821614919961,0.498286616741696,0.878861050232976
"Aneurinibacillus aneurinolyticus",0.483209743764576,0.888241956026505,0.492070092329131,0.881835990072772
"Anoxybacillus flavithermus",0.435997056795354,0.85789659220633,0.435006795997733,0.847768972347536
"Arcanobacterium haemolyticum",0.505598084332114,0.883856293590055,0.468254754902002,0.871510456851098
"Arcanobacterium pyogenes",0.550611882387607,0.914919435932413,0.506629932521379,0.901915414205371
"Arthrobacter aurescens",0.533706870872756,0.900276690049816,0.514216850927258,0.88897133322961
"Arthrobacter chlorophenolicus",0.51113431880918,0.901810948723061,0.506480793980316,0.89900785907653
"Arthrobacter gangotriensis",0.465883908068375,0.857375400454866,0.469452215160614,0.860600646015215
"Arthrobacter globiformis",0.454067002676011,0.872631187470476,0.452303576070312,0.86113296407326
"Arthrobacter phenanthrenivorans",0.469653528629995,0.891229109436734,0.494442379224338,0.890724086894245
"Aspergillus niger",0.47759507661588,0.900751820794703,0.499317865542446,0.904710871585775
"Asticcacaulis excentricus",0.516077265548832,0.909409771914054,0.528147982848017,0.910919349367184
"Atopobium minutum",0.456316678508463,0.883911701647051,0.475216228447538,0.882241165317318
"Atopobium parvulum",0.469266659607316,0.880303058181345,0.499198750210001,0.887253921063483
"Atopobium vaginae",0.0252687430514304,0.437857750113175,0.0180262688107262,0.359149546076202
"Atopostipes suicloacalis",0.48389599751206,0.890307711695231,0.515776994680905,0.89586767733285
"Atopostipes suicloacalis ",0.533875930520587,0.910246418345112,0.533562279455084,0.903780189206431
