"","kw.ep","kw.eBH","glm.ep","glm.eBH"
"Acetonema longum",0.451036871853503,0.874777169466027,0.475588432307358,0.873346903551647
"Acidaminococcus fermentans",0.435277250603783,0.851329169379625,0.408121637909928,0.83966733059302
"Acidaminococcus intestini",0.524334231182584,0.897740168616366,0.539143241259689,0.895582590166027
"Acidovorax avenae",0.499933536597082,0.885945930914734,0.499606071167783,0.87871375694091
"Acidovorax ebreus",0.431133236541433,0.856524179631959,0.421108557480375,0.843377277695552
"Acinetobacter bereziniae",0.450238905280279,0.87697049965652,0.488096220119277,0.88601464808106
"Acinetobacter calcoaceticus",0.518260170479004,0.887672994754533,0.519322343295257,0.899295121828792
"Acinetobacter johnsonii",0.498303205167117,0.878800299605741,0.503307194119911,0.880431197796967
"Acinetobacter junii",0.527885775959333,0.896143358771475,0.5201998377713,0.89524586550159
"Acinetobacter lwoffii",0.50183582826434,0.877304799556199,0.481228655524241,0.876262790520448
"Acinetobacter parvus",0.48373376187793,0.873820773581521,0.482407803349398,0.881757510624135
"Acinetobacter pittii",0.570344437177778,0.906871933629006,0.547084037832312,0.905812842147432
"Actinobacillus minor",0.516937561635389,0.882466238851617,0.531390901155942,0.893845998907266
"Actinobacillus pleuropneumoniae",0.498621648117899,0.892791384617082,0.498776782709969,0.885670159378717
"Actinobacteria sp.",0.130941680099413,0.552337669911654,0.0445625944235786,0.290716615585185
"Actinobaculum massiliae",0.513302184051437,0.89034098287654,0.492080334427594,0.875467641976767
"Actinomyces neuii",0.325070134339009,0.801471003939661,0.228537887507546,0.729304099048709
"Actinomyces neuii subsp. anitratus",0.487885751678544,0.866897836570304,0.484052084682543,0.872199055823405
"Actinomyces odontolyticus",0.510094486349003,0.882795576993804,0.496547407014858,0.879103334136722
"Actinomyces turicensis",0.544184724042131,0.899129686730406,0.53804106622066,0.897047107308455
"Aerococcus urinae",0.00786348053261621,0.143779259542248,0.00589375774883483,0.104298818224206
"Aerococcus viridans",0.515143731216302,0.890034910206563,0.499019112727719,0.88942513447349
"Aeromicrobium marinum",0.516989551480484,0.900212055305488,0.518987535020479,0.888770093427107
"Afipia clevelandensis",0.447527253977992,0.871590875501468,0.450667388323422,0.868397711148206
"Agrobacterium radiobacter",0.471027538362933,0.871546555219789,0.468658755689826,0.876838599105047
"Agrobacterium tumefaciens",0.512489540654083,0.890275866124363,0.527085205650995,0.886470995326007
"Agromonas oligotrophica",0.531078296611234,0.892881540155867,0.513562088790145,0.887869332190248
"Akkermansia muciniphila",0.49293219883181,0.873396220754096,0.523263851940995,0.877000914941088
"Alcaligenes faecalis",0.499745290105239,0.876845669455529,0.492470149330459,0.873426078368185
"Alicyclobacillus acidocaldarius",0.562908064606656,0.897215086252299,0.540888934662603,0.902341699419889
"Alistipes indistinctus",0.51066451335087,0.89000484925278,0.523973737057003,0.89488880118826
"Alistipes shahii",0.507950272621495,0.892111661114421,0.522630844592555,0.90058785875348
"Alistipes sp.",0.429425691529885,0.853052740807168,0.478664734303263,0.851041796386875
"Alloscardovia omnicolens",0.261921828013005,0.764526798635656,0.263618777698211,0.757805174326223
"amorphae DSM",0.441759288004303,0.846619377523425,0.474109214203746,0.846583886390097
"Amphibacillus xylanus",0.537885301386592,0.894751041733399,0.531647144672464,0.887285536976686
"Anaerococcus hydrogenalis",0.517217465413892,0.89393849109868,0.521217167578327,0.895688755186322
"Anaerococcus lactolyticus",0.546649271360041,0.898219609510079,0.552308371027114,0.905165963302621
"Anaerococcus prevotii",0.553705703552646,0.901672572885189,0.564189853006053,0.901817559678821
"Anaerococcus tetradius",0.517003031691446,0.887174949766494,0.520823309337326,0.878586987417961
"Anaerococcus vaginalis",0.544089127194498,0.902666954651715,0.552067881464224,0.890745575734805
"Anaeroglobus geminatus",0.435381523051612,0.861715200091451,0.423730146033754,0.854610847280598
"Anaerotruncus colihominis",0.556100067585799,0.900506367050922,0.548398445197524,0.897311556072467
"Aneurinibacillus aneurinolyticus",0.465812103698079,0.870093945978917,0.46755862987147,0.868647005616483
"Anoxybacillus flavithermus",0.485981784561476,0.872970371112809,0.493835847991562,0.880610599008729
"Arcanobacterium haemolyticum",0.446982668036291,0.846383491494631,0.444786975797404,0.849017559365119
"Arcanobacterium pyogenes",0.490410849382211,0.880220103080583,0.461246127353042,0.867732229233411
"Arthrobacter aurescens",0.471969318678955,0.860115203584615,0.480674023317182,0.868093479523187
"Arthrobacter chlorophenolicus",0.463536816082251,0.873738352311579,0.466767986499468,0.868886080743857
"Arthrobacter gangotriensis",0.465414098741636,0.870047174036953,0.458406376248661,0.857520787452429
"Arthrobacter globiformis",0.51023269695543,0.888136073864775,0.506135035987427,0.880826196809056
"Arthrobacter phenanthrenivorans",0.502638297885795,0.890577376917093,0.495898668973051,0.889128086251732
"Aspergillus niger",0.520910066835396,0.898619157009857,0.518253034008261,0.896100312993173
"Asticcacaulis excentricus",0.502735577464918,0.870019713950867,0.510498314456435,0.871720607289166
"Atopobium minutum",0.557448215242719,0.908533423407117,0.542081921375044,0.898835724417779
