"","kw.ep","kw.eBH","glm.ep","glm.eBH"
"Acetonema longum",0.488987387161443,0.89058044660637,0.500429090671026,0.89837535463717
"Acidaminococcus fermentans",0.397510467092954,0.842080559684648,0.416050733844171,0.864863541893778
"Acidaminococcus intestini",0.50806371074127,0.898242074215341,0.536118758337182,0.905242617674788
"Acidovorax avenae",0.521582914992967,0.899259177846405,0.530204718909516,0.899714256916545
"Acidovorax ebreus",0.397478531268176,0.849286340776996,0.419926217472006,0.842187651219083
"Acinetobacter bereziniae",0.485979076916599,0.892861771198358,0.485201797830428,0.90445422982898
"Acinetobacter calcoaceticus",0.529175895853424,0.896515604591342,0.550046724782881,0.910314103193471
"Acinetobacter johnsonii",0.502863221532597,0.899864568006851,0.539611669847152,0.908057288335557
"Acinetobacter junii",0.532860529853559,0.898429786931067,0.553585397352785,0.908898143733694
"Acinetobacter lwoffii",0.544345783710814,0.900256947352514,0.570130077904772,0.920641843062865
"Acinetobacter parvus",0.507186929865431,0.88872787165013,0.513160700466824,0.884134285092373
"Acinetobacter pittii",0.443228165005348,0.86140759662227,0.448671563096543,0.869400483496905
"Actinobacillus minor",0.468582933087385,0.882738649461532,0.494229121807075,0.89475389544155
"Actinobacillus pleuropneumoniae",0.48367531644943,0.872447360333102,0.50762742248109,0.897471750846538
"Actinobacteria sp.",0.0475662536326838,0.479655211316241,0.0061984728216527,0.141925594229211
"Actinobaculum massiliae",0.482075649497165,0.877470363875806,0.501477884378185,0.884649668483587
"Actinomyces neuii",0.319645720762977,0.812542067339812,0.190269681072673,0.708247062051895
"Actinomyces neuii subsp. anitratus",0.471037584193418,0.877262482121229,0.458381980569359,0.89126427277909
"Actinomyces odontolyticus",0.510172697866396,0.889213237901083,0.516536288976523,0.914250084566237
"Actinomyces turicensis",0.491770975444238,0.88991639178155,0.453622281038335,0.893268698246024
"Aerococcus urinae",0.0118290830076874,0.293064483930104,0.0106276511954546,0.200673561637557
"Aerococcus viridans",0.499528207667661,0.894339628258824,0.506300281135047,0.900633008442667
"Aeromicrobium marinum",0.521807866400044,0.901540455809996,0.531599551510707,0.918588623157749
"Afipia clevelandensis",0.51624818878844,0.893074070674201,0.504854035666433,0.900721510365979
"Agrobacterium radiobacter",0.480741014776189,0.885596159173284,0.505225455429152,0.910849488470574
"Agrobacterium tumefaciens",0.514244665284618,0.901705585639793,0.533232315598388,0.902816846144379
"Agromonas oligotrophica",0.469782727820034,0.874434304251638,0.46800313702517,0.876297397533826
"Akkermansia muciniphila",0.520352437012388,0.891716304472257,0.516330949451732,0.902342508741763
"Alcaligenes faecalis",0.495854748432037,0.894612173892079,0.497026578002322,0.904953974898621
"Alicyclobacillus acidocaldarius",0.517250465152804,0.900869990747013,0.495222536109711,0.907569990596714
"Alistipes indistinctus",0.491185999242396,0.892732958866644,0.503597875720791,0.883374859791791
"Alistipes shahii",0.531086392674408,0.894124844012968,0.528707162710734,0.887358496260333
"Alistipes sp.",0.492983784305417,0.882015979383308,0.515646798019757,0.906017811788296
"Alloscardovia omnicolens",0.310125620690371,0.823176445447189,0.321933731848073,0.848883550989305
"amorphae DSM",0.511203478566834,0.897466923777571,0.509796111763119,0.899250141616205
"Amphibacillus xylanus",0.539524867240933,0.897697575353009,0.573494460269208,0.911131323290235
"Anaerococcus hydrogenalis",0.512621864963651,0.899692655107274,0.527957110669779,0.89851379723401
"Anaerococcus lactolyticus",0.479971056401402,0.879276115537941,0.476034805770363,0.880722111911705
"Anaerococcus prevotii",0.462370114616284,0.887000738734299,0.479413301813275,0.897654958283933
"Anaerococcus tetradius",0.528263474336768,0.894108413773409,0.508770899439796,0.89583684431393
"Anaerococcus vaginalis",0.505809539818813,0.889520409674765,0.512718853080932,0.900160191960625
"Anaeroglobus geminatus",0.47071015114847,0.87861192833646,0.428884365930562,0.864021228695109
"Anaerotruncus colihominis",0.560689140026113,0.910163296881276,0.59312355581352,0.929395659009386
"Aneurinibacillus aneurinolyticus",0.494952309675176,0.886518981332031,0.520487893402896,0.904147725409333
"Anoxybacillus flavithermus",0.460405286305797,0.879633188430993,0.509865112683537,0.902899160915133
"Arcanobacterium haemolyticum",0.514368543940375,0.893149639662155,0.537677911623173,0.90363102278307
"Arcanobacterium pyogenes",0.534239991306805,0.905468681142393,0.536569654539657,0.916516877510103
"Arthrobacter aurescens",0.465926095247777,0.855823862870703,0.504181109306073,0.863200755406966
"Arthrobacter chlorophenolicus",0.523424130693556,0.896866255247281,0.540315864738853,0.918765189486282
"Arthrobacter gangotriensis",0.471112889386675,0.860125347440071,0.484676713303622,0.876826052661532
"Arthrobacter globiformis",0.472369428350471,0.865422692285721,0.478179535267163,0.87813628800451
"Arthrobacter phenanthrenivorans",0.485755286623995,0.885805829895882,0.493703540695506,0.883780989514963
"Aspergillus niger",0.520691347624257,0.894829179780471,0.509193388277206,0.88862434624029
"Asticcacaulis excentricus",0.511433372422603,0.885035958889327,0.509808158607825,0.89765624766387
"Atopobium minutum",0.526240123799977,0.893816306220212,0.53028194251199,0.91288340797226
"Atopobium parvulum",0.495114851777055,0.885765788846888,0.502021048402786,0.88237332090859
"Atopobium vaginae",0.0276144212719401,0.474656242318583,0.027359797757542,0.387416164998387
"Atopostipes suicloacalis",0.560402877327392,0.902763504993132,0.556635101394055,0.915783347917161
"Atopostipes suicloacalis ",0.495708825977961,0.88142541764917,0.515309262461014,0.89408488385751
"Azospirillum canadense",0.485317997163723,0.892882886112511,0.527127853509366,0.900004793310557
"Bacillus bataviensis",0.491323279964564,0.881969687876281,0.494880467243272,0.8972194047395
"Bacillus lentus",0.471259735838327,0.872625314200354,0.490735044801976,0.876128609087155
"Bacillus marinus",0.502749710096262,0.884209681807971,0.48968931308271,0.8915461353917
"Bacillus megaterium",0.470526146032585,0.870245199848283,0.480124284074008,0.881562920757834
"Bacillus mojavensis",0.505649535198038,0.8978547786548,0.528071076198956,0.912307508990211
"Bacillus pseudofirmus",0.532759462129665,0.903942888998482,0.527765987871865,0.903880961064816
"Bacillus psychrosaccharolyticus",0.469020753596759,0.874401590607293,0.478555121499791,0.895457736107714
"Bacillus stratosphericus",0.533419308653081,0.907109871878355,0.514539339675015,0.912015505114645
"Bacteroides cellulosilyticus",0.505457607558157,0.889788980684479,0.508052135913724,0.897664734050566
"Bacteroides clarus",0.500202017395758,0.897102511268009,0.512497343157111,0.901612889940111
"Bacteroides coagulans",0.55058440629207,0.912958834210063,0.588164806418197,0.923672965431756
"Bacteroides eggerthii",0.477166196960305,0.887168497959988,0.493586187625804,0.895902037073467
"Bacteroides pectinophilus",0.315179508816259,0.799596478252187,0.362355116530689,0.792007769388813
"Bacteroides salyersiae",0.502796280652408,0.881178198941658,0.513298910209152,0.888769496003698
"Bacteroides suis",0.534410133773664,0.881817063149017,0.530981353279935,0.893313307027063
"Bacteroides ureolyticus",0.527883106495692,0.893854636643982,0.526649765813809,0.909616014216634
"Bacteroides vulgatus",0.493863804486423,0.879993351857328,0.504478411175832,0.899388066337838
"Barnesiella intestinihominis",0.338119539890577,0.814262524905852,0.352414168537137,0.803889606668327
"Barnesiella viscericola",0.495052155628205,0.886295839695897,0.52504416297929,0.893569234421097
"Bartonella bovis",0.516178602385412,0.881157278454548,0.514755294972187,0.903055024029345
"Bdellovibrio bacteriovorus",0.48162047732425,0.886305362356029,0.476187736664441,0.89003574158427
"Bifidobacterium bifidum",0.433942098525639,0.850039597304338,0.416016107868478,0.861311231015509
"Bifidobacterium boum",0.467148185752981,0.875541558241082,0.465164224371808,0.885028816428739
"Bifidobacterium breve",0.554822457025356,0.910208769226717,0.645384831921636,0.945321515192989
"Bifidobacterium dentium",0.566937609973267,0.912497124380492,0.612842892176919,0.937224617425206
"Bifidobacterium kashiwanohense",0.510524754339066,0.88565924029939,0.504129388615275,0.887209606484629
"Bifidobacterium pseudocatenulatum",0.475931741888399,0.890679400268304,0.473483363890316,0.897285242495213
"Bifidobacterium thermacidophilum",0.480053361491004,0.875338550511669,0.503455073484173,0.881457527194754
"Bifidobacterium thermophilum",0.510167817536174,0.892919748476598,0.512683682369376,0.898226120086097
"Blautia hansenii ",0.478834934490128,0.887368185278988,0.505521345488798,0.894643772420603
"Blautia producta",0.496868624392288,0.886027405715018,0.509283916835331,0.902125091228378
"Bombus impatiens",0.499853283463053,0.889440443944763,0.512116118629542,0.905056530100997
"Botrytis convoluta",0.473350466359488,0.89046743985721,0.487753875121667,0.89344687747549
"Brachyspira pilosicoli",0.477853603615647,0.87638717922302,0.514716281056252,0.884615531660009
"Bradyrhizobiaceae bacterium",0.513619492005357,0.890678307503386,0.511625976690001,0.883327153976007
"Bradyrhizobium japonicum",0.47977221821301,0.876842334744109,0.488902502896078,0.886240769768681
"Brevibacterium casei",0.517645554391763,0.888835996149697,0.490745938253011,0.894536288896762
"Brevibacterium linens",0.522722161063835,0.90337173718368,0.492642436271907,0.894749667145163
"Brevibacterium mcbrellneri",0.498065225868561,0.880644016655924,0.496974338070119,0.892387663623034
"Brevundimonas diminuta",0.458298176938315,0.875140859525778,0.478811749742364,0.889581640588996
"Brevundimonas vesicularis",0.482413611822119,0.886805932189115,0.505971607311015,0.88342696169104
"Brucella suis",0.353045184921668,0.821642789421404,0.371922922958686,0.826675527703505
"Bulleidia extructa",0.487818159767513,0.887159428582464,0.516446090552196,0.911773715209142
"Burkholderia ambifaria",0.433732993385505,0.862164993650738,0.469817068085735,0.884576347573241
"Burkholderia cepacia",0.487069727493911,0.888211528768233,0.470432823968282,0.87862442554853
"Burkholderia glumae",0.533303343190813,0.900552406032113,0.521554843811989,0.90789187084105
"Burkholderia phytofirmans",0.395664373172591,0.856856872750498,0.421103679713392,0.845985203366793
"Burkholderia pseudomallei",0.511257623685403,0.886603493612602,0.510733323814641,0.876442107519794
"Burkholderia vietnamiensis",0.488302456833775,0.881172606361122,0.511804445481733,0.875917453422514
"Burkholderia xenovorans",0.494166346801256,0.880194452904613,0.511068728743987,0.891472685230961
"Butyrivibrio proteoclasticus",0.510266252717718,0.893091207330958,0.508827395845886,0.891511506123866
"Caldicellulosiruptor saccharolyticus",0.457075927586427,0.880255520414955,0.441767697328228,0.880180187429833
"Campylobacter fetus",0.492957410321524,0.882164547435621,0.510447361448228,0.894945052919302
"Campylobacter hominis",0.497096540029347,0.876566608735068,0.511117222153393,0.891039552878341
"Campylobacter jejuni",0.499383394646392,0.880888611866182,0.516586426977272,0.909132428432868
"Candida albicans",0.482058419536652,0.880661823324838,0.490450000898835,0.887852027736215
"Candidate division TM7",0.497284864939546,0.882916635312466,0.481672199017944,0.879483298497416
"Candidatus Chloracidobacterium",0.483649783143992,0.89075451024938,0.480656620662225,0.895928795098135
"Candidatus Desulforudis audaxviator",0.471106125858636,0.874790008308346,0.47939011836313,0.894873089073841
"Candidatus Ishikawaella capsulata",0.480623690738155,0.881647737906125,0.486808905372439,0.892208134823711
"Candidatus Nitrospira",0.471167898452151,0.890420143929204,0.483913117284802,0.886705151330918
"Candidatus Pelagibacter",0.524870529585048,0.895291241498561,0.536192197532218,0.912207951128393
"Capnocytophaga sputigena",0.52558696787632,0.91150860955409,0.549668729473106,0.927830915913235
"Catenulispora acidiphila",0.512434335648715,0.890431390170929,0.491342674886842,0.899729494982019
"Cellvibrio gilvus",0.501044278040555,0.883582355195647,0.495438332727113,0.879816242918631
"Chlorobium phaeobacteroides",0.515730917049878,0.887139017720446,0.532435566535642,0.894134157361776
"Chlorobium tepidum",0.483015180252999,0.867159310440152,0.481830802677588,0.877787988464197
"Chloroflexus aggregans",0.513496371481461,0.891737098219358,0.501083412636434,0.903298999703003
"Chromohalobacter salexigens",0.491980261021466,0.899538548371779,0.496426157782432,0.901272701936619
"Chryseobacterium gleum",0.488011069120693,0.890511771643495,0.486793155637624,0.901387787423341
"Chryseobacterium meningosepticum",0.502236286922635,0.889258792900207,0.495964391312472,0.897332158722913
"Citrobacter youngae",0.496134001581224,0.884226210558231,0.490138919012837,0.8984362535054
"Citromicrobium bathyomarinum",0.46356101870231,0.870987240166637,0.47584475640104,0.886763105005443
"Clavibacter michiganensis",0.537869344579644,0.887341803906159,0.541399018256027,0.893569664761336
"Clostridia sp. BVAB2",1.49694981735157e-05,0.00359070551776157,6.07700567866046e-05,0.00841387429616255
"Clostridium aminophilum",0.479795518917001,0.88284268670218,0.512052969735287,0.896257610660818
