"","kw.ep","kw.eBH","glm.ep","glm.eBH"
"Acetonema longum",0.452123143044567,0.835644207971376,0.472394895346847,0.860495279767334
"Acidaminococcus fermentans",0.127472260926606,0.544639964045125,0.195342211502457,0.627319416361484
"Acidaminococcus intestini",0.496983920729367,0.862077976703531,0.475682568306769,0.85776146795551
"Acidovorax avenae",0.518673563734992,0.878152453583805,0.560416898618272,0.904839680515017
"Acidovorax ebreus",0.417692992188996,0.818214857171836,0.433810500948008,0.812532669091191
"Acinetobacter bereziniae",0.526032819208639,0.877805540868944,0.524412574111583,0.885182789335281
"Acinetobacter calcoaceticus",0.473262845184803,0.842546436657497,0.442855706256931,0.850832953576846
"Acinetobacter johnsonii",0.466460266999667,0.826830243453416,0.470670143668732,0.850956870941862
"Acinetobacter junii",0.473392283252464,0.863119788484894,0.501110867535045,0.878167894787959
"Acinetobacter lwoffii",0.461577760491839,0.838315788017717,0.471831661728119,0.846707708111359
"Acinetobacter parvus",0.453609584298952,0.835482217919395,0.465807769095103,0.842930839644949
"Acinetobacter pittii",0.479722473374057,0.814943728988231,0.464786737161405,0.818591792720211
"Actinobacillus minor",0.491857111802026,0.857725130028316,0.490243081304474,0.873001143925759
"Actinobacillus pleuropneumoniae",0.538132036650161,0.864706088618273,0.535577129496163,0.877075860911317
"Actinobacteria sp.",0.00331718781433271,0.0737970892781168,3.39254740186751e-05,0.00206205132703793
"Actinobaculum massiliae",0.493283554487622,0.847956719891075,0.476702445936306,0.861796632168747
"Actinomyces neuii",0.542066228092347,0.886684398507283,0.529210974997278,0.89090833412836
"Actinomyces neuii subsp. anitratus",0.459361851134071,0.834219348485149,0.471714481902547,0.861780094184477
"Actinomyces odontolyticus",0.500775758264967,0.847251063071173,0.506173935782892,0.872214355925121
"Actinomyces turicensis",0.529500530129148,0.868662983750215,0.504321343661941,0.876404116800865
"Aerococcus urinae",0.0597872059092242,0.418061326840121,0.106358906799087,0.555944571398715
"Aerococcus viridans",0.488614768162784,0.860740816345552,0.489381622504703,0.868715953373049
"Aeromicrobium marinum",0.49676512346611,0.847215119824486,0.466468205699283,0.840221371175918
"Afipia clevelandensis",0.547962284737675,0.884433838672046,0.576465596065153,0.902200486020803
"Agrobacterium radiobacter",0.526965868429856,0.870107163435572,0.545502787594699,0.888803028186749
"Agrobacterium tumefaciens",0.449474024877451,0.829587294903644,0.467854393000278,0.853225309411801
"Agromonas oligotrophica",0.492822373337371,0.8614819811831,0.516293474641268,0.876892399578338
"Akkermansia muciniphila",0.502484294943761,0.862919316410212,0.492513226117376,0.869357775952223
"Alcaligenes faecalis",0.478536781731882,0.853394698018409,0.500190138472569,0.872568636485942
"Alicyclobacillus acidocaldarius",0.478484735654684,0.853880713566549,0.479528391770797,0.872943980541148
"Alistipes indistinctus",0.498753905896369,0.857880420651034,0.526525602262128,0.880590730190463
"Alistipes shahii",0.528527099941252,0.864506107906869,0.508794735297615,0.868808160994627
"Alistipes sp.",0.493593650599797,0.854454796735619,0.50335696465743,0.875795089803882
"Alloscardovia omnicolens",0.202228491468824,0.667026573071938,0.243011601764233,0.704546634607753
"amorphae DSM",0.467418291445423,0.840289703950738,0.479099220116111,0.853619473679557
"Amphibacillus xylanus",0.516587797115536,0.865320933560669,0.524631376661059,0.874152200821555
"Anaerococcus hydrogenalis",0.503941147010238,0.865656672391481,0.496349429758395,0.871747683773417
"Anaerococcus lactolyticus",0.492460064228819,0.862689940539681,0.501412439684932,0.873277416471105
"Anaerococcus prevotii",0.512950473802272,0.872035502129343,0.530054516521778,0.89080342652947
"Anaerococcus tetradius",0.545625729969356,0.877286692756656,0.55110696206747,0.871882056252758
"Anaerococcus vaginalis",0.494377145682038,0.855082915428774,0.475600872163413,0.862519895353218
"Anaeroglobus geminatus",0.463225660458902,0.846488532033647,0.460291876413275,0.85501034125138
"Anaerotruncus colihominis",0.512004281492569,0.864893745704976,0.491147696316871,0.863732725887553
"Aneurinibacillus aneurinolyticus",0.49010993254602,0.856078882023289,0.471261119386895,0.859099829088394
"Anoxybacillus flavithermus",0.463865333469025,0.836056249290537,0.46703281398764,0.851533516695606
"Arcanobacterium haemolyticum",0.470481744174244,0.859288507061298,0.479364487605399,0.879072757422337
"Arcanobacterium pyogenes",0.515141313112247,0.876901122255686,0.540766861242563,0.893156585447759
"Arthrobacter aurescens",0.50079092115727,0.852114290710864,0.517063767979653,0.858729459054564
"Arthrobacter chlorophenolicus",0.479341593399535,0.843219272510487,0.500273753483828,0.863045616080735
