"","kw.ep","kw.eBH","glm.ep","glm.eBH"
"Acetonema longum",0.517493092593213,0.843977812305931,0.516157064254556,0.847541174853998
"Acidaminococcus fermentans",0.423424839590846,0.777819541243985,0.43403876524568,0.791200282349203
"Acidaminococcus intestini",0.541062426303414,0.867846741526352,0.546492489511079,0.866590525118037
"Acidovorax avenae",0.479190210232055,0.810785308409259,0.485286097063936,0.805491855077355
"Acidovorax ebreus",0.26991915666198,0.655580647606556,0.273683933939757,0.643001893823086
"Acinetobacter bereziniae",0.541054850875277,0.852810546111128,0.539303039015563,0.851602305072902
"Acinetobacter calcoaceticus",0.499063152783246,0.847693256666076,0.488981582554428,0.843385645583148
"Acinetobacter johnsonii",0.489326264632681,0.824030828010503,0.508128558890754,0.833761159733061
"Acinetobacter junii",0.547260105742105,0.854388347260637,0.568129563927674,0.876069254109753
"Acinetobacter lwoffii",0.529719796718034,0.86794752568771,0.525616688893249,0.871952118088093
"Acinetobacter parvus",0.473273638486601,0.83678067707878,0.472865451381338,0.820691491265744
"Acinetobacter pittii",0.514581823237872,0.841904576046467,0.518882510822385,0.843639262448112
"Actinobacillus minor",0.508271973042855,0.843057360260076,0.517525901070813,0.845245159918276
"Actinobacillus pleuropneumoniae",0.467317946648244,0.81360022163934,0.490515938792328,0.822836362718101
"Actinobacteria sp.",0.189872745153964,0.560216146658237,0.0645219099488282,0.310019396589112
"Actinobaculum massiliae",0.40232586173289,0.792618184634024,0.424343703835892,0.810348076463268
"Actinomyces neuii",0.528933174977205,0.847934183589646,0.572814624765952,0.88585211196288
"Actinomyces neuii subsp. anitratus",0.476062727645348,0.819242890342606,0.494408479739449,0.834353199074511
"Actinomyces odontolyticus",0.476196712755883,0.847344029554682,0.475173626749152,0.84003095109783
"Actinomyces turicensis",0.375601038558425,0.738329482148264,0.382254617765906,0.754406787334562
"Aerococcus urinae",0.0117211251606523,0.107910327981033,0.0114172114468094,0.101562706247567
"Aerococcus viridans",0.512258478289688,0.845545957905214,0.537831853703644,0.862502545819383
"Aeromicrobium marinum",0.504755897331402,0.846619670537561,0.53351786321662,0.864845312534202
"Afipia clevelandensis",0.472151695638168,0.821075223492324,0.518060514634463,0.843123787177647
"Agrobacterium radiobacter",0.504414352105175,0.851134714527298,0.511875528660566,0.857085911004838
"Agrobacterium tumefaciens",0.514101023205661,0.845880905647806,0.514621869893324,0.846405929435314
"Agromonas oligotrophica",0.506882393849557,0.839300047243014,0.538683655660784,0.848076988903876
"Akkermansia muciniphila",0.482275447905426,0.826279452348488,0.492383657803994,0.829906091425084
"Alcaligenes faecalis",0.545413245769055,0.852946973885643,0.516909310270315,0.85357919996425
"Alicyclobacillus acidocaldarius",0.517460863780734,0.842681830240828,0.540880577103022,0.846857314652632
"Alistipes indistinctus",0.502079321243066,0.849419519486543,0.504519881303895,0.841976407863868
"Alistipes shahii",0.482504974460251,0.832399716298497,0.485628942326921,0.815546535983699
"Alistipes sp.",0.512514782359981,0.847500901934,0.505429620237527,0.855681147088927
"Alloscardovia omnicolens",0.0464191566182209,0.304152890691693,0.117946031073751,0.465582850024353
"amorphae DSM",0.425987436248799,0.798462357885823,0.435147304162335,0.803292808890531
"Amphibacillus xylanus",0.481043130756913,0.833859544986366,0.505554606079783,0.849276240730324
"Anaerococcus hydrogenalis",0.464512950583525,0.823731332449103,0.486309669964133,0.821628575378085
"Anaerococcus lactolyticus",0.519113448784384,0.857141527804285,0.520482933182509,0.848283656209392
"Anaerococcus prevotii",0.467328583272696,0.831766771537764,0.462000581350501,0.827307295309116
"Anaerococcus tetradius",0.512023074921668,0.843852185609143,0.521819846946565,0.841524048515267
"Anaerococcus vaginalis",0.457823326732204,0.805480834851235,0.450769330488232,0.80893414222796
"Anaeroglobus geminatus",0.455431747545261,0.802899482874331,0.434868344058282,0.797670607472465
"Anaerotruncus colihominis",0.554258828788092,0.871614986571737,0.508486567900573,0.842536061727748
"Aneurinibacillus aneurinolyticus",0.483593431897226,0.829191024869712,0.459608152221397,0.813168591976608
"Anoxybacillus flavithermus",0.518428527254234,0.855126192648826,0.503246727227519,0.849071816794366
"Arcanobacterium haemolyticum",0.467611607079742,0.815441929360263,0.48144760224589,0.8263930365302
"Arcanobacterium pyogenes",0.470592148025211,0.818124932957834,0.472227237347152,0.818265165861525
"Arthrobacter aurescens",0.529119710440603,0.856322969863345,0.527267415102205,0.855525795576403
"Arthrobacter chlorophenolicus",0.526878080415192,0.857682124825808,0.540165606077663,0.856273417203222
"Arthrobacter gangotriensis",0.511423159086605,0.847783751103672,0.522105512424583,0.853563631238147
"Arthrobacter globiformis",0.509421515790862,0.839040729174857,0.519335111227711,0.84409875871453
"Arthrobacter phenanthrenivorans",0.457683509431337,0.817573948085405,0.433432060188933,0.79900982265054
"Aspergillus niger",0.486727603145793,0.840489914562143,0.496281348655212,0.839812834412023
"Asticcacaulis excentricus",0.50274973626327,0.838039832348807,0.478148576510168,0.826493449494213
"Atopobium minutum",0.496876909207011,0.839901640616568,0.503191424863289,0.844742438832957
"Atopobium parvulum",0.514849450402562,0.838430194984825,0.473325693540156,0.819180611701662
"Atopobium vaginae",3.52855760096607e-14,5.66209705793546e-12,4.91190201783637e-15,6.94885945378758e-13
"Atopostipes suicloacalis",0.50225649784478,0.827753710134985,0.51313142623191,0.852036195114278
"Atopostipes suicloacalis ",0.483531889550334,0.831993800208635,0.498218825679679,0.845039318127461
"Azospirillum canadense",0.513426312858273,0.847423974425528,0.50754848345846,0.840099382869834
"Bacillus bataviensis",0.515059209628553,0.837892641290036,0.513793500602157,0.843604236391074
"Bacillus lentus",0.479443509184825,0.822171241912634,0.473433869372711,0.825438310223733
"Bacillus marinus",0.479575495479653,0.828011391518653,0.483491270769718,0.832420543849695
"Bacillus megaterium",0.461717827449985,0.811570713588079,0.48763268962846,0.834737246484355
"Bacillus mojavensis",0.54974281180094,0.878066947019727,0.542594193340149,0.877543955005136
"Bacillus pseudofirmus",0.501541705126471,0.83752050648012,0.497174301921563,0.839754632959994
"Bacillus psychrosaccharolyticus",0.470267004540102,0.819300218561577,0.486902108492655,0.822405484303156
"Bacillus stratosphericus",0.454812075024314,0.814884016002601,0.462571681615622,0.821255925820073
"Bacteroides cellulosilyticus",0.459688356909504,0.830672128792948,0.482547582947094,0.843312610371671
"Bacteroides clarus",0.508746507447678,0.842357005815066,0.499738118277219,0.835807086316399
"Bacteroides coagulans",0.290008785809407,0.710468918047167,0.354176484602471,0.775830780718312
"Bacteroides eggerthii",0.50375427270608,0.839966229890793,0.508702959812053,0.844052325005357
"Bacteroides pectinophilus",0.544578398876972,0.865888987405429,0.527671875117327,0.851591375682063
"Bacteroides salyersiae",0.482574228755633,0.835966068714762,0.479938868339475,0.844611223732516
"Bacteroides suis",0.481648482385499,0.817550763475682,0.488710309930028,0.827487793965552
"Bacteroides ureolyticus",0.545588076709955,0.858716874920955,0.552278040832805,0.865691523286867
"Bacteroides vulgatus",0.526995450730388,0.845201187362657,0.544394963429545,0.860925832619997
"Barnesiella intestinihominis",0.480971841592935,0.845592365783055,0.501166200553049,0.845400782603131
"Barnesiella viscericola",0.435382770015555,0.78231556942746,0.432051237675647,0.781528560731827
"Bartonella bovis",0.492320715768875,0.813430681627635,0.472489023176312,0.816085626672335
"Bdellovibrio bacteriovorus",0.457077521198538,0.797481196784698,0.453025233778637,0.799924771843552
"Bifidobacterium bifidum",0.462811809581929,0.802793022562538,0.449338461043194,0.812767379899184
"Bifidobacterium boum",0.511306461213551,0.855910540998123,0.508560798297124,0.849345957221281
"Bifidobacterium breve",0.543302327249086,0.866086196985581,0.581774103987367,0.88648422600401
"Bifidobacterium dentium",0.42572197016182,0.795587922139175,0.414541014602926,0.791204623342829
"Bifidobacterium kashiwanohense",0.530278681388926,0.861618881697103,0.525965197531719,0.869799954653535
"Bifidobacterium pseudocatenulatum",0.491494161751797,0.832813497218551,0.503875897727291,0.840389907730534
"Bifidobacterium thermacidophilum",0.499826206276866,0.838462308436097,0.49691632730918,0.836417501495459
"Bifidobacterium thermophilum",0.485947051668545,0.847394206554295,0.504430791168525,0.845269439911442
"Blautia hansenii ",0.439058794349861,0.811696351262658,0.453984024630252,0.82337097804427
"Blautia producta",0.515215663409372,0.848793813953366,0.502038957360305,0.841570116308806
"Bombus impatiens",0.466352892436407,0.825843683756472,0.478849905341368,0.838573638605134
"Botrytis convoluta",0.509848959110869,0.834981478765334,0.514777942999349,0.838808187624192
"Brachyspira pilosicoli",0.503561251361179,0.828953414078514,0.484322348920722,0.827789158703684
"Bradyrhizobiaceae bacterium",0.527673100085528,0.84259279198491,0.492069588999452,0.826244341437614
"Bradyrhizobium japonicum",0.396051198641834,0.759524205193767,0.419967980252242,0.756034313195162
"Brevibacterium casei",0.483669170303858,0.832523681681268,0.497019284174779,0.838236562691684
"Brevibacterium linens",0.480456421512408,0.808890457824411,0.484556838890274,0.824887635971133
"Brevibacterium mcbrellneri",0.528605333362032,0.855463970106827,0.527687749709868,0.868145243524518
"Brevundimonas diminuta",0.474294638101652,0.802229610099208,0.455556720443943,0.787111247758868
"Brevundimonas vesicularis",0.524216726090771,0.855712761473846,0.470633187980428,0.838526309092468
"Brucella suis",0.124881620935014,0.44688095825698,0.136882120553002,0.478938844663873
"Bulleidia extructa",0.495942543217313,0.831170801093747,0.469063037333521,0.833391144290934
"Burkholderia ambifaria",0.49743706770518,0.825414414412256,0.49410580756265,0.825361859523131
"Burkholderia cepacia",0.476036549784634,0.822443407245784,0.505568973442608,0.836904398557158
"Burkholderia glumae",0.482880565957992,0.828102984601624,0.489222514368881,0.845291659862868
"Burkholderia phytofirmans",0.205967242231987,0.621660914364902,0.275285307182334,0.671578858192876
