"","kw.ep","kw.eBH","glm.ep","glm.eBH"
"Acetonema longum",0.524777247942641,0.876697718802217,0.495894577324004,0.869643513534693
"Acidaminococcus fermentans",0.22816048896694,0.68864324229698,0.28841481637106,0.753061669208174
"Acidaminococcus intestini",0.509013210405308,0.865572206226235,0.517953132703568,0.866576494733812
"Acidovorax avenae",0.487674749432285,0.858248238188547,0.510773161384116,0.8618115133071
"Acidovorax ebreus",0.411537170658843,0.827004201877453,0.411734244266106,0.815232776491029
"Acinetobacter bereziniae",0.456760016501304,0.837841206574695,0.487444122992611,0.843943008267677
"Acinetobacter calcoaceticus",0.445209348918585,0.826817898628091,0.438636192911296,0.832138604350067
"Acinetobacter johnsonii",0.487612630948488,0.86047065023399,0.475517026971334,0.847275018631898
"Acinetobacter junii",0.558484471607936,0.885063126290512,0.548030012808929,0.877592475933807
"Acinetobacter lwoffii",0.474112990672332,0.848821480556604,0.458429138053071,0.846212442998582
"Acinetobacter parvus",0.531252081943672,0.882807719349352,0.518585287625063,0.876611361220759
"Acinetobacter pittii",0.439525137088565,0.834867288289179,0.438048863867254,0.83863689612794
"Actinobacillus minor",0.468629170755184,0.850642923917771,0.477037129257117,0.865523185541944
"Actinobacillus pleuropneumoniae",0.481143199669085,0.859712372506788,0.446446191571572,0.85128601666593
"Actinobacteria sp.",0.00265952161321547,0.0957532749695859,0.000100435727829309,0.0103658706234156
"Actinobaculum massiliae",0.477084611892233,0.831145036278208,0.458719103710486,0.832832122176362
"Actinomyces neuii",0.442667791860497,0.844549992015083,0.494982476966043,0.858876829325948
"Actinomyces neuii subsp. anitratus",0.436322057349179,0.819571308461778,0.444669163353928,0.843770055883325
"Actinomyces odontolyticus",0.488872171533722,0.867561589354298,0.517627821165354,0.867107111622182
"Actinomyces turicensis",0.47634987598166,0.863609583014561,0.45072496312816,0.853960075237127
"Aerococcus urinae",0.0619362076541952,0.421362033839059,0.0826800269416512,0.471912937043757
"Aerococcus viridans",0.49079789584091,0.859897637599767,0.510232010669185,0.857661503857827
"Aeromicrobium marinum",0.475719245106207,0.848037121750811,0.500661291108989,0.853624951664602
"Afipia clevelandensis",0.509793734814046,0.871766017188165,0.506551310166936,0.874294920560088
"Agrobacterium radiobacter",0.508010865975495,0.857931234563659,0.534802144865716,0.874301281349393
"Agrobacterium tumefaciens",0.459309001821345,0.848011602668447,0.443285506613621,0.835955174845764
"Agromonas oligotrophica",0.503489265738245,0.860024237187878,0.510595956074323,0.866484732072908
"Akkermansia muciniphila",0.466871638360054,0.852879209750967,0.492625208762301,0.865932320301852
"Alcaligenes faecalis",0.500688578607442,0.868177629960531,0.501053435822122,0.861876652712775
"Alicyclobacillus acidocaldarius",0.480031833693874,0.858022986902296,0.502655009929083,0.864618630955739
"Alistipes indistinctus",0.486097392711986,0.856119171855106,0.497922144786574,0.86805383341004
"Alistipes shahii",0.493801475116468,0.854476485338362,0.485111853715161,0.856227364804155
"Alistipes sp.",0.487013346204992,0.87511773593002,0.50496481643153,0.871574513388265
"Alloscardovia omnicolens",0.393874121246151,0.811112272536928,0.362675203083522,0.787674371820689
"amorphae DSM",0.246159069888565,0.714082787026398,0.289510324688752,0.750095787789017
"Amphibacillus xylanus",0.536884752187998,0.887350271927355,0.538539898489221,0.887191981112687
"Anaerococcus hydrogenalis",0.480847067768847,0.866513389134621,0.476801363320856,0.858196162102429
"Anaerococcus lactolyticus",0.47732916197756,0.849891701259352,0.484507011927756,0.852460079715104
"Anaerococcus prevotii",0.526542895821469,0.873191360216262,0.521907705112301,0.872245615358931
"Anaerococcus tetradius",0.501564370995872,0.863970399701308,0.52215030593017,0.870537038728561
"Anaerococcus vaginalis",0.510032241569219,0.858270926835926,0.497772450535839,0.845647073954207
"Anaeroglobus geminatus",0.51421168638582,0.874076080670899,0.490219752978386,0.864338796950556
"Anaerotruncus colihominis",0.497035993280424,0.854716905038812,0.486185130519931,0.853533369906787
"Aneurinibacillus aneurinolyticus",0.480237111308012,0.862988659679675,0.493947876326101,0.866218895602781
"Anoxybacillus flavithermus",0.543583435060847,0.890227459537856,0.525422618440334,0.884144611525975
"Arcanobacterium haemolyticum",0.497787422652074,0.865490193936572,0.485568712556826,0.865767869299598
"Arcanobacterium pyogenes",0.47782911688419,0.851620873452199,0.464028997976784,0.859402233758909
"Arthrobacter aurescens",0.410066039497975,0.823884518327412,0.44212148238605,0.823596982277002
"Arthrobacter chlorophenolicus",0.546468200742572,0.889804102514823,0.524257759691636,0.881069723911894
"Arthrobacter gangotriensis",0.487028602482904,0.862811838496081,0.463491957487377,0.859823000305984
"Arthrobacter globiformis",0.5037715561367,0.870270643660475,0.533946975004865,0.883666448958315
"Arthrobacter phenanthrenivorans",0.479430395050831,0.855247147619937,0.51088420197385,0.865997809842347
"Aspergillus niger",0.510231194914315,0.875214806950143,0.517610177807232,0.869777321407876
"Asticcacaulis excentricus",0.500104453174435,0.867986709032686,0.49368947758873,0.866686067239317
"Atopobium minutum",0.49887778433613,0.861109764634058,0.528666574568253,0.872002361325601
"Atopobium parvulum",0.490276458831423,0.871951964668694,0.507230313642623,0.880118424853667
"Atopobium vaginae",0.0786104268499553,0.566775052431824,0.109966849999187,0.640239272409822
"Atopostipes suicloacalis",0.54489524083479,0.88999725267104,0.51391669010902,0.873221026277409
"Atopostipes suicloacalis ",0.410322312388569,0.800582923637354,0.386705244967358,0.783040044045211
"Azospirillum canadense",0.486579307374452,0.866384982125003,0.473813241698902,0.858965501850664
"Bacillus bataviensis",0.534043928799762,0.867635527204322,0.52301872245658,0.870877412546022
"Bacillus lentus",0.527467499030414,0.89040093421788,0.509327477870888,0.879491134601703
"Bacillus marinus",0.459580417387048,0.852769538355582,0.461710132930267,0.849248255714872
"Bacillus megaterium",0.548127871202413,0.881113050719304,0.512061074189455,0.866369992526287
"Bacillus mojavensis",0.525820639264227,0.860445206079834,0.48709203664966,0.84616501328675
"Bacillus pseudofirmus",0.546697978994358,0.87372045341599,0.547942041946125,0.873588232223889
"Bacillus psychrosaccharolyticus",0.457093811956827,0.847792463251647,0.457397889592629,0.850587035653913
"Bacillus stratosphericus",0.527975010555513,0.888064276877594,0.543518407854837,0.88922412482358
"Bacteroides cellulosilyticus",0.542122424669992,0.876095555823033,0.543761854852946,0.871918032440286
"Bacteroides clarus",0.492790470153266,0.865250313348431,0.497562673311927,0.873997045858886
"Bacteroides coagulans",0.391917154656641,0.792084759384422,0.400361471559407,0.785936838052062
"Bacteroides eggerthii",0.475166123645761,0.854153085776852,0.470969456275229,0.848088085366299
"Bacteroides pectinophilus",0.470326866530236,0.854457173272009,0.521782133983561,0.866955320445297
"Bacteroides salyersiae",0.499628153597506,0.87773941711338,0.534773116376623,0.883910694555961
"Bacteroides suis",0.485021291299211,0.850714320014025,0.487817696226287,0.855645786817362
"Bacteroides ureolyticus",0.468854976939144,0.856601341286383,0.46858715413478,0.849195054458144
"Bacteroides vulgatus",0.498994782855419,0.858173952396195,0.511242191847144,0.86774513216729
"Barnesiella intestinihominis",0.389297977978922,0.79306663994624,0.415982837016159,0.792023728042898
"Barnesiella viscericola",0.469548908694069,0.859664546411886,0.486523740826909,0.864393754554972
"Bartonella bovis",0.531618180440116,0.870670642674145,0.545180722431458,0.873342352034421
"Bdellovibrio bacteriovorus",0.475174275449078,0.856033441497406,0.481192280712654,0.857509544866667
"Bifidobacterium bifidum",0.483361276545892,0.853953274216466,0.488272180162113,0.858389453346359
"Bifidobacterium boum",0.452648112183519,0.846164532758256,0.483935572286767,0.849616307256201
"Bifidobacterium breve",0.484336166424754,0.844932069016388,0.423038921760083,0.838146737707692
"Bifidobacterium dentium",0.29953743078779,0.737087790491727,0.211491389917379,0.626087399278395
"Bifidobacterium kashiwanohense",0.497988459576087,0.867782726102448,0.488485589665254,0.86449952566576
"Bifidobacterium pseudocatenulatum",0.472399139798142,0.852690619597961,0.494086534404796,0.865447358431401
"Bifidobacterium thermacidophilum",0.469865713183187,0.861511541102287,0.491751752992588,0.874949846091453
"Bifidobacterium thermophilum",0.454510364413544,0.841554097217338,0.486788597642604,0.843599091581438
"Blautia hansenii ",0.381016058369035,0.8174527941882,0.41426393105161,0.832496092992195
"Blautia producta",0.484944859733441,0.860921839875209,0.492740822479732,0.860436512137936
"Bombus impatiens",0.493489057942151,0.862034763847776,0.47124748681295,0.853689069117714
"Botrytis convoluta",0.44682614218397,0.841450422213954,0.493116698204515,0.861317495204442
"Brachyspira pilosicoli",0.462154209870911,0.850851700028084,0.496970620926876,0.862638855652418
"Bradyrhizobiaceae bacterium",0.495708131016093,0.863857479573957,0.522802146042889,0.876145847914501
"Bradyrhizobium japonicum",0.401668070311098,0.796197134472272,0.400376444324602,0.802431151961368
"Brevibacterium casei",0.52268627902492,0.878091665887915,0.503207006781345,0.871529455378049
"Brevibacterium linens",0.463527943580367,0.843214850695997,0.46781549258164,0.846169671888028
"Brevibacterium mcbrellneri",0.485604404549937,0.855120713639587,0.491042236915408,0.870133460796674
"Brevundimonas diminuta",0.495936173862177,0.85917296245444,0.468200530936871,0.837884764217693
"Brevundimonas vesicularis",0.511928682942731,0.87912610402877,0.537676654123878,0.876337340354899
"Brucella suis",0.45425542158547,0.84416391486838,0.499992731885512,0.85913948481399
"Bulleidia extructa",0.394127210170857,0.797035572775234,0.396337366103178,0.807340786960697
"Burkholderia ambifaria",0.474380583890242,0.849997767089943,0.495908446579302,0.871032910509311
"Burkholderia cepacia",0.486555675270826,0.859737111733735,0.499642929300944,0.87022931508213
"Burkholderia glumae",0.522882143831773,0.861212756710138,0.521198453151985,0.861991408297585
"Burkholderia phytofirmans",0.299987138181077,0.752027752671801,0.239971555176638,0.702094481405701
"Burkholderia pseudomallei",0.513328618503773,0.86999981558597,0.534854825613204,0.878886212696431
"Burkholderia vietnamiensis",0.50814294988984,0.879800796107772,0.510164310620119,0.883837078197655
"Burkholderia xenovorans",0.387065746268463,0.818259276973716,0.331570446929689,0.762164803955433
"Butyrivibrio proteoclasticus",0.473121755488023,0.858120105997935,0.51377214125662,0.87458064317718
"Caldicellulosiruptor saccharolyticus",0.526141323666945,0.857039352303327,0.497951901535152,0.861125164799258
"Campylobacter fetus",0.481761841251018,0.868345120700154,0.486498398323756,0.859037449164055
"Campylobacter hominis",0.516409684378265,0.874454640281812,0.499029818800209,0.872582968826599
"Campylobacter jejuni",0.464253397977338,0.853790809077916,0.47330750293238,0.85918586270056
"Candida albicans",0.545026003013627,0.869226582597728,0.540510849336524,0.882358561262962
"Candidate division TM7",0.544182667359703,0.876233999736235,0.521388745577484,0.855552028882808
"Candidatus Chloracidobacterium",0.494121021432211,0.864851635061482,0.54193162994275,0.879899948963404
"Candidatus Desulforudis audaxviator",0.469125069070404,0.85897845557814,0.478945862092067,0.855593759162941
"Candidatus Ishikawaella capsulata",0.522923114397434,0.875135555362371,0.516612211346621,0.877138181322623
"Candidatus Nitrospira",0.517634381845832,0.863896039677004,0.535263303997456,0.875512234182619
"Candidatus Pelagibacter",0.454056324953023,0.840098238813824,0.470420929211174,0.84057693361738
"Capnocytophaga sputigena",0.480492108815762,0.84873416913268,0.483844545796042,0.846875124629415
"Catenulispora acidiphila",0.538262208989059,0.871518192129483,0.542472048192636,0.859161785525719
"Cellvibrio gilvus",0.511287205756499,0.860431240953898,0.499834801746082,0.862349394919779
"Chlorobium phaeobacteroides",0.51827657408179,0.888178398682025,0.520370226979052,0.889149838845284
"Chlorobium tepidum",0.517967547041751,0.854603759914419,0.535571145840712,0.85838271342527
"Chloroflexus aggregans",0.509061265413007,0.864787828564613,0.519606826764621,0.874262980244863
"Chromohalobacter salexigens",0.518424386351425,0.880663030167383,0.515003014695883,0.871626729106695
"Chryseobacterium gleum",0.515259400054181,0.864691203764665,0.51592058347806,0.875519293021385
"Chryseobacterium meningosepticum",0.490201229992666,0.84874010569093,0.499129242716098,0.865137389900001
"Citrobacter youngae",0.545332954340105,0.884445628879552,0.531608350569887,0.883729022299289
"Citromicrobium bathyomarinum",0.465755001033461,0.842662340766079,0.465959140064659,0.85387242427468
"Clavibacter michiganensis",0.498995984416316,0.854524504490353,0.473052150252975,0.854308771580686
"Clostridia sp. BVAB2",0.00453150875930361,0.168956588729053,0.0051325375926262,0.1867908848225
"Clostridium aminophilum",0.491301909581013,0.86895928280868,0.499644055149204,0.866353470352296
"Clostridium celatum",0.535996443357233,0.876072214083256,0.520474478889417,0.871739247132595
"Clostridium cellulolyticum",0.464569912216554,0.846677533648608,0.455376618044746,0.851420235249951
"Clostridium colicanis",0.511664046737661,0.864195534704178,0.477245265984735,0.851098225455316
"Clostridium drakei",0.535999567043524,0.887038044629557,0.567158131330174,0.893830617352299
"Clostridium genomosp. BVAB3",0.515319422639088,0.87706510957726,0.459502168373081,0.878647214122141
"Clostridium hylemonae",0.489498282933309,0.859805529522028,0.490946582407309,0.853653440618868
"Clostridium leptum",0.478622519796503,0.851700022430892,0.513437567312687,0.862083551409462
"Clostridium methylpentosum",0.492985772878995,0.847836672794647,0.504296484977982,0.858741024790595
"Clostridium nexile",0.496729283277633,0.86377299085833,0.508510010145289,0.869819299156172
"Clostridium papyrosolvens",0.497336001567726,0.856919642977899,0.505338033476225,0.857604156072574
"Clostridium saccharoperbutylacetonicum",0.104774735209688,0.512405287290556,0.150413895673488,0.55003315905291
"Clostridium scindens",0.484574450666744,0.865397421899071,0.479976150693063,0.864987563249636
"Clostridium stercorarium subsp. stercorarium",0.428396095825231,0.816232909082881,0.375587459492718,0.78338278909899
"Clostridium symbiosum",0.460900112466672,0.835914538395512,0.47193747677887,0.836180514345709
"Clostridium termitidis",0.502096376293071,0.854605056208935,0.542287130983471,0.884063137961916
"Collinsella aerofaciens",0.520565853774925,0.866320870917254,0.524593041197494,0.872237510932143
"Collinsella intestinalis",0.519336865219493,0.87078007963627,0.532129648788035,0.871943641788122
"Comamonas terrigena",0.486814052695197,0.85432015162954,0.498637876228705,0.858181271496641
"Conexibacter woesei",0.51595123521832,0.872546593037053,0.506836969339683,0.865402911860361
"Coprococcus catus",0.470537896597105,0.858556019099057,0.454890644210153,0.845203479563275
"Coprococcus eutactus",0.369743863264259,0.77640529950716,0.37800488856688,0.797955757151442
"Corynebacterium accolens",0.243050316373215,0.721730093467817,0.28290754922708,0.740101362565597
"Corynebacterium amycolatum",0.499745537825995,0.861158484434371,0.497963886336681,0.85586765094631
"Corynebacterium casei",0.496527944487775,0.864265553623121,0.492514333897358,0.853085936357492
"Corynebacterium cystitidis",0.478175912612136,0.855928553396024,0.487149010329685,0.864132010713786
"Corynebacterium flavescens",0.482263797886026,0.867872075389644,0.489411940298978,0.86270846373403
"Corynebacterium genitalium",0.35465376161534,0.765602198702372,0.323477892971221,0.747505287219544
"Corynebacterium glucuronolyticum",0.525321989905083,0.875951356135259,0.546132050458049,0.882328253879764
"Corynebacterium halotolerans",0.47448309012109,0.864869928471661,0.481678082717488,0.8527237435122
"Corynebacterium jeikeium",0.509021551973285,0.880429084792182,0.522788214063346,0.871444872622667
"Corynebacterium kroppenstedtii",0.484902688799944,0.858847253968945,0.48524776581459,0.853511312153402
"Corynebacterium lipophiloflavum",0.465457326849807,0.856451628547813,0.45694242994073,0.856025272089723
"Corynebacterium resistens",0.494776649978341,0.864038789485599,0.495509495259579,0.865023713183137
"Corynebacterium simulans",0.458022494680211,0.839838461037883,0.437606133707595,0.840816867089479
"Corynebacterium striatum",0.465607673053932,0.842468808399732,0.496005516084016,0.857769509852922
"Corynebacterium tuberculostearicum",0.506407007280515,0.880835884212187,0.48489467698446,0.87051411810436
"Corynebacterium urealyticum",0.490027263689057,0.870933438978297,0.493137891773718,0.868484422428875
"Cupriavidus taiwanensis",0.483519520159074,0.858315493742385,0.497398689451047,0.854934669456305
"Curtobacterium flaccumfaciens",0.462575940501013,0.847816454934951,0.457971827546101,0.841206183391472
"Deferribacter desulfuricans",0.419434561528239,0.841128863510895,0.439135622965895,0.850810299375781
"Deinococcus deserti",0.49828286665536,0.853211824628057,0.46281905866214,0.831733085252062
"Deinococcus grandis",0.471883643181939,0.83833976481536,0.475922762641194,0.838830960370297
"Denitrovibrio acetiphilus",0.48515883870365,0.835633507061883,0.501793604201875,0.853180484263881
"Desulfomicrobium baculatum",0.505628860551212,0.864547947025626,0.513321706098819,0.863207446129165
"Desulfotomaculum hydrothermale",0.421037013001338,0.806966097563226,0.423863968750241,0.813877733226129
"Desulfovibrio desulfuricans",0.474632364508406,0.848304824477961,0.464596991682946,0.845661061482467
"Desulfovibrio piger",0.525987431998639,0.877764298593809,0.542552034482072,0.886859370530797
"Desulfurivibrio alkaliphilus",0.445895153182133,0.825734778277948,0.441653678724565,0.825611183895772
"Dialister invisus",0.49501222522403,0.863600757775817,0.494044577793231,0.858122455186709
