"","kw.ep","kw.eBH","glm.ep","glm.eBH"
"Acetonema longum",0.549184177612237,0.893492948727267,0.546515673000033,0.903150298373422
"Acidaminococcus fermentans",0.283449641749676,0.750603460611635,0.299853957555159,0.766809765402301
"Acidaminococcus intestini",0.309054997583706,0.76398952864067,0.226755280178848,0.710873161178774
"Acidovorax avenae",0.505586006628023,0.863744659937048,0.4432598280179,0.840480582577497
"Acidovorax ebreus",0.481579459415419,0.860979443990998,0.400170913196614,0.834059477691494
"Acinetobacter bereziniae",0.497024361989534,0.87298875048127,0.504570166364841,0.871981287172504
"Acinetobacter calcoaceticus",0.469365168218868,0.859155492312983,0.49037349355644,0.862094920698287
"Acinetobacter johnsonii",0.471655988447243,0.876749431519815,0.514272714444292,0.881089965761681
"Acinetobacter junii",0.5264419102328,0.892326175014845,0.538444803136365,0.893653903604698
"Acinetobacter lwoffii",0.440582285835201,0.866031156662731,0.491467743086073,0.892012920424842
"Acinetobacter parvus",0.474143654020999,0.851610327803568,0.461425205910227,0.839967194327166
"Acinetobacter pittii",0.48404017313185,0.876589674178603,0.491112238652775,0.888071428011882
"Actinobacillus minor",0.506383302121693,0.864953170723051,0.519672490390911,0.870283804279876
"Actinobacillus pleuropneumoniae",0.50012291203065,0.877014603553915,0.489181906488154,0.879272602015683
"Actinobacteria sp.",0.0631971718750561,0.447738306741177,0.00983873445225969,0.156523728930665
"Actinobaculum massiliae",0.531834823613035,0.900743561324796,0.575423150499668,0.913643761287642
"Actinomyces neuii",0.520805191515951,0.892685360304028,0.520641844026724,0.900445940830362
"Actinomyces neuii subsp. anitratus",0.489366135237766,0.85560582299059,0.50767807304796,0.87277351856658
"Actinomyces odontolyticus",0.508253610249949,0.880867891647332,0.502417193037527,0.879024997140404
"Actinomyces turicensis",0.510082059233627,0.879543987036633,0.542820628072532,0.88185600809498
"Aerococcus urinae",0.0657879155151159,0.483093488096549,0.0907201354655625,0.508165552392682
"Aerococcus viridans",0.491954538984105,0.869474231876509,0.49280278386783,0.873088682707186
"Aeromicrobium marinum",0.515512078329814,0.879454897338934,0.516382417512416,0.880944434487532
"Afipia clevelandensis",0.394467803947526,0.820312366651589,0.305504694607278,0.790288785895019
