"","kw.ep","kw.eBH","glm.ep","glm.eBH"
"Acetonema longum",0.485933939034517,0.903973001374988,0.488853279333963,0.912867630919951
"Acidaminococcus fermentans",0.391640077226702,0.859995393351807,0.374167915960483,0.877247145780345
"Acidaminococcus intestini",0.449943819534934,0.886398454871533,0.433181667693903,0.888226638548233
"Acidovorax avenae",0.50332375711585,0.912415998107696,0.506790593258243,0.916381600454919
"Acidovorax ebreus",0.525560416646928,0.898684962955242,0.5536830758222,0.907268211046677
"Acinetobacter bereziniae",0.496133980996669,0.897529547923327,0.47052477836228,0.899844038208382
"Acinetobacter calcoaceticus",0.477365012627433,0.884646650656115,0.480809955963746,0.895344427403299
"Acinetobacter johnsonii",0.502939628690858,0.89906213764759,0.514044755953293,0.908511980895544
"Acinetobacter junii",0.503495252364299,0.894764317763831,0.522382961477404,0.905709208151006
"Acinetobacter lwoffii",0.525456120324059,0.910021154724782,0.512007598377097,0.913407148442427
"Acinetobacter parvus",0.446807416088811,0.887225337131795,0.447902972734414,0.891830308105746
"Acinetobacter pittii",0.53645711365311,0.914633632800631,0.524326982301282,0.915741048633009
"Actinobacillus minor",0.446707222978095,0.867485856232736,0.470895882264505,0.880329712587087
"Actinobacillus pleuropneumoniae",0.468562241543367,0.882626988678372,0.482865109486127,0.901602296023888
"Actinobacteria sp.",0.0411423726553849,0.499494638638222,0.00706324840423229,0.205172151989457
"Actinobaculum massiliae",0.467692821374955,0.895878557330188,0.448084015911012,0.891834066367792
"Actinomyces neuii",0.628197508916646,0.938843241432941,0.669917889263888,0.955470419198624
"Actinomyces neuii subsp. anitratus",0.426396131458868,0.861389864673073,0.430495071267629,0.89233826819618
"Actinomyces odontolyticus",0.512125704389333,0.900481781782791,0.518318941901918,0.909772987038581
"Actinomyces turicensis",0.536590567392685,0.89879181932713,0.556880138404623,0.923961224098246
"Aerococcus urinae",0.0141215495103873,0.404054325960811,0.0180345968058345,0.385563972515796
"Aerococcus viridans",0.523779474077613,0.904139805105007,0.530691372144254,0.911109810747619
"Aeromicrobium marinum",0.508954868593895,0.892447119907147,0.507521692946251,0.899590525890439
"Afipia clevelandensis",0.505705395687978,0.91044713879424,0.515983639792514,0.919400721875648
"Agrobacterium radiobacter",0.491424437344301,0.903157896490728,0.517574951977432,0.90676824406802
"Agrobacterium tumefaciens",0.522860244097332,0.904610575682492,0.528344602004872,0.917716237628331
"Agromonas oligotrophica",0.455922332266069,0.883064065300798,0.475867847379522,0.908884476018566
"Akkermansia muciniphila",0.49548300331176,0.906696458985578,0.523028008448053,0.916956606323613
"Alcaligenes faecalis",0.46195071390428,0.889796199615617,0.478164388959075,0.905381612153298
"Alicyclobacillus acidocaldarius",0.531925665252146,0.905006337251262,0.556106300554201,0.922447447944874
"Alistipes indistinctus",0.476107215344211,0.893685273256727,0.510193242341319,0.911886220602819
"Alistipes shahii",0.478461142026514,0.877351296218545,0.490086067181326,0.889797256382712
"Alistipes sp.",0.518142507071611,0.90745622541122,0.530888874440934,0.920229372220466
"Alloscardovia omnicolens",0.609843547585874,0.935931148922441,0.612089261089741,0.954891880138941
