"","kw.ep","kw.eBH","glm.ep","glm.eBH"
"Acetonema longum",0.476663418941612,0.832743250105484,0.469862247569958,0.83534874831514
"Acidaminococcus fermentans",0.0913320094261292,0.406770674014374,0.134654862158313,0.488740629634101
"Acidaminococcus intestini",0.475671627733829,0.838500524922884,0.499184445921482,0.852028073438646
"Acidovorax avenae",0.440755336307417,0.815183501580197,0.45152220196347,0.833086944529513
"Acidovorax ebreus",0.384683927772287,0.778363699225488,0.4068030458792,0.792752699719186
"Acinetobacter bereziniae",0.506631885679387,0.853712260875186,0.511039228644337,0.85659526711565
"Acinetobacter calcoaceticus",0.476909161839434,0.845497815406225,0.490104496660998,0.859357034834074
"Acinetobacter johnsonii",0.508131475193638,0.857158667620483,0.533126177074974,0.871039671907761
"Acinetobacter junii",0.515475706020154,0.859779510442726,0.50604448080821,0.869395225461009
"Acinetobacter lwoffii",0.494950581215612,0.849325533479152,0.499030345256412,0.871429961667492
"Acinetobacter parvus",0.492391463887837,0.840015779906135,0.511946425534578,0.851160094144347
"Acinetobacter pittii",0.453587299967418,0.828959168439875,0.45725108382368,0.844359889285961
"Actinobacillus minor",0.501133645821245,0.859808225272226,0.490367858256486,0.85820998849267
"Actinobacillus pleuropneumoniae",0.526552739436485,0.868479645849906,0.505143059266955,0.865493781068519
"Actinobacteria sp.",0.000732292239329495,0.0193696303858591,2.03870226937762e-06,0.000143146944930126
"Actinobaculum massiliae",0.44928913687819,0.835453883519655,0.454433539464178,0.838394251752517
"Actinomyces neuii",0.468674528955939,0.850944885825627,0.482538528094222,0.852835682532872
"Actinomyces neuii subsp. anitratus",0.422280933699521,0.779554922585285,0.414146440735674,0.804958106085273
"Actinomyces odontolyticus",0.486297194558387,0.831407328913718,0.496667350605676,0.835071069217903
"Actinomyces turicensis",0.532628299320522,0.863986716703757,0.510560653576515,0.866564081704718
"Aerococcus urinae",0.018190730689498,0.19504043697059,0.0342254076519718,0.269417531372278
"Aerococcus viridans",0.501896238636089,0.836631133658231,0.488097548089749,0.85020550075916
"Aeromicrobium marinum",0.512223672831382,0.860847281913522,0.490529912458325,0.857901685617144
"Afipia clevelandensis",0.450109499469539,0.822784820344764,0.479636817499272,0.837301075793173
"Agrobacterium radiobacter",0.488133951087041,0.843879541573478,0.486630458044428,0.854829906201522
"Agrobacterium tumefaciens",0.477025917154954,0.832663126488356,0.472889240846215,0.850889899576723
"Agromonas oligotrophica",0.481694502904109,0.839046099417698,0.49503822050221,0.853591564882392
"Akkermansia muciniphila",0.477084495116087,0.8348237215525,0.492642442429881,0.851031572956339
"Alcaligenes faecalis",0.536825721811706,0.855019014194186,0.517430990710991,0.871973258569604
"Alicyclobacillus acidocaldarius",0.510611214312828,0.857950242750471,0.52406123478529,0.873272814112669
"Alistipes indistinctus",0.496919104609677,0.84600170711009,0.506335337305798,0.858394638730659
"Alistipes shahii",0.506620855383366,0.865544508125362,0.491747514841418,0.867262570739273
"Alistipes sp.",0.504786300772219,0.847022448442107,0.503134483047494,0.859442820747785
"Alloscardovia omnicolens",0.492631190704094,0.855589001584386,0.47580354835309,0.86032959634388
"amorphae DSM",0.472411686984761,0.83464483088495,0.452567614399513,0.830660650295798
"Amphibacillus xylanus",0.447657324998702,0.817641104535375,0.447778469988649,0.833747450152696
"Anaerococcus hydrogenalis",0.515779299549137,0.860186708776169,0.519517501833632,0.861777988140859
"Anaerococcus lactolyticus",0.486574222287276,0.844844782864978,0.49901872980296,0.853050324853403
"Anaerococcus prevotii",0.511529970561852,0.84120197771411,0.489488276546452,0.842538772104158
"Anaerococcus tetradius",0.524328173887846,0.865097594092137,0.521476167115053,0.858050615265885
"Anaerococcus vaginalis",0.452377463540928,0.82212673147004,0.459900395157903,0.84045099138502
"Anaeroglobus geminatus",0.44694410736205,0.821670016361762,0.451267480250849,0.830092323219084
"Anaerotruncus colihominis",0.429308290738116,0.813196734527797,0.469155218556035,0.831309169680625
"Aneurinibacillus aneurinolyticus",0.539318741804463,0.86654885997571,0.532044137258857,0.863019998860243
"Anoxybacillus flavithermus",0.512366415597474,0.857301546545371,0.498975925826995,0.851163793212655
"Arcanobacterium haemolyticum",0.488890133777041,0.840086012122878,0.471902511464367,0.847750780991296
"Arcanobacterium pyogenes",0.486048056516403,0.828731616819146,0.494401544436816,0.845413063303642
"Arthrobacter aurescens",0.499296084739943,0.856832286565005,0.525073203610494,0.870861258047733
"Arthrobacter chlorophenolicus",0.505624586916663,0.856570243981882,0.506208773106819,0.867471851735265
"Arthrobacter gangotriensis",0.482818422490257,0.83800453820269,0.481505984569496,0.862635724612599
"Arthrobacter globiformis",0.475399829971358,0.846664324660771,0.486271410081316,0.869317885698639
"Arthrobacter phenanthrenivorans",0.537763474666304,0.872811732821289,0.518135481657504,0.877319063049124
"Aspergillus niger",0.538386653584612,0.872841000766829,0.534128691989913,0.884430131086721
"Asticcacaulis excentricus",0.480667285486861,0.835028719636254,0.504679229984807,0.853721650529103
"Atopobium minutum",0.466962876046316,0.821386744326159,0.48143423768718,0.837751653272029
"Atopobium parvulum",0.534263788669886,0.857628560991102,0.540818526775775,0.861734581460305
"Atopobium vaginae",0.00582702983849989,0.118871071160955,0.0189173356605089,0.24856869271433
"Atopostipes suicloacalis",0.48058747263516,0.842747894442734,0.496208977074194,0.863301559051294
"Atopostipes suicloacalis ",0.399438167712097,0.754182335264339,0.354050506289436,0.741149315423898
"Azospirillum canadense",0.517961612624932,0.855963458005762,0.528664611242488,0.871609362581149
"Bacillus bataviensis",0.529258103271744,0.871431713254878,0.52475482461627,0.881969771457712
"Bacillus lentus",0.515892617456539,0.855827599141965,0.49550303349272,0.853191268664657
"Bacillus marinus",0.499172654030566,0.847135526263657,0.510555290497715,0.866777003049371
"Bacillus megaterium",0.496047153327121,0.839573639296603,0.492508335519353,0.856479345741586
"Bacillus mojavensis",0.535713921142416,0.858797486985208,0.518697627026279,0.868810079542303
"Bacillus pseudofirmus",0.517031018692434,0.851822678721401,0.51687488576879,0.874087865103493
"Bacillus psychrosaccharolyticus",0.488727716502645,0.858008372036437,0.504675200759089,0.872244922393392
"Bacillus stratosphericus",0.430094680475929,0.82283554100783,0.406966575335059,0.81849707764352
"Bacteroides cellulosilyticus",0.500320219943797,0.859982682720552,0.489150442979324,0.857605307295435
"Bacteroides clarus",0.509878781976239,0.838175988758204,0.474233636713297,0.841809212885709
"Bacteroides coagulans",0.395983906103765,0.76939351640399,0.427808884557352,0.79054201516152
"Bacteroides eggerthii",0.455960981859248,0.844835248861006,0.49637444074233,0.867905590940023
"Bacteroides pectinophilus",0.233978590437773,0.605414698672286,0.281559502544077,0.661094123569669
"Bacteroides salyersiae",0.513846782155535,0.858963559061455,0.52102742161003,0.868562303389581
"Bacteroides suis",0.491330526752875,0.852515119442899,0.495419259715304,0.865440219948339
"Bacteroides ureolyticus",0.46703513981786,0.817374001063844,0.488707622118488,0.843638059603712
"Bacteroides vulgatus",0.489608285652768,0.849622141008586,0.502401759730512,0.869418427183395
"Barnesiella intestinihominis",0.294093532680443,0.672688989290228,0.340255971518314,0.723107128132647
"Barnesiella viscericola",0.483433217482982,0.836652950907524,0.504569904117559,0.852990204004189
"Bartonella bovis",0.473639824549368,0.84166460044381,0.47465197744767,0.850997689059429
"Bdellovibrio bacteriovorus",0.485594890126493,0.84052107446568,0.461178417258914,0.841362631863966
"Bifidobacterium bifidum",0.456854943542959,0.817647315765996,0.461589095236615,0.831438386373638
"Bifidobacterium boum",0.473963471937794,0.851401661508511,0.498994239053993,0.863591091260606
"Bifidobacterium breve",0.579621154349746,0.894083103071954,0.622827112284255,0.922623063822306
"Bifidobacterium dentium",0.547356275758311,0.885795096328158,0.543534005451825,0.885813744834389
