"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-4.32656511157506,828566.930085154,-5.22174486390666e-06,0.999995833650393
"Abnormal.discharge.48hrs1",-15.7329633092875,969120.686100245,-1.62342663147529e-05,0.999987046929552
"UTI.ever1",-99.1176825888768,1090233.40676603,-9.09141858740973e-05,0.999927460974833
"smoking.current1",82.5980688229568,730699.666129218,0.000113039696953071,0.999909807371235
"BMI.cat2",-14.9463171830738,360305.14082961,-4.14823867032803e-05,0.999966901844114
"BMI.cat3",47.1988964708583,1335861.23580709,3.53321851145281e-05,0.999971808995004
"Pregnancy.cat1",3.93324130708489,824096.81603384,4.77279032094134e-06,0.999996191864291
"BV..number.of.episodes.2.months.",-8.65313105240864,230133.733051338,-3.76004462174101e-05,0.999969999184491
"Contraception.none1",71.5849929481464,824204.052043685,8.68534833948525e-05,0.999930700946634
"Symptom.pain1",-72.3716411898986,1360694.42016516,-5.31872844610578e-05,0.999957562686917
"Abnormal.discharge.2wks1",56.6386735513171,545167.240286503,0.000103892290962956,0.999917105945203
"contraception.H1",30.6792827061166,286556.565261727,0.000107061873379504,0.999914576984343
"Irritation.Discomfort.48hrs1",-11.7997241177411,261659.493824191,-4.50957232443068e-05,0.999964018818677
"BV..number.of.episodes.year.",7.07983447063407,106959.793814792,6.61915493488448e-05,0.999947186784757
"Abnormal.odor.2wks1",116.423944595477,1668351.23317869,6.97838334519383e-05,0.99994432055674
"Other.Symptoms.48hrs1",-33.8258757713956,469531.293182352,-7.20417920222809e-05,0.999942518966463
"Substance.Use1",-0.78664834002231,864933.095578451,-9.0949039185073e-07,0.999999274331658
"Substance.Use2",-29.1059861243419,412436.832149319,-7.05707731597657e-05,0.999943692669699
