"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-42.0017795831694,679489.166552641,-6.1813758998195e-05,0.999950679756082
"contraception.H1",-11.7184485032818,973145.642000943,-1.20418239547235e-05,0.999990392014583
"BV..number.of.episodes.2.months.",44.9207202955641,490158.925954117,9.16452152903751e-05,0.999926877697751
"contraception.B.M1",16.6278157790467,623184.325209768,2.66820186362192e-05,0.999978710829282
"BV..number.of.episodes.year.",6.6169745489242,416891.9255679,1.58721580896785e-05,0.999987335850114
"Yeast..year.",-2.70015253199407,43604.950350944,-6.19230731892259e-05,0.999950592535976
"Yeast..lifetime.",4.034219999747,60996.7387098587,6.61382900967288e-05,0.999947229279492
"Symptom.pain1",4.33305106039809,468670.628283257,9.245407753138e-06,0.999992623231896
"Abnormal.discharge.2wks1",71.9009005586707,3031129.49592233,2.37208277163336e-05,0.999981073517797
"Presence.Symptoms.48hrs1",-8.5380314526556,1397434.31366618,-6.10979089976402e-06,0.999995125092171
"Abnormal.discharge.48hrs1",-71.9009005586707,3175964.42638987,-2.26390761688728e-05,0.999981936630656
"Irritation.Discomfort.2wks1",29.5095719418382,500978.494456938,5.89038696637601e-05,0.999953001511851
"BV..number.of.episodes.lifetime.",-6.46755901859867,253858.577398538,-2.54770159231024e-05,0.999979672282342
"Vaginal.intercourse.in.past.48.hours..y.1..n.0.1",-63.416232248117,858017.999201966,-7.39101421031957e-05,0.999941028238783
"Tampon.use.1mth1",-6.14738243342813,1658475.47927925,-3.70664656199783e-06,0.999997042523936
"UTI.ever1",-14.2585131997733,315073.792667933,-4.525451983498e-05,0.99996389211733
"Tampon.Use.cat2",-34.589701034011,1486693.66760759,-2.32661924831315e-05,0.999981436264231
"Tampon.Use.cat3",-15.5392178287063,784336.077025744,-1.98119381268704e-05,0.99998419236045
"BMI.cat2",12.8177197721926,1720231.05693741,7.45116170324958e-06,0.999994054833117
