"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-76.698208599112,1673129.78616008,-4.58411590263648e-05,0.999963424046976
"Genwarts.ever1",51.1321309595384,2609939.38748555,1.95913097463921e-05,0.999984368396428
"GenHerpes.ever1",51.1321446947043,2849237.26857736,1.7945906175878e-05,0.999985681238533
"Feminine.products.48hrs1",-2.30422989615952e-06,916410.893673078,-2.51440692386786e-12,0.999999999997994
"Contraception.none1",1.70312339187283e-14,216000.12422372,7.88482598328895e-20,1
"Yeast..2months.",2.30422990146891e-06,748246.352516819,3.07950702829135e-12,0.999999999997543
"Chlamydia.ever1",-1.61402725417109e-05,5962542.28759174,-2.70694474994323e-12,0.99999999999784
"Feminine.products1",6.45474189859314e-14,571482.611855017,1.12947301714766e-19,1
"UTI.ever1",1.61402730410486e-05,6094113.25427401,2.64850231159207e-12,0.999999999997887
"Tampon.use.1mth1",2.30422974515093e-06,808198.435648101,2.85106929624671e-12,0.999999999997725
"Pregnancy.cat1",-2.30422985235189e-06,778799.497765238,-2.95869457923878e-12,0.999999999997639
"Abnormal.discharge.48hrs1",-1.62411505078781e-05,6360093.9451706,-2.55360229705577e-12,0.999999999997963
"Irritation.Discomfort.48hrs1",-2.30422986910103e-06,916410.89367308,-2.51440689434126e-12,0.999999999997994
"Age.cat3",51.1321354671214,941522.674137381,5.43079172405152e-05,0.999956668551326
"Age.cat4",51.1321377713513,529090.120660456,9.66416415175618e-05,0.999922891126423
"Other.Symptoms.2wks1",-51.1321285544315,3318256.7395506,-1.54093346500236e-05,0.999987705129791
"Freq.anal.sex.cat1",3.52577440795623e-13,571482.611855007,6.16952175764671e-19,1
"X.Non..Prescription..y.1..n.0.1",4.60846019411432e-06,2116360.31717727,2.1775404484341e-12,0.999999999998263
"condoms.48h1",2.20335305238593e-06,2680491.0425411,8.21996051252295e-13,0.999999999999344
"Abnormal.discharge.2wks1",51.1321355679987,1163196.23764349,4.39583054976062e-05,0.999964926346736
