Variables	Estimate	OddsRatio
Shannon.s.Diversity	2.457	11.66974972
Amsels.cat1	0.4745	1.607210391
Agecat3	-0.765	0.465333931
Agecat4	-0.4512	0.636863457
BMIcat2	0.3662	1.442243663
BMIcat3	-1.983	0.13765565
BMIcat4	0.8548	2.350904153
Ethnicitycat2	0.5397	1.715492137
Ethnicitycat3	-0.1974	0.820862223
Ethnicitycat4	-20.6647	1.06031E-09
Marital.Statuscat2	-0.3202	0.726003822
Marital.Statuscat3	1.0049	2.731634096
Highest.Education.Levelcat2	-0.0002627	0.999737335
Highest.Education.Levelcat3	0.3162652	1.37199406
Highest.Education.Levelcat4	0.216813	1.242111806
Highest.Education.Levelcat5	-1.3035509	0.271565776
Current.or.chronic.conditions...y.1..n.0.	-0.2672	0.765519952
Genital.Infections..y.1..n.0.	0.1083	1.11438201
BV..number.of.episodes.2.months.	1.111	3.037394271
BV..number.of.episodes.year.	0.04303	1.043969213
BV..number.of.episodes.lifetime.	0.0266	1.026956938
Yeast..2months.	0.5029	1.653509502
Yeast..year.	0.06307	1.065101394
Yeast..lifetime.	0.05192	1.053291476
UTI..2.months.	-0.06214	0.939751312
UTI..year.	-0.09423	0.910073421
UTI..lifetime.	0.04237	1.043280421
Trich..2.months.	NA	NA
Trich..year.	NA	NA
Trich..lifetime.	NA	NA
Genital.Warts..2months.	NA	NA
Genital.Warts..year.	NA	NA
Genital.Warts..lifetime.	0.7925	2.208911809
Genital.Herpes..2months.	15.41	4925813.517
Genital.Herpes..year.	0.6006	1.8232124
Genital.Herpes..lifetime.	0.2576	1.293821187
Chlamydia..2.months.	15.41	4925813.517
Chlamydia..year.	1.292	3.640059399
Chlamydia..lifetime.	1.867	6.468860678
Gonorrhea	NA	NA
Syphillis	NA	NA
Antimicrobial.Use..y.1..n.0.	1.138	3.120521078
X.Non..Prescription..y.1..n.0.	-1.046	0.351340303
Freq.of.Menstrual.Periodcat2	4.01E-05	1.000040101
Freq.of.Menstrual.Periodcat3	1.65E+01	14946683.59
Tampon.Usecat2	1.0895	2.972787307
Tampon.Usecat3	-2.7367	0.064783781
Tampon.Usecat4	0.8293	2.291713979
Pregnancy.History..g.	-0.09063	0.91335559
Pregnancy.History..term.	-0.2014	0.817585332
Pregnancy.History..p.	-0.1082	0.897448089
