Simple name	Group	Total Frequency	Vogue1B2-01-07	Vogue1B2-01-09	Vogue1B2-01-23	Vogue1B2-01-21	Vogue1B2-01-05	Vogue1B2-01-04	Vogue1B2-01-15	Vogue1B2-01-20	Vogue1B2-01-14	Vogue1B2-01-28	Vogue1B2-01-12	Vogue1B2-01-01	Vogue1B2-01-16	Vogue1B2-01-13	Vogue1B2-01-11	Vogue1B2-01-29	Vogue1B2-01-06	Vogue1B2-01-03	Vogue1B2-01-10	Vogue1B2-01-24	Vogue1B2-01-08	Vogue1B2-01-19
Lactobacillus iners	Firm/Bacilli	29107	1321	5187	6473	5127	3496	73	25	390	105	236	518	11	3	493	26	309	11	3	253	126	4871	50
Lactobacillus crispatus	Firm/Bacilli	18192	7	26	25	160	106	7832	1162	1918	5354	502	647	64	2	29	79	63	2	2	69	18	116	9
Megasphaera sp. genomosp. type 1	firm./neg	11033	0	4	1	17	2	0	0	0	1	21	8	0	0	0	0	16	0	0	0	6	10957	0
Gardnerella vaginalis Group C	Actinobac	9192	6	4	195	657	16	6	0	0	19	129	205	8	1	1	100	111	42	5334	1194	525	637	2
Lactobacillus jensenii	Firm/Bacilli	6469	1	16	2	19	2541	178	20	101	2209	15	204	6	1	985	13	9	5	2	11	1	117	13
Gardnerella vaginalis Group A	Actinobac	5105	8	16	3	63	67	7	8	1	23	9	52	3	10	0	2067	1187	777	3	59	185	553	4
Lactobacillus gasseri	Firm/Bacilli	3144	23	3	3	48	16	2	3	3	13	8	7	1899	994	44	45	0	4	2	23	0	3	1
Escherichia coli	Proteobac	791	0	3	0	1	3	0	0	0	0	0	0	0	0	0	0	0	775	0	7	0	2	0
Klebsiella pneumoniae	Other Proteobacteria	480	0	0	0	0	0	0	0	7	0	0	0	0	1	1	0	0	0	0	0	1	1	469
Prevotella timonensis	Bacteroidetes	417	2	4	0	23	13	0	1	0	3	15	2	1	24	0	7	94	1	0	1	103	123	0
Gardnerella vaginalis Group B	Actinobac	403	0	0	0	22	0	0	0	0	0	1	86	0	0	0	0	0	0	0	0	0	294	0
Clostridia sp. probably BVAB2	Firm/Clos	246	1	3	2	15	15	3	3	5	16	16	31	1	2	0	23	32	34	2	2	12	16	12
Atopobium vaginae	Actinobac	240	2	0	0	4	4	0	0	0	0	3	0	1	2	0	0	10	0	0	134	0	80	0
Porphyromonas uenonis	Bacteroidetes	154	2	0	0	0	49	2	1	1	0	1	3	0	9	1	11	42	0	0	1	29	2	0
Aerococcus urinae	Other Firmicutes	79	0	2	1	1	0	0	0	0	0	2	8	0	0	0	0	0	10	0	32	15	8	0
Prevotella denticola	Bacteroidetes	71	0	0	0	3	0	0	0	0	0	1	67	0	0	0	0	0	0	0	0	0	0	0
Homo sapiens	Eukaryote	65	6	1	5	3	14	5	0	0	17	1	1	1	0	1	0	0	0	8	0	0	0	2
Lactobacillus rhamnosus	Firm/Bacilli	50	0	45	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
Actinomyces neuii	Other Actinobacteria	41	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	2	21	0	0	4	1	0
Prevotella amnii	Bacteroidetes	41	3	0	0	18	4	1	4	0	2	0	0	1	0	0	0	8	0	0	0	0	0	0
Propionibacterium acnes	actinobac	38	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	33	0	0	1	0	0
Sphaerotilus natans	Proteobac	33	0	2	0	0	2	1	2	0	7	0	0	0	8	11	0	0	0	0	0	0	0	0
Prevotella bivia	Bacteroidetes	32	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	4	0
Streptococcus anginosus	Firm/Bacilli	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	1	0
Prevotella buccalis	Bacteroidetes	31	0	0	0	2	3	0	0	0	0	1	2	0	2	0	1	1	1	0	0	16	2	0
Clostridium genomosp. BVAB3	Firm/Clos	30	1	0	0	0	14	0	0	0	0	5	0	0	0	0	0	5	0	1	0	0	4	0
Streptococcus infantis	Streptococcus	28	0	1	0	0	8	0	0	0	4	0	0	0	0	5	0	0	9	0	0	0	1	0
Actinomyces turicensis	Other Actinobacteria	27	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	23	0	0	1	0	0
Actinobacteria sp.	Other Actinobacteria	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	15	0	0	9	0	0
Prevotella corporis	Bacteroidetes	25	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	20	0	0	0	0	0	0
Streptococcus mitis	Streptococcus	23	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	1	0	13	0
Alloscardovia omnicolens	Other Actinobacteria	22	0	0	0	0	0	0	0	0	0	0	2	0	4	0	13	0	0	0	0	0	3	0
Propionibacterium acidipropionici	actinobac	22	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0
Bifidobacterium dentium	Actinobac	21	0	0	0	15	0	0	0	0	1	4	1	0	0	0	0	0	0	0	0	0	0	0
Lactobacillus reuteri	Firm/Bacilli	20	0	1	0	0	0	0	0	0	0	2	1	0	0	11	0	0	0	2	0	0	3	0
Streptococcus agalactiae	Streptococcus	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0
Gardnerella vaginalis Group D	Actinobac	17	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	1	0	0	0	0	2	0
Corynebacterium genitalium	Actinobac	16	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0
Bacillus stratosphericus	Firm/Bacilli	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0
Burkholderia phytofirmans	Other Proteobacteria	14	0	8	0	0	0	0	0	0	4	0	0	0	0	1	0	1	0	0	0	0	0	0
Nostoc commune	Other Bacteria	13	0	0	0	0	0	0	2	0	0	0	0	0	5	6	0	0	0	0	0	0	0	0
Bacteroides coagulans	Bacteroidetes	11	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	8	0	0	0	0	1	0
Lactobacillus plantarum	Firm/Bacilli	11	0	10	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Streptococcus parasanguinis	Streptococcus	11	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	9	0
Haemophilus paraphophilus	Other Proteobacteria	10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0
Prevotella disiens	Bacteroidetes	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0
Corynebacterium tuberculostearicum	Actinobac	7	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	2	0
Pseudomonas fluorescens	Other Proteobacteria	7	0	0	0	0	0	0	2	0	0	0	0	2	0	2	0	0	0	0	0	0	1	0
Corynebacterium amycolatum	Actinobac	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0
Haemophilus parainfluenzae	Other Proteobacteria	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0
Rothia mucilaginosa	actinobac	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
