Simple.name,Group,Total.Frequency,X1B2_01_26,X1B2_01_35,X1B2_01_37,X1B2_01_38,X1B2_01_50,X1B2_01_52,X1B2_01_56,X1B2_01_58,X1B2_01_61,X1B2_01_62,X1B2_01_63,X1B2_01_64,Vogue1B2.01.01,Vogue1B2.01.06,Vogue1B2.01.07,Vogue1B2.01.08,Vogue1B2.01.09,Vogue1B2.01.10,Vogue1B2.01.11,Vogue1B2.01.12,Vogue1B2.01.15,Vogue1B2.01.19,Vogue1B2.01.21,Vogue1B2.01.23,Vogue1B2.01.28,Vogue1B2.01.29
Propionibacterium acidipropionici,Other Actinobacteria,22,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,1,0,0,0,0,0,0,0,0,0
Bifidobacterium dentium,Other Actinobacteria,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,0,4,0
Bifidobacterium breve,Other Actinobacteria,16,2,0,0,1,2,5,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corynebacterium genitalium,Other Actinobacteria,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0
Corynebacterium tuberculostearicum,Other Actinobacteria,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,3,0,0,0,0,0,0
Corynebacterium amycolatum,Other Actinobacteria,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Rothia mucilaginosa,Other Actinobacteria,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
Mobiluncus curtsii,Other Actinobacteria,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Mobiluncus mulieris,Other Actinobacteria,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Arcanobacterium haemolyticum,Other Actinobacteria,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
Bifidobacterium bifidum,Other Actinobacteria,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Actinobacteria sp.,Actinobacteria sp.,11574,35,7,1,4,221,9435,155,18,5,127,10,1531,0,15,0,0,0,0,0,0,0,0,0,0,0,1
Atopobium vaginae,Atopobium vaginae,1106,204,27,17,18,32,48,6,10,8,56,15,425,1,0,2,80,0,134,0,0,0,0,4,0,3,10
Prevotella buccalis,Other Prevotella,31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,2,0,0,2,0,1,1
Prevotella corporis,Other Prevotella,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Bacteroides pectinophilus,Other Bacteroidetes,14,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroides coagulans,Other Bacteroidetes,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,8
Porphyromonas gingivicanis,Other Bacteroidetes,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1
Prosthecochloris vibrioformis ,Other Bacteroidetes,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clostridia sp. BVAB2,Clostridia sp. BVAB2,1182,81,66,0,1,7,11,495,4,37,205,2,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clostridia sp. probably BVAB2,Clostridia sp. BVAB2,246,0,0,0,0,0,0,0,0,0,0,0,0,1,34,1,16,3,2,23,31,3,12,15,2,16,32
Clostridium genomosp. BVAB3,Clostridium genomosp. BVAB3,643,196,3,0,0,0,0,0,10,0,397,0,7,0,0,1,4,0,0,0,0,0,0,0,0,5,5
Escherichia coli,Escherichia coli,2531,0,0,1,1738,0,0,0,1,0,0,0,0,0,775,0,2,3,7,0,0,0,0,1,0,0,0
Streptococcus anginosus,Other Streptococcus,32,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,1,0,0,0,0,0,0,0,0,0,0
Lactobacillus reuteri,Other Lactobacillus,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,2,0
Bacillus stratosphericus,Other Firmicutes,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Lactobacillus plantarum,Other Lactobacillus,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0
Facklamia hominis,Other Firmicutes,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus delbrueckii,Other Lactobacillus,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
