"","1","2","3","4","5","6","7"
"1"," .  "," .  ","75.10"," .  "," .  "," .  "," .  "
"2"," .  "," .  "," .  ","71.16"," .  "," .  ","18.98"
"3"," .  "," .  "," .  "," .  "," .  "," .  ","59.94"
"4"," .  "," .  "," .  "," .  "," .  ","56.27"," .  "
"5"," .  ","67.88"," .  "," .  "," .  "," .  "," .  "
"6","58.80"," .  "," .  "," .  "," .  "," .  "," .  "
"7"," .  "," .  "," .  "," .  "," .  ","10.10"," .  "
"8"," .  "," .  "," .  "," .  ","17.02"," .  "," .  "
"9"," .  "," .  "," .  "," .  "," .  "," .  "," .  "
"10"," .  "," .  "," .  "," .  "," .  "," .  "," .  "
"11"," .  "," .  "," .  "," .  "," .  "," .  "," .  "
"12"," .  "," .  "," .  "," .  "," .  "," .  "," .  "
"13"," .  "," .  "," .  "," .  "," .  "," .  "," .  "
"14"," .  "," .  "," .  "," .  ","11.97"," .  "," .  "
"15"," .  "," .  "," .  "," .  ","16.47"," .  "," .  "
"16"," .  "," .  "," .  "," .  "," .  "," .  "," .  "
"17"," .  "," .  "," .  "," .  "," .  "," .  "," .  "
"18"," .  "," .  "," .  "," .  ","10.45"," .  "," .  "
"19"," .  "," .  "," .  "," .  "," .  "," .  "," .  "
"20"," .  "," .  "," .  "," .  "," .  "," .  "," .  "
"21"," .  "," .  "," .  "," .  "," .  "," .  "," .  "
"22"," .  "," .  "," .  "," .  ","46.48"," .  "," .  "
"23"," .  "," .  "," .  "," .  "," .  "," .  "," .  "
"24"," .  "," .  "," .  "," .  "," .  "," .  "," .  "
"25"," .  "," .  "," .  "," .  "," .  "," .  "," .  "
"26"," .  "," .  "," .  "," .  "," .  "," .  "," .  "
"27"," .  "," .  "," .  "," .  "," .  "," .  "," .  "
"28"," .  "," .  "," .  "," .  "," .  "," .  "," .  "
"29"," .  "," .  "," .  "," .  "," .  "," .  "," .  "
"30"," .  "," .  "," .  "," .  "," .  "," .  "," .  "
"31"," .  "," .  "," .  "," .  ","31.82"," .  "," .  "
"32"," .  "," .  "," .  "," .  "," .  "," .  "," .  "
"33"," .  "," .  "," .  "," .  "," .  "," .  "," .  "
"34"," .  "," .  "," .  "," .  "," .  "," .  "," .  "
"35"," .  "," .  "," .  "," .  "," .  "," .  "," .  "
"36"," .  "," .  "," .  "," .  "," .  "," .  "," .  "
"37"," .  "," .  "," .  "," .  "," .  "," .  "," .  "
"38"," .  "," .  "," .  "," .  "," .  "," .  "," .  "
"39"," .  "," .  "," .  "," .  "," .  "," .  "," .  "
"40"," .  "," .  "," .  "," .  "," .  "," .  "," .  "
"41"," .  "," .  "," .  "," .  "," .  "," .  "," .  "
"42"," .  "," .  "," .  "," .  "," .  "," .  "," .  "
"43"," .  "," .  "," .  "," .  "," .  "," .  "," .  "
"44"," .  "," .  "," .  "," .  "," .  "," .  "," .  "
"45"," .  "," .  "," .  "," .  "," .  "," .  "," .  "
"46"," .  "," .  "," .  "," .  "," .  "," .  "," .  "
"47"," .  "," .  "," .  "," .  "," .  "," .  "," .  "
"48"," .  "," .  "," .  "," .  "," .  "," .  "," .  "
"49"," .  "," .  "," .  "," .  "," .  "," .  "," .  "
"50"," .  "," .  "," .  "," .  "," .  "," .  ","15.80"
"51"," .  "," .  "," .  "," .  "," .  "," .  "," .  "
"52"," .  "," .  "," .  "," .  "," .  "," .  "," .  "
"53"," .  "," .  "," .  "," .  "," .  "," .  "," .  "
