"","x"
"Vogue1B2_01_01",1
"Vogue1B2_01_02",1
"Vogue1B2_01_03",2
"Vogue1B2_01_04",3
"Vogue1B2_01_05",4
"Vogue1B2_01_06",5
"Vogue1B2_01_07",4
"Vogue1B2_01_08",4
"Vogue1B2_01_09",4
"Vogue1B2_01_10",2
"Vogue1B2_01_11",6
"Vogue1B2_01_12",3
"Vogue1B2_01_13",7
"Vogue1B2_01_14",3
"Vogue1B2_01_15",3
"Vogue1B2_01_16",1
"Vogue1B2_01_19",5
"Vogue1B2_01_20",3
"Vogue1B2_01_21",4
"Vogue1B2_01_23",4
"Vogue1B2_01_24",2
"Vogue1B2_01_28",3
"Vogue1B2_01_29",6
"X1B2_01_26",6
"X1B2_01_35",6
"X1B2_01_37",6
"X1B2_01_38",5
"X1B2_01_50",4
"X1B2_01_52",5
"X1B2_01_56",5
"X1B2_01_58",3
"X1B2_01_61",2
"X1B2_01_62",6
"X1B2_01_63",3
"X1B2_01_64",5
"Vogue1A.01.003",3
"Vogue1A.01.004",6
"Vogue1A.01.005",5
"Vogue1A.01.006",4
"Vogue1A.01.007",3
"Vogue1A.01.008",4
"Vogue1A.01.009",2
"Vogue1A.01.010",4
"Vogue1A.01.011",7
"Vogue1A.01.012",3
"Vogue1A.01.013",4
"Vogue1A.01.014",5
"Vogue1A.01.015",5
"Vogue1A.01.016",3
"Vogue1A.01.017",3
"Vogue1A.01.018",4
"Vogue1A.01.019",3
"Vogue1A.01.020",3
"Vogue1A.01.021",4
"Vogue1A.01.022",3
"Vogue1A.01.023",3
"Vogue1A.01.024",3
"Vogue1A.01.025",3
"Vogue1A.01.026",3
"Vogue1A.01.027",1
"Vogue1A.01.028",4
"Vogue1A.01.029",3
"Vogue1A.01.030",3
"Vogue1A.01.031",7
"Vogue1A.01.032",3
"Vogue1A.01.033",3
"Vogue1A.01.034",3
"Vogue1A.01.035",2
"Vogue1A.01.036",3
"Vogue1A.01.037",6
"Vogue1A.01.038",4
"Vogue1A.01.039",7
"Vogue1A.01.040",3
"Vogue1A.01.041",3
"Vogue1A.01.042",3
"Vogue1A.01.043",7
"Vogue1A.01.044",4
"Vogue1A.01.045",4
"Vogue1A.01.046",3
"Vogue1A.01.047",2
"Vogue1A.01.048",5
"Vogue1A.01.049",3
"Vogue1A.01.050",7
"Vogue1A.01.051",6
"Vogue1A.01.052",6
"Vogue1A.01.053",4
"Vogue1A.01.054",3
"Vogue1A.01.055",4
"Vogue1A.01.057",1
"Vogue1A.01.059",5
"Vogue1A.01.060",3
"Vogue1A.01.061",3
"Vogue1A.01.062",2
"Vogue1A.01.063",3
"Vogue1A.01.064",4
"Vogue1A.01.065",2
"Vogue1A.01.066",3
"Vogue1A.01.067",3
"Vogue1A.01.068",7
"Vogue1A.01.069",5
"Vogue1A.01.070",7
