,var,pval,phi,cramer,,,
1,X.Non..Prescription..y.1..n.0.,0.636001095,0.022794814,0.022794814,,,
2,Vaginal.intercourse.in.past.48.hours..y.1..n.0.,0.242045646,0.06937328,0.06937328,,,
3,Freq.oral.sex.cat,0.342549996,0.062876053,0.062876053,,,
4,Freq.anal.sex.cat,0.161789195,0.083018934,0.083018934,,,
5,Freq.sex.toy.use.cat,0.030523595,0.127356718,0.127356718,,,
6,Abnormal.discharge.2wks,5.68E-13,0.511260857,0.511260857,,,
7,Abnormal.odor.2wks,4.75E-07,0.4034504,0.4034504,,,
8,Irritation.Discomfort.2wks,5.46E-12,0.473152168,0.473152168,,,
9,Other.Symptoms.2wks,0.00010048,0.293395964,0.293395964,,,
10,Abnormal.discharge.48hrs,6.18E-13,0.554438481,0.554438481,,,
11,Abnormal.odor.48hrs,2.03E-06,0.41101214,0.41101214,,,
12,Irritation.Discomfort.48hrs,3.74E-13,0.529889041,0.529889041,,,
13,Other.Symptoms.48hrs,1.09E-05,0.336654747,0.336654747,,,
14,Genwarts.ever,0.11574083,0.087668132,0.087668132,,,
15,Number.partners.in.past.year.cat,0.753251376,0.039821711,0.039821711,,fine,
16,contraception.H,0.40132139,0.05304778,0.05304778,,,
17,contraception.B.M,0.488478412,0.04748234,0.04748234,,,
18,contraception.C.IUD,1,0.026578366,0.026578366,,,
19,Substance.Use,0.000553969,0.203833473,0.203833473,,,
20,Ethnicity.cat,0.832013944,0.016604516,0.016604516,,,
21,Tampon.Use.cat,0.818645285,0.025097737,0.025097737,,,
22,Presence.Symptoms.2wks,5.32E-14,0.478117734,0.478117734,,,
23,Presence.Symptoms.48hrs,8.30E-14,0.514883057,0.514883057,,,
24,Chlamydia.ever,0.235305318,NA,0.097661313,,,0.096
25,Contraception.none,0.004207853,0.171797257,0.171797257,,,
26,UTI.ever,1,0.006774467,0.006774467,,,
27,Trich.ever,0.315564331,0.066260507,0.066260507,,,
28,GenHerpes.ever,0.184999124,NA,0.114273648,,,0.112
29,Pregnancy.cat,0.014217118,0.15866422,0.15866422,,,
30,smoking.current,1,0.016278107,0.016278107,,,
31,Symptom.pain,0.013072858,0.146249406,0.146249406,,,
32,Tampon.use.1mth,0.090893226,0.101203973,0.101203973,,,
33,CST,0.000399774,NA,0.294672763,,,
34,condoms.48h,0.135061912,0.085610909,0.085610909,,,
35,Feminine.products,0.370942156,0.048668374,0.048668374,,,
36,Feminine.products.48hrs,0.021487808,0.153137907,0.153137907,,,
