"OR"	"Lower.CI"	"Upper.CI"	"p-value"
"(Intercept)"	0.001	6e-04	0.0016	0
"Age"	1.5884	1.4255	1.77	0
"Sex"	1.0402	0.9328	1.1599	0.4786
"Education"	1.2104	1.0831	1.3527	8e-04
"AntioxidentGroup"	1.012	0.9092	1.1265	0.8267
"ZincGroup"	1.6051	1.4412	1.7877	0
"BaselineAMD1"	11.0932	8.9644	13.7276	0
"BaselineAMD2"	19.6477	15.6781	24.6225	0
"Smoking1"	1.0931	0.9776	1.2222	0.1181
"Smoking2"	2.6996	2.1915	3.3255	0
"BMI1"	1.6565	1.4575	1.8826	0
"BMI2"	1.7104	1.479	1.978	0
"CFHrs1061170"	1.4216	1.3223	1.5284	0
"CFHrs1410996"	1.4145	1.3032	1.5353	0
"C2rs9332739"	3.5817	2.6719	4.8012	0
"CFBrs641153"	1.1855	1.0024	1.402	0.0468
"CFHrs2230199"	1.3211	1.2148	1.4368	0
