Participants,Actinobacteria sp.,Alloscardovia omnicolens,Atopobium vaginae,Bifidobacterium breve,Clostridia sp. BVAB2,Clostridium genomosp. BVAB3,Enterococcus rattus,Escherichia coli,Eukaryote,Gardnerella vaginalis Group A,Gardnerella vaginalis Group B,Gardnerella vaginalis Group C,Gardnerella vaginalis Group D,Klebsiella pneumoniae,Lactobacillus crispatus,Lactobacillus gasseri,Lactobacillus iners,Lactobacillus jensenii,Megasphaera sp. genomosp. type 1,Other Actinobacteria,Other Bacteria,Other Bacteroidetes,Other Bifidobacterium,Other Clostridium,Other Firmicutes,Other Lactobacillus,Other Prevotella,Other Proteobacteria,Other Streptococcus,Porphyromonas uenonis,Prevotella amnii,Prevotella timonensis,Pseudomonas putida,Streptococcus devriesei,Variovorax paradoxus
Vogue1A.01.003,0,0,0,0,0,0,0,0,1,81,14,6,0,0,26956,281,24,225,0,30,0,3,0,13,6,1702,0,58,46,0,0,1,1,0,39
Vogue1A.01.004,0,34,1252,0,621,9708,0,0,0,60564,13569,82,188,0,3,4,1,2,9303,291,0,15,0,0,101,1,3389,16,218,555,3071,16820,0,0,1
Vogue1A.01.005,0,2,1,0,0,3,7,0,3,290,43,13,1,0,2084,1471,414,2105,2,177,0,20,0,1,14,1783,11,4490,223,0,7,5,4158,0,3663
Vogue1A.01.006,0,178,2,0,0,0,0,0,0,7633,11394,10,0,0,1307,686,55423,928,0,671,0,25,0,10,241,993,10,2787,109,0,0,2,1131,0,3399
Vogue1A.01.007,0,0,0,0,0,0,1,0,0,54,10,0,0,0,1798,16,12,11,0,33,3,0,0,0,51,10,0,306,15,0,0,88,105,0,124
Vogue1A.01.008,0,0,0,0,0,0,265,0,0,45,3,0,0,0,27,14,2305,2,0,113,25,4,0,0,86,3,0,682,64,0,0,21,72,0,318
Vogue1A.01.009,0,18,9,0,3,0,2,0,0,1698,2342,1812,2,0,46,231,209,3,0,4,0,2,0,0,6,1,0,2,4,0,0,0,0,0,1
Vogue1A.01.010,0,0,0,0,0,1,0,0,1,62,2,2,0,0,3,0,1956,4,0,406,0,4,0,1,4,2,0,57,58,0,0,1,0,0,76
Vogue1A.01.011,0,0,0,0,0,1,1,0,0,354,19,0,0,0,35,4217,3250,4645,2,14,0,0,0,0,18,379,0,2,21,0,3,27,0,0,4
Vogue1A.01.012,0,0,0,0,0,9,1,0,3,69,4,0,0,0,5481,50,918,44,0,16,0,0,0,0,2,520,0,35,31,0,0,1,21,0,5
Vogue1A.01.013,0,1,0,0,0,6,1,0,8,1938,728,5,5,0,653,187,8619,103,1,345,5,11,0,0,51,19051,7,805,93,0,6,3,23,0,798
Vogue1A.01.014,0,23,3,0,0,0,1,0,0,1181,2086,2,0,0,78,80,2,6,0,0,0,0,0,0,8,136,0,3,5,0,0,0,0,0,2
Vogue1A.01.015,0,133,0,0,0,0,4,0,2,271,70,2,0,0,196,148,88,107,0,76,10,38,0,1,12,91,0,540,43,0,0,1,32,0,455
Vogue1A.01.016,0,4,0,0,0,1,0,0,0,39,36,14,0,0,5,8,0,1,0,0,0,0,0,0,0,8,0,6,0,0,0,1,1,0,14
Vogue1A.01.017,0,1,2,0,7,0,3,0,0,145,300,39,0,0,912,142,105,180,0,18,46,4,0,1,11,233,0,34,43,0,0,0,1,0,13
Vogue1A.01.018,0,0,0,0,0,0,1,0,1,27,27,5,0,0,3,10,5448,1,0,15,0,1,0,0,12,5,0,182,17,0,0,0,58,0,80
Vogue1A.01.019,0,0,0,0,0,1,0,0,0,19,4,0,0,0,471,17,38,19,0,8,0,0,0,1,1,176,0,26,16,0,0,0,1,0,10
