Simple name	Group	TOTAL frequency	1B2_01_26	1B2_01_35	1B2_01_37	1B2_01_38	1B2_01_50	1B2_01_52	1B2_01_56	1B2_01_58	1B2_01_61	1B2_01_62	1B2_01_63	1B2_01_64
Actinobacteria sp.	Other Actinobacteria	10044	33	1	0	1	193	8137	138	10	4	96	2	1429
Actinobacteria sp.	Other Actinobacteria	714	2	6	1	2	21	566	14	8	0	30	7	57
Actinobacteria sp.	Other Actinobacteria	553	0	0	0	1	3	533	0	0	1	0	0	15
Actinobacteria sp.	Other Actinobacteria	203	0	0	0	0	1	196	1	0	0	1	1	3
Actinobacteria sp.	Other Actinobacteria	34	0	0	0	0	3	2	2	0	0	0	0	27
Actinobacteria sp.	Other Actinobacteria	1	0	0	0	0	0	1	0	0	0	0	0	0
Actinomyces neuii subsp. anitratus	Other Actinobacteria	2	0	0	0	0	0	0	1	1	0	0	0	0
Actinomyces neuii subsp. anitratus	Other Actinobacteria	1	0	0	0	0	0	0	0	1	0	0	0	0
Actinomyces neuii subsp. anitratus	Other Actinobacteria	1	0	0	0	0	0	0	1	0	0	0	0	0
Alloscardovia omnicolens	Other Actinobacteria	2	0	0	0	0	0	2	0	0	0	0	0	0
Atopobium vaginae	Actinobac	686	196	21	0	0	5	28	0	0	0	42	1	393
Atopobium vaginae	Actinobac	162	7	6	17	18	27	17	6	10	8	13	14	19
Atopobium vaginae	Actinobac	8	0	0	0	0	0	1	0	0	0	0	0	7
Atopobium vaginae	Actinobac	7	0	0	0	0	0	2	0	0	0	0	0	5
Atopobium vaginae	Actinobac	1	1	0	0	0	0	0	0	0	0	0	0	0
Atopobium vaginae	Actinobac	1	0	0	0	0	0	0	0	0	0	0	0	1
Atopobium vaginae	Actinobac	1	0	0	0	0	0	0	0	0	0	1	0	0
Bifidobacterium breve	Actinobac	16	2	0	0	1	2	5	0	3	0	0	0	3
Eggerthella lenta	Other Actinobacteria	120	16	0	2	0	0	7	91	0	4	0	0	0
Eggerthella lenta	Other Actinobacteria	7	1	0	0	0	0	0	6	0	0	0	0	0
Gardnerella vaginalis Group A	Actinobac	13343	1477	1850	3302	8	762	2	44	102	9	5766	4	17
Gardnerella vaginalis Group A	Actinobac	89	0	0	88	0	0	0	0	0	0	1	0	0
Gardnerella vaginalis Group A	Actinobac	83	10	2	54	0	1	1	0	0	0	15	0	0
Gardnerella vaginalis Group A	Actinobac	71	6	10	5	0	8	0	5	2	0	34	0	1
Gardnerella vaginalis Group A	Actinobac	41	0	8	0	0	3	0	3	1	0	26	0	0
Gardnerella vaginalis Group A	Actinobac	3	0	0	0	0	0	1	1	0	0	1	0	0
Gardnerella vaginalis Group A	Actinobac	1	0	0	0	0	0	0	0	0	0	0	0	1
Gardnerella vaginalis Group A	Actinobac	1	0	0	0	0	1	0	0	0	0	0	0	0
Gardnerella vaginalis Group C	Actinobac	4870	165	399	91	1	16	5	489	27	3558	111	2	6
Gardnerella vaginalis Group C	Actinobac	64	9	8	2	4	2	4	8	1	19	1	4	2
Gardnerella vaginalis Group C	Actinobac	6	0	1	3	0	0	0	0	0	0	2	0	0
Gardnerella vaginalis Group D	Actinobac	53	0	0	0	0	0	0	52	0	1	0	0	0
Gardnerella vaginalis Group D	Actinobac	7	0	0	0	0	0	0	7	0	0	0	0	0
Gardnerella vaginalis Group D	Actinobac	3	0	0	0	0	0	0	3	0	0	0	0	0
Gardnerella vaginalis Group D	Actinobac	2	0	0	0	0	0	0	2	0	0	0	0	0
Paraprevotella clara 	Other Bacteroidetes	2	0	0	0	0	0	0	0	0	0	0	0	2
Prevotella amnii	Bacteroidetes	3470	1	0	1	2	1	1	0	0	0	0	1	3463
Prevotella amnii	Bacteroidetes	140	1	0	0	0	0	0	0	0	0	0	0	139
Prevotella buccalis	Other Bacteroidetes	27	0	2	0	0	0	0	0	0	0	25	0	0
Prevotella buccalis	Other Bacteroidetes	1	0	0	0	0	0	0	0	0	0	1	0	0
Prevotella dentalis	Other Bacteroidetes	1	0	0	0	0	0	0	0	0	0	0	0	1
