"","V1"
"Vogue1B2.01.01",25.5
"Vogue1B2.01.06",17
"Vogue1B2.01.07",14.5
"Vogue1B2.01.08",23
"Vogue1B2.01.09",17
"Vogue1B2.01.10",16.25
"Vogue1B2.01.11",11
"Vogue1B2.01.12",18.1666666666667
"Vogue1B2.01.15",14
"Vogue1B2.01.19",11
"Vogue1B2.01.21",21
"Vogue1B2.01.23",13.25
"Vogue1B2.01.26",22.25
"Vogue1B2.01.28",20.125
"Vogue1B2.01.29",21.25
"Vogue1B2.01.35",17
"Vogue1B2.01.37",20.5
"Vogue1B2.01.38",21
"Vogue1B2.01.50",23.5
"Vogue1B2.01.52",24.5
"Vogue1B2.01.56",21
"Vogue1B2.01.58",20
"Vogue1B2.01.61",18.5
"Vogue1B2.01.62",19
"Vogue1B2.01.63",16.6666666666667
"Vogue1B2.01.64",23.125
