"","V1"
"Vogue1B2.01.01",0.997503744383425
"Vogue1B2.01.06",0.998929336188437
"Vogue1B2.01.07",0.997830802603037
"Vogue1B2.01.08",0.999887898660389
"Vogue1B2.01.09",0.999625678457795
"Vogue1B2.01.10",0.998323085522638
"Vogue1B2.01.11",0.999581589958159
"Vogue1B2.01.12",0.999473129610116
"Vogue1B2.01.15",0.998387096774194
"Vogue1B2.01.19",0.996447602131439
"Vogue1B2.01.21",0.999677731227844
"Vogue1B2.01.23",0.999552972731337
"Vogue1B2.01.26",0.9991961414791
"Vogue1B2.01.28",0.996919917864476
"Vogue1B2.01.29",0.998457583547558
"Vogue1B2.01.35",0.999182338511856
"Vogue1B2.01.37",0.999436408040579
"Vogue1B2.01.38",0.999257609502598
"Vogue1B2.01.50",0.999713767770251
"Vogue1B2.01.52",0.999756236288291
"Vogue1B2.01.56",1
"Vogue1B2.01.58",0.999711441350455
"Vogue1B2.01.61",0.999205718824464
"Vogue1B2.01.62",1
"Vogue1B2.01.63",0.999612252811167
"Vogue1B2.01.64",0.999517063747585
