Participants,Shannon's Diversity
Vogue1B2.01.01,0.279201714
Vogue1B2.01.06,1.360899677
Vogue1B2.01.07,0.273061864
Vogue1B2.01.08,1.110827339
Vogue1B2.01.09,0.19164577
Vogue1B2.01.10,1.187375402
Vogue1B2.01.11,0.650197342
Vogue1B2.01.12,1.849868094
Vogue1B2.01.15,0.355939908
Vogue1B2.01.19,0.700082723
Vogue1B2.01.21,0.720836235
Vogue1B2.01.23,0.179518475
Vogue1B2.01.26,1.863191655
Vogue1B2.01.28,1.453794057
Vogue1B2.01.29,1.431072772
Vogue1B2.01.35,0.823318513
Vogue1B2.01.37,0.844776677
Vogue1B2.01.38,1.349879675
Vogue1B2.01.50,0.558852821
Vogue1B2.01.52,0.672387744
Vogue1B2.01.56,1.638401034
Vogue1B2.01.58,0.931670841
Vogue1B2.01.61,0.326111295
Vogue1B2.01.62,0.993687323
Vogue1B2.01.63,0.304845613
Vogue1B2.01.64,1.257634203
