"","rarefy"
"1",8.09075421972139
"2",12.6806794144701
"3",9.83221150726131
"4",11.2582732057319
"5",7.96021912764488
"6",10.9188754671552
"7",10.0007119743336
"8",15.4811039997204
"9",10.0863566389802
"10",10
"11",12.4317981094218
"12",4.27899217119282
"13",15.3569910685518
"14",16.9020284052857
"15",15.5228537569493
"16",11.7377910698564
"17",9.5524111073678
"18",15.3119138785286
"19",10.5872681417932
"20",9.67233195005196
"21",16.640676830532
"22",11.4674024559365
"23",10.6870927722793
"24",14.5577540312948
"25",9.20382073888229
"26",12.7750581615553
