,hpv,var,pval,phi,cramer
1,t16,rxdrug,1,0.104828484,0.104828484
2,t16,antimicrodrug,1,0.094491118,0.094491118
3,t16,Age.cat,0.365517241,0.200445931,0.200445931
4,t16,BMI.under.cat,1,0.071428571,0.071428571
5,t16,BMI.over.cat,1,0.009390603,0.009390603
6,t16,Ethnicity.cat,1,0.094491118,0.094491118
7,t16,Ethnicity2.cat,1,NA,0.188982237
8,t16,BV.ever,1,0.054554473,0.054554473
9,t16,Yeast.ever,1,0.161164593,0.161164593
10,t16,UTI.ever,0.503448276,0.21821789,0.21821789
11,t16,Trich.ever,0.252873563,0.28827833,0.28827833
12,t16,Condyloma.ever,1,0.147441956,0.147441956
13,t16,GenHerpes.ever,1,0.104828484,0.104828484
14,t16,Chlamydia.ever,0.517241379,0.116642369,0.116642369
15,t16,Gonorrhea.ever,1,0.161164593,0.161164593
16,t16,Syphillis.ever,1,0.119522861,0.119522861
17,t16,Presence.Symptoms.2wks,1,0.147441956,0.147441956
18,t16,Presence.Symptoms.48hrs,1,0.119522861,0.119522861
19,t16,abnormaldischarge2wk,1,0.147441956,0.147441956
20,t16,abnormaldischarge48,1,0.119522861,0.119522861
21,t16,abnormalodor2wk,1,0.119522861,0.119522861
22,t16,abnormalodor48,1,0.104828484,0.104828484
23,t16,irritationdiscomfort2wk,1,0.049629167,0.049629167
24,t16,irritationdiscomfort48,1,0.049629167,0.049629167
25,t16,vaginalsymptomother2wk,1,0.049629167,0.049629167
26,t16,Symptom.pain,1,0.074074074,0.074074074
27,t16,Contraception.H,1,0.119522861,0.119522861
28,t16,Contraception.B.M,0.209195402,0.285714286,0.285714286
29,t16,Contraception.none,1,0.119522861,0.119522861
30,t16,contramethnotactive___1,0.517241379,0.116642369,0.116642369
31,t16,condoms.48h,1,0.071428571,0.071428571
32,t16,Pregnancy.cat,1,0.066666667,0.066666667
33,t16,oralsxfrequency.cat,1,0.028306926,0.028306926
34,t16,analsxfrequency.cat,0.320197044,0.236029398,0.236029398
