Bacterial Species	Total reads	Vogue1B2-01-07	Vogue1B2-01-09	Vogue1B2-01-23	Vogue1B2-01-21	Vogue1B2-01-05	Vogue1B2-01-04	Vogue1B2-01-15	Vogue1B2-01-20	Vogue1B2-01-14	Vogue1B2-01-28	Vogue1B2-01-12	Vogue1B2-01-01	Vogue1B2-01-16	Vogue1B2-01-13	Vogue1B2-01-11	Vogue1B2-01-29	Vogue1B2-01-06	Vogue1B2-01-03	Vogue1B2-01-10	Vogue1B2-01-24	Vogue1B2-01-08	Vogue1B2-01-19
Lactobacillus iners	29107	1321	5187	6473	5127	3496	73	25	390	105	236	518	11	3	493	26	309	11	3	253	126	4871	50
Lactobacillus crispatus	18192	7	26	25	160	106	7832	1162	1918	5354	502	647	64	2	29	79	63	2	2	69	18	116	9
Megasphaera sp. genomosp. type 1	11033	0	4	1	17	2	0	0	0	1	21	8	0	0	0	0	16	0	0	0	6	10957	0
Gardnerella vaginalis Group C	9192	6	4	195	657	16	6	0	0	19	129	205	8	1	1	100	111	42	5334	1194	525	637	2
Lactobacillus jensenii	6469	1	16	2	19	2541	178	20	101	2209	15	204	6	1	985	13	9	5	2	11	1	117	13
Gardnerella vaginalis Group A	5105	8	16	3	63	67	7	8	1	23	9	52	3	10	0	2067	1187	777	3	59	185	553	4
Lactobacillus gasseri	3144	23	3	3	48	16	2	3	3	13	8	7	1899	994	44	45	0	4	2	23	0	3	1
Escherichia coli	791	0	3	0	1	3	0	0	0	0	0	0	0	0	0	0	0	775	0	7	0	2	0
Klebsiella pneumoniae	480	0	0	0	0	0	0	0	7	0	0	0	0	1	1	0	0	0	0	0	1	1	469
Prevotella timonensis	417	2	4	0	23	13	0	1	0	3	15	2	1	24	0	7	94	1	0	1	103	123	0
Gardnerella vaginalis Group B	403	0	0	0	22	0	0	0	0	0	1	86	0	0	0	0	0	0	0	0	0	294	0
Clostridia sp. probably BVAB2	246	1	3	2	15	15	3	3	5	16	16	31	1	2	0	23	32	34	2	2	12	16	12
Atopobium vaginae	240	2	0	0	4	4	0	0	0	0	3	0	1	2	0	0	10	0	0	134	0	80	0
Porphyromonas uenonis	154	2	0	0	0	49	2	1	1	0	1	3	0	9	1	11	42	0	0	1	29	2	0
Other Firmicutes	79	0	2	1	1	0	0	0	0	0	2	8	0	0	0	0	0	10	0	32	15	8	0
Other Prevotella	71	0	0	0	3	0	0	0	0	0	1	67	0	0	0	0	0	0	0	0	0	0	0
Eukaryote	65	6	1	5	3	14	5	0	0	17	1	1	1	0	1	0	0	0	8	0	0	0	2
Other Lactobacillus	50	0	45	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
Prevotella amnii	41	3	0	0	18	4	1	4	0	2	0	0	1	0	0	0	8	0	0	0	0	0	0
Other Actinobacteria	41	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	2	21	0	0	4	1	0
Other Actinobacteria	38	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	33	0	0	1	0	0
Other Proteobacteria	33	0	2	0	0	2	1	2	0	7	0	0	0	8	11	0	0	0	0	0	0	0	0
Other Prevotella	32	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	4	0
Other Streptococcus	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	1	0
Other Prevotella	31	0	0	0	2	3	0	0	0	0	1	2	0	2	0	1	1	1	0	0	16	2	0
Clostridium genomosp. BVAB3	30	1	0	0	0	14	0	0	0	0	5	0	0	0	0	0	5	0	1	0	0	4	0
Other Streptococcus	28	0	1	0	0	8	0	0	0	4	0	0	0	0	5	0	0	9	0	0	0	1	0
Other Actinobacteria	27	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	23	0	0	1	0	0
Other Prevotella	25	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	20	0	0	0	0	0	0
Actinobacteria sp.	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	15	0	0	9	0	0
Other Streptococcus	23	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	1	0	13	0
Other Actinobacteria	22	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0
Alloscardovia omnicolens	22	0	0	0	0	0	0	0	0	0	0	2	0	4	0	13	0	0	0	0	0	3	0
Other Bifidobacterium	21	0	0	0	15	0	0	0	0	1	4	1	0	0	0	0	0	0	0	0	0	0	0
Other Lactobacillus	20	0	1	0	0	0	0	0	0	0	2	1	0	0	11	0	0	0	2	0	0	3	0
Other Streptococcus	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0
Gardnerella vaginalis Group D	17	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	1	0	0	0	0	2	0
Other Actinobacteria	16	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0
Other Firmicutes	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0
Other Proteobacteria	14	0	8	0	0	0	0	0	0	4	0	0	0	0	1	0	1	0	0	0	0	0	0
Other Bacteria	13	0	0	0	0	0	0	2	0	0	0	0	0	5	6	0	0	0	0	0	0	0	0
Other Bacteroidetes	11	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	8	0	0	0	0	1	0
Other Lactobacillus	11	0	10	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Other Streptococcus	11	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	9	0
Other Proteobacteria	10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0
Other Prevotella	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0
Other Actinobacteria	7	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	2	0
Other Proteobacteria	7	0	0	0	0	0	0	2	0	0	0	0	2	0	2	0	0	0	0	0	0	1	0
Other Actinobacteria	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0
Other Actinobacteria	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
Other Proteobacteria	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0
Other Actinobacteria	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	3	0	0
Other Actinobacteria	5	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Other Bacteroidetes	5	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0
Other Firmicutes	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0
Other Lactobacillus	5	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
Other Clostridium	5	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0
Other Proteobacteria	5	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0
Other Actinobacteria	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
Other Proteobacteria	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Other Bifidobacterium	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
Other Clostridium	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
Other Proteobacteria	3	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Other Proteobacteria	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Other Streptococcus	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0
Other Firmicutes	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Other Firmicutes	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Other Firmicutes	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Other Firmicutes	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Other Clostridium	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
