"","kw.ep","kw.eBH","glm.ep","glm.eBH"
"Acetonema longum",0.447551232795729,0.858241740398419,0.0716484498045207,0.0866360253821772
"Acidaminococcus fermentans",0.502564470716093,0.86129780627961,0.117804402127258,0.132353180042927
"Acidaminococcus intestini",0.534419532646328,0.865208918233786,0.0799836171218134,0.0947224585006272
"Acidovorax avenae",0.536295998068637,0.863959186852096,0.152267649350023,0.168484339228008
"Acidovorax ebreus",0.522905158192862,0.861633485002828,0.110797364155596,0.128310206312032
"Acinetobacter bereziniae",0.526178821143349,0.862489457253371,0.148346479283256,0.164694210820228
"Acinetobacter calcoaceticus",0.503231486805832,0.860245775012793,0.0645230611555694,0.079430881228054
"Acinetobacter johnsonii",0.424887843870225,0.858500269723506,0.103274105740981,0.116795220878375
"Acinetobacter junii",0.473681279217041,0.862006075014011,0.0837800803567455,0.0960604826517303
"Acinetobacter lwoffii",0.475231273268258,0.860019483044126,0.0892766856339753,0.103359089442027
"Acinetobacter parvus",0.505777422828869,0.864207018748928,0.122294445055897,0.136290494950374
"Acinetobacter pittii",0.518090864741238,0.864974417583278,0.10325168037506,0.117057423760621
"Actinobacillus minor",0.459220864561743,0.859537694697868,0.058627305402701,0.069375702265875
"Actinobacillus pleuropneumoniae",0.50187437794621,0.861840117468057,0.104174953682134,0.11882191398364
"Actinobacteria sp.",0.550758817604398,0.866688131698589,0.28175996308039,0.301727588310018
"Actinobaculum massiliae",0.477533356552513,0.861597320802324,0.101480600477194,0.116182250913723
"Actinomyces neuii",0.377361367998087,0.855954912734321,0.0220991128077589,0.0308265390708722
"Actinomyces neuii subsp. anitratus",0.506083951949333,0.86570465302329,0.101177983163752,0.115309794585337
"Actinomyces odontolyticus",0.497011817670633,0.858922613313171,0.100970259342377,0.117283715909285
"Actinomyces turicensis",0.283407229494637,0.855296761236098,0.0140606990857936,0.0193552984422716
"Aerococcus urinae",0.497017857555541,0.861824503683985,0.108551088167141,0.126314873159949
"Aerococcus viridans",0.541277162647127,0.863311358428141,0.121489137049836,0.138724887260089
"Aeromicrobium marinum",0.457977225209478,0.860101404082036,0.0817060217145099,0.0946811710044997
"Afipia clevelandensis",0.51578349798059,0.861953217751964,0.112852005820848,0.128658438839034
"Agrobacterium radiobacter",0.518075574052743,0.861665837325377,0.097040646471595,0.114257825870622
"Agrobacterium tumefaciens",0.505746194509425,0.862532194788235,0.0929811752006064,0.10929770242614
"Agromonas oligotrophica",0.503946571382872,0.862348537535522,0.110334754891574,0.12588632723433
"Akkermansia muciniphila",0.515775433758108,0.862739945743342,0.0912486451846784,0.106498577255135
"Alcaligenes faecalis",0.496121355509748,0.860620677073825,0.0822797711364904,0.0948142511870472
"Alicyclobacillus acidocaldarius",0.500833791507989,0.863387229102687,0.100399377456435,0.115759120587236
"Alistipes indistinctus",0.459627358442429,0.859241379575982,0.0558228746470761,0.06838254189278
"Alistipes shahii",0.501319312160014,0.863146743144684,0.0994527410109906,0.114319199884798
"Alistipes sp.",0.508591289518303,0.863916563367446,0.0915485403514419,0.105838342968006
"Alloscardovia omnicolens",0.564141555973325,0.861938763824046,0.2368326505112,0.258195065055175
"amorphae DSM",0.470594426762728,0.858982421722193,0.111929361998862,0.12850341071165
"Amphibacillus xylanus",0.439812875430897,0.860395300668302,0.0653258934493852,0.0771363984088905
"Anaerococcus hydrogenalis",0.47940251375597,0.861093888446256,0.0851445497506847,0.0979294169456428
"Anaerococcus lactolyticus",0.523323064361339,0.865092892730319,0.136751452289049,0.154041028942658
"Anaerococcus prevotii",0.503436580488643,0.865190684136234,0.0942863338636204,0.108999753837904
"Anaerococcus tetradius",0.461846212852125,0.859200938764761,0.0985744467373778,0.113347696071697
"Anaerococcus vaginalis",0.500055489412281,0.863368689111243,0.095862889350376,0.110900444327137
"Anaeroglobus geminatus",0.446790218256304,0.858264802239142,0.0589361027720998,0.0710099887080004
"Anaerotruncus colihominis",0.435556778764597,0.858604800325987,0.0400823980722939,0.0508502540296651
"Aneurinibacillus aneurinolyticus",0.525295783474757,0.860760991868022,0.107963744889991,0.123422537290016
"Anoxybacillus flavithermus",0.482966600712518,0.861048655379385,0.122491230405914,0.138304469196176
"Arcanobacterium haemolyticum",0.498878505796068,0.860803249548301,0.120542031075661,0.137780541991292
"Arcanobacterium pyogenes",0.483647106786115,0.861106112774528,0.103141844184643,0.118393138873542
"Arthrobacter aurescens",0.439625905835779,0.856962032202579,0.080982530570839,0.0946470449546384
"Arthrobacter chlorophenolicus",0.470160109366563,0.861159436249855,0.0595580884822672,0.069728219083899
"Arthrobacter gangotriensis",0.452680218969318,0.858968243090075,0.0660438592630844,0.0800829531163355
"Arthrobacter globiformis",0.44663402747745,0.859937960965226,0.0955166509640272,0.107829303347295
"Arthrobacter phenanthrenivorans",0.503103439875339,0.861484028833595,0.091499785874392,0.107417302052511
"Aspergillus niger",0.495463370796405,0.862054300401008,0.0783676013149627,0.092306115962414
"Asticcacaulis excentricus",0.535962290526896,0.864979617904326,0.099568440406464,0.114099575439075
"Atopobium minutum",0.455470680870493,0.858928666147717,0.108083938778338,0.123875382385884
"Atopobium parvulum",0.467401825972795,0.860251691561104,0.122545414013644,0.136844409826654
"Atopobium vaginae",0.320137657303305,0.855125456463875,0.00953050047111663,0.0160451120416993
"Atopostipes suicloacalis",0.481628127127876,0.859938120369828,0.0555237568382977,0.0658049019238314
"Atopostipes suicloacalis ",0.547563130039415,0.864979026837843,0.149392280779484,0.163977881584487
"Azospirillum canadense",0.481377362717091,0.861755802892165,0.0912137064749608,0.1069691143133
"Bacillus bataviensis",0.497901526064373,0.860297245810578,0.112809230980218,0.128335628804946
"Bacillus lentus",0.464570091912157,0.859816121467269,0.0566351589768687,0.0691120423823594
"Bacillus marinus",0.462754545704297,0.859946636868624,0.0654475710790114,0.075795317782206
"Bacillus megaterium",0.492644655146541,0.860751457676786,0.0933428761890665,0.107798986187563
"Bacillus mojavensis",0.495100089394566,0.860662531097542,0.0864569644985173,0.101006977199637
"Bacillus pseudofirmus",0.476428395963553,0.861701024288292,0.0805428830018439,0.0928540449758735
"Bacillus psychrosaccharolyticus",0.4933422554502,0.862299621360277,0.113966405094809,0.128356773029602
"Bacillus stratosphericus",0.515132539567623,0.862522562526045,0.104506778551618,0.118024666743333
"Bacteroides cellulosilyticus",0.506733575642231,0.862420993439047,0.133931724790475,0.148231355963005
"Bacteroides clarus",0.511208087716927,0.860563065443116,0.0853754877713204,0.101412659227526
"Bacteroides coagulans",0.412421899690738,0.856375673665612,0.0364727843823026,0.0470960502979226
"Bacteroides eggerthii",0.511357755385635,0.861576805034719,0.113027391261696,0.127820747316886
"Bacteroides pectinophilus",0.321236244842605,0.855886263157235,0.0270007028034584,0.0350868117335086
"Bacteroides salyersiae",0.48436621545318,0.860842593717394,0.083228278691249,0.096974208652571
"Bacteroides suis",0.499416159475623,0.859306980680253,0.0936272166972288,0.108575875194766
"Bacteroides ureolyticus",0.490751130697786,0.860056682169325,0.0808471958641686,0.0951952038817142
"Bacteroides vulgatus",0.480781948549752,0.860641987080838,0.0980109474928434,0.113099145342783
"Barnesiella intestinihominis",0.311550743664079,0.855260398694387,0.0422125757494767,0.0530949899914983
"Barnesiella viscericola",0.531120774023409,0.862642440306838,0.098696177107688,0.115191597275927
"Bartonella bovis",0.49946493764695,0.861176332320844,0.0937775100915317,0.109558611935684
"Bdellovibrio bacteriovorus",0.510818056558012,0.86232239596031,0.0984118790280496,0.112781969190677
"Bifidobacterium bifidum",0.479572381645316,0.860159163512055,0.112785530382615,0.126929034707316
"Bifidobacterium boum",0.522911763882475,0.86573200349088,0.0977533132659515,0.113076956029186
"Bifidobacterium breve",0.533817614194628,0.861430789111636,0.146442824586401,0.166380825691605
"Bifidobacterium dentium",0.508064009920482,0.859082129319895,0.155123344769378,0.176193302006962
"Bifidobacterium kashiwanohense",0.49249248844357,0.862661101034053,0.112607940438963,0.126763481590112
"Bifidobacterium pseudocatenulatum",0.495573690497619,0.861615812164668,0.109939656521997,0.122677389956339
"Bifidobacterium thermacidophilum",0.464581874246579,0.860296652185092,0.0738432052494963,0.0873268302234621
"Bifidobacterium thermophilum",0.480776418695158,0.860263979219766,0.0728748742714907,0.0859969208538868
"Blautia hansenii ",0.474219729683621,0.860368409401061,0.0929549863262828,0.108650240429586
"Blautia producta",0.468101437721827,0.859246103888704,0.089031122540079,0.101804791383201
"Bombus impatiens",0.473680961983252,0.861287844610534,0.0877612991838372,0.101857155030257
"Botrytis convoluta",0.476934227841129,0.861714903743694,0.0908264593999042,0.105632341875951
"Brachyspira pilosicoli",0.489153457817594,0.861369590816973,0.101850374063749,0.115130485142842
"Bradyrhizobiaceae bacterium",0.448021611536395,0.858193542397799,0.0797798159883101,0.0945965253840061
"Bradyrhizobium japonicum",0.506817080574658,0.862349442814391,0.0754338496562227,0.0884173331503032
"Brevibacterium casei",0.387464604968332,0.856719797679946,0.0548929830603979,0.0663029344486204
"Brevibacterium linens",0.407617487677128,0.857754589875319,0.0727046047286632,0.0862814746786137
"Brevibacterium mcbrellneri",0.493370455856725,0.861555058062273,0.107628026851038,0.121480879505067
"Brevundimonas diminuta",0.502188833865757,0.860587520038412,0.130562101104614,0.147154248147655
"Brevundimonas vesicularis",0.448336489639255,0.859056813574797,0.104517396698567,0.117550751110764
"Brucella suis",0.458601623396046,0.857941074595214,0.0380293305195693,0.0472333930044985
"Bulleidia extructa",0.493959148942258,0.861590953668769,0.0812612498136761,0.0960490888819349
"Burkholderia ambifaria",0.491048818494288,0.863900242132319,0.102583089335376,0.11778037142372
"Burkholderia cepacia",0.508903444571169,0.860080597157256,0.0945688038100353,0.110652055694209
"Burkholderia glumae",0.458600928592371,0.859169721633173,0.0759652685861766,0.0896970462209041
"Burkholderia phytofirmans",0.500024651910046,0.859525231430428,0.085618544489036,0.101337281730629
"Burkholderia pseudomallei",0.465452881078057,0.861460357611273,0.0895387679026388,0.103482540262186
"Burkholderia vietnamiensis",0.511400878092701,0.86128790481136,0.103477087476588,0.119036650918025
"Burkholderia xenovorans",0.433241835861619,0.859149215457311,0.0459752340341136,0.0581140494136824
"Butyrivibrio proteoclasticus",0.486532523646876,0.860641799123166,0.0991064645330397,0.112990050103225
"Caldicellulosiruptor saccharolyticus",0.525689748593085,0.865056607880855,0.10170734704211,0.116536522450166
"Campylobacter fetus",0.500129623310534,0.860296647314889,0.102208967250182,0.11625700597635
"Campylobacter hominis",0.504823154726359,0.862313640967485,0.111908473452226,0.126637013683934
"Campylobacter jejuni",0.520876495321297,0.863341067633757,0.0948566976981154,0.11037419783519
"Candida albicans",0.514784647407447,0.863644357009276,0.113735062784523,0.13044389514523
"Candidate division TM7",0.507110236260104,0.860816607781089,0.103689616219408,0.118780722942352
"Candidatus Chloracidobacterium",0.493450187656687,0.862404287211458,0.0908019902688323,0.103047158146411
"Candidatus Desulforudis audaxviator",0.457725111508737,0.860417594062485,0.0974870341952131,0.109904398570828
"Candidatus Ishikawaella capsulata",0.531942365539725,0.868000891704164,0.136927677680836,0.149671693590231
"Candidatus Nitrospira",0.476417626194393,0.860933074916052,0.0758475435003035,0.0876215195250497
"Candidatus Pelagibacter",0.490925158992117,0.863010358419837,0.0936092863796415,0.108109355431997
"Capnocytophaga sputigena",0.523121993097958,0.862247486710665,0.123318035178621,0.140161425889438
"Catenulispora acidiphila",0.503602361679265,0.861829051774287,0.106792621704447,0.121359551283315
