"","kw.ep","kw.eBH","glm.ep","glm.eBH"
"Acetonema longum",0.529126993292849,0.909732171969502,0.516534111390219,0.925180095872581
"Acidaminococcus fermentans",0.399016315250195,0.874655009776744,0.432959362993795,0.926814125345785
"Acidaminococcus intestini",0.542264276509425,0.913709001519322,0.572166733813797,0.916970089189263
"Acidovorax avenae",0.495041865178154,0.894564253653183,0.515579071023046,0.912858882513867
"Acidovorax ebreus",0.473591985546401,0.896996939401305,0.519368801441109,0.921394583751695
"Acinetobacter bereziniae",0.510392199516989,0.893547327477479,0.536663772343393,0.931931204968849
"Acinetobacter calcoaceticus",0.52524015503101,0.910643685551007,0.541785615837589,0.909238649441127
"Acinetobacter johnsonii",0.525850579446057,0.906744561681512,0.543865174785728,0.917006231939671
"Acinetobacter junii",0.493316942379717,0.906402941929648,0.528295069450667,0.914329840034423
"Acinetobacter lwoffii",0.52845805906689,0.910280024733722,0.527579859152979,0.927364098929069
"Acinetobacter parvus",0.448738249497524,0.884085623963207,0.475871758659941,0.919394612145345
"Acinetobacter pittii",0.522806803550528,0.911492571877751,0.52758238158436,0.943063794611264
"Actinobacillus minor",0.501267431645957,0.902743538399704,0.536354842927327,0.91569091072876
"Actinobacillus pleuropneumoniae",0.525833595723411,0.910342414593824,0.543489822126256,0.939171413227055
"Actinobacteria sp.",0.00216887021098975,0.246162977958442,5.89733874942315e-06,0.00191146055604289
"Actinobaculum massiliae",0.52066545806629,0.909202043704472,0.536631079211385,0.917966994291302
"Actinomyces neuii",0.622867802440851,0.937288268669661,0.631722575228036,0.967158168341393
"Actinomyces neuii subsp. anitratus",0.537139006641633,0.907648631894253,0.550889547692982,0.933257239314579
"Actinomyces odontolyticus",0.459437211031993,0.885910457996875,0.457469873037709,0.919887940031724
"Actinomyces turicensis",0.557320627177889,0.918588143639793,0.462947534652465,0.925697760351605
"Aerococcus urinae",0.00926471528389303,0.344447683394803,0.00366036277354777,0.11106850242879
"Aerococcus viridans",0.480542665503908,0.900056649090159,0.507133393537581,0.930033156558035
"Aeromicrobium marinum",0.466878922444032,0.892205631253002,0.467905223272379,0.902003864974852
"Afipia clevelandensis",0.475042366343182,0.902405055290423,0.529774212564236,0.938561022670789
"Agrobacterium radiobacter",0.50885484591143,0.907698722851615,0.503949351629278,0.912041762465263
"Agrobacterium tumefaciens",0.513849716985162,0.907130671798893,0.510038526625482,0.912827046002793
"Agromonas oligotrophica",0.526430871692467,0.908951518947444,0.547349033439142,0.922215521158701
"Akkermansia muciniphila",0.514480937513194,0.902151341020568,0.514708735643923,0.911695943005347
"Alcaligenes faecalis",0.509741499928771,0.908273639123147,0.548214194704617,0.930305959272982
"Alicyclobacillus acidocaldarius",0.517171204872724,0.896256737384943,0.511610239352041,0.924142934359623
"Alistipes indistinctus",0.502904621804658,0.905464369966479,0.526157651538865,0.925046038650228
"Alistipes shahii",0.521541148977718,0.901188786823456,0.51311360103354,0.926108331852481
"Alistipes sp.",0.484224684188149,0.894953450818182,0.518210966367123,0.92066409821741
"Alloscardovia omnicolens",0.115590680083412,0.727390401847924,0.1651755323053,0.748108215180537
"amorphae DSM",0.492654163250394,0.892418953869104,0.520527351430085,0.900001569350751
"Amphibacillus xylanus",0.509875971816641,0.917237963472896,0.526861008321584,0.934894723985335
"Anaerococcus hydrogenalis",0.489333336068671,0.890504532626909,0.488027993028666,0.892953216220938
