"","kw.ep","kw.eBH","glm.ep","glm.eBH"
"Acetonema longum",0.465092047493165,0.89801023703774,0.510220091536277,0.880005218252756
"Acidaminococcus fermentans",0.40100846764944,0.892049055002465,0.445255267451824,0.892550765125255
"Acidaminococcus intestini",0.521558332924709,0.899183400803525,0.556125339898903,0.879283818462209
"Acidovorax avenae",0.466217594905937,0.896365486713393,0.487539417370006,0.878372976536819
"Acidovorax ebreus",0.478731603493269,0.898292984670166,0.521658449477236,0.855249288806844
"Acinetobacter bereziniae",0.497082317015421,0.901499518781846,0.516235127623075,0.830596081925206
"Acinetobacter calcoaceticus",0.491922839345673,0.895556565671773,0.547941944979006,0.888241121039338
"Acinetobacter johnsonii",0.529909946360526,0.90638889719496,0.590219496310968,0.903801557078544
"Acinetobacter junii",0.500581062764382,0.901187836857138,0.563850606796892,0.905633940531058
"Acinetobacter lwoffii",0.477695447484341,0.898752175495537,0.491317092264303,0.876894993530499
"Acinetobacter parvus",0.506827257857849,0.902467824519661,0.519868392685021,0.863386445965261
"Acinetobacter pittii",0.467037164364021,0.897770195902072,0.486650899008409,0.879132428439766
"Actinobacillus minor",0.50151231378625,0.899197446632107,0.546541757731863,0.902485755259042
"Actinobacillus pleuropneumoniae",0.490960484289912,0.905705684103589,0.511391014603771,0.865292422653642
"Actinobacteria sp.",0.104719817190465,0.85034811516871,0.0100439191733059,0.155070364075395
"Actinobaculum massiliae",0.519441459817048,0.904692433891084,0.504569797987181,0.880058381728823
"Actinomyces neuii",0.503707540719008,0.901818855431268,0.46881631241298,0.887736889312962
"Actinomyces neuii subsp. anitratus",0.468028079052291,0.899145673546775,0.518560631097377,0.889285005950929
"Actinomyces odontolyticus",0.51556825251096,0.903935004732874,0.543917990240671,0.903524727110792
"Actinomyces turicensis",0.292409724224791,0.882884381195841,0.20039227234067,0.715244698152974
"Aerococcus urinae",0.0454927567729355,0.771279098769868,0.0373245905481338,0.334213863154629
"Aerococcus viridans",0.456122581746581,0.895579403916213,0.4735794029065,0.885224241160394
"Aeromicrobium marinum",0.484160527304099,0.900035081458061,0.493781672929426,0.865045751407529
"Afipia clevelandensis",0.513129497585895,0.903585884844812,0.598632237630074,0.926855003130764
"Agrobacterium radiobacter",0.501764643942952,0.900718204826259,0.532139182461637,0.892623584440475
"Agrobacterium tumefaciens",0.483803782163354,0.898889352557374,0.522870363612076,0.901244940100308
"Agromonas oligotrophica",0.500044642552187,0.900118771395462,0.530096275364839,0.894624129299382
