"","kw.ep","kw.eBH","glm.ep","glm.eBH"
"Acetonema longum",0.440785162748512,0.859660410827271,0.484898611419394,0.869743341932033
"Acidaminococcus fermentans",0.333876693303072,0.853609635267318,0.440105138211347,0.875796494737959
"Acidaminococcus intestini",0.506347190130574,0.863401135254612,0.602560049364224,0.924879628018788
"Acidovorax avenae",0.505420756415652,0.862031656052557,0.568973341371287,0.919282322160327
"Acidovorax ebreus",0.47589593102912,0.862223926665608,0.546018137605263,0.851518125905089
"Acinetobacter bereziniae",0.460295660045309,0.860710517042278,0.528992872088553,0.892458569311178
"Acinetobacter calcoaceticus",0.482973238706601,0.861851747445505,0.55113648336339,0.871800074183274
"Acinetobacter johnsonii",0.48772714511934,0.865943322686521,0.573409990707283,0.875751219018362
"Acinetobacter junii",0.519985332262749,0.867043703259762,0.573282235790111,0.882401104746431
"Acinetobacter lwoffii",0.469352941913542,0.85848809656539,0.530437773712583,0.895453021901409
"Acinetobacter parvus",0.501375027118344,0.865699011509848,0.559667258315903,0.878635567459663
"Acinetobacter pittii",0.481890892721177,0.861555423835817,0.54556645044622,0.865698177686069
"Actinobacillus minor",0.466557837518081,0.860065909557134,0.530836783350058,0.868772544277312
"Actinobacillus pleuropneumoniae",0.509578788373711,0.865381605014481,0.540264482409325,0.879928241664372
"Actinobacteria sp.",0.0295940661635515,0.722859701495825,7.55436047607312e-05,0.00405541633134705
"Actinobaculum massiliae",0.503757975307311,0.86331725766142,0.557787907332258,0.890517413268736
"Actinomyces neuii",0.195219921808196,0.847855600869054,0.0554990061311657,0.390430622589243
"Actinomyces neuii subsp. anitratus",0.407995804224915,0.861794522999674,0.461484780084438,0.831637492909215
"Actinomyces odontolyticus",0.472277699966093,0.861991036340522,0.524996767899471,0.871804703561094
"Actinomyces turicensis",0.356392956298155,0.85058653464124,0.295075788080811,0.798358690935903
"Aerococcus urinae",0.0128873996161004,0.579842102232252,0.0194273431939576,0.193259142655625
"Aerococcus viridans",0.458282603002774,0.85819676312228,0.511037060574542,0.839337133994156
"Aeromicrobium marinum",0.493305411816147,0.862406606721894,0.564083407950813,0.900981208748559
"Afipia clevelandensis",0.481040710133078,0.863709747753271,0.56441971264277,0.882633901270948
"Agrobacterium radiobacter",0.529290486702358,0.865335435335063,0.595138353510058,0.911643717552376
"Agrobacterium tumefaciens",0.46808358998571,0.863689703368752,0.565103745398828,0.908072586750424
"Agromonas oligotrophica",0.496329373221437,0.863490743459228,0.567127152271115,0.867781930948258
"Akkermansia muciniphila",0.494283269378497,0.861945720435332,0.558143686267161,0.889777351035869
"Alcaligenes faecalis",0.48360647838759,0.861904141335333,0.545599154554,0.883938108873607
"Alicyclobacillus acidocaldarius",0.507110178030715,0.866427320650358,0.590269418480338,0.895592307423043
"Alistipes indistinctus",0.483107247464946,0.8623565128469,0.550985963262214,0.89765950741113
"Alistipes shahii",0.445596857226382,0.857746931965614,0.478729812361831,0.868331529848841
"Alistipes sp.",0.473661927465834,0.865526431995503,0.565855123555616,0.843295361899561
"Alloscardovia omnicolens",0.241338472948694,0.847799204956905,0.292549738017484,0.783527037323017
"amorphae DSM",0.557051559864454,0.870762544209473,0.577174690861162,0.886837720055072
"Amphibacillus xylanus",0.49268237906012,0.861093304051277,0.578069043352754,0.897142893234576
"Anaerococcus hydrogenalis",0.52103725080747,0.867707869086242,0.579136268321782,0.867556018753656
"Anaerococcus lactolyticus",0.474746303278232,0.859320232584544,0.564483642967417,0.894050588276663
"Anaerococcus prevotii",0.469281039051095,0.860260329053075,0.54369022282697,0.89892010674075
"Anaerococcus tetradius",0.472321962615644,0.85980729498,0.53474847725978,0.90840637345681
"Anaerococcus vaginalis",0.460040277510337,0.862212582493936,0.571555165342757,0.898800231437101
"Anaeroglobus geminatus",0.473417239717345,0.864470189192961,0.503679779633867,0.844070899813123
"Anaerotruncus colihominis",0.492219217735025,0.859842697322472,0.602327713826963,0.927863649859977
"Aneurinibacillus aneurinolyticus",0.445186880371716,0.85866309588162,0.50540771882865,0.861844613803867
"Anoxybacillus flavithermus",0.47215183846462,0.8572410735572,0.555837235079581,0.846678564637692
"Arcanobacterium haemolyticum",0.460823858738699,0.857867366403982,0.531541762226712,0.888682529171402
"Arcanobacterium pyogenes",0.445770810364879,0.860705301958697,0.521305201310361,0.867981770184352
