"","kw.ep","kw.eBH","glm.ep","glm.eBH"
"Acetonema longum",0.489193604196938,0.840619234043737,0.485018464380144,0.819355873247883
"Acidaminococcus fermentans",0.498031119596965,0.828374841766223,0.520278339603362,0.837132718595398
"Acidaminococcus intestini",0.517879624847712,0.863816360848924,0.561106687010939,0.890311829598557
"Acidovorax avenae",0.472640806761969,0.848231138307679,0.518039826960524,0.857255307300617
"Acidovorax ebreus",0.45825613446924,0.817928868443519,0.395431737707199,0.766357394797108
"Acinetobacter bereziniae",0.481591380344846,0.828576021837208,0.514787827028445,0.848051991089741
"Acinetobacter calcoaceticus",0.493252130002153,0.844990962992626,0.476006572044243,0.842015589786849
"Acinetobacter johnsonii",0.49353686622368,0.852399358731221,0.502988527297149,0.854373447386413
"Acinetobacter junii",0.506865509615695,0.856622010393997,0.519701543574997,0.859565227784373
"Acinetobacter lwoffii",0.465982781052499,0.824779655728599,0.496580842515599,0.831320845459748
"Acinetobacter parvus",0.482370273554883,0.851463191771593,0.481228809636936,0.850450921273134
"Acinetobacter pittii",0.499393624758167,0.842252190690377,0.521902199538376,0.84669472684426
"Actinobacillus minor",0.495308778086731,0.845413112409263,0.491606736016667,0.84024400636581
"Actinobacillus pleuropneumoniae",0.513845916536033,0.859092913833418,0.523264155255418,0.868887251742211
"Actinobacteria sp.",0.398882452480132,0.794333647991587,0.289047671448367,0.693128364168153
"Actinobaculum massiliae",0.453021249718287,0.831324683876837,0.434801260306876,0.796033198976539
"Actinomyces neuii",0.436754374216254,0.831211013067882,0.443690336369193,0.839204782558043
"Actinomyces neuii subsp. anitratus",0.468675548475547,0.824596269426865,0.478176960677263,0.822911340728781
"Actinomyces odontolyticus",0.492789526927193,0.85382123963877,0.527238412565727,0.867168554631436
"Actinomyces turicensis",0.40162001864965,0.792298509427289,0.426995441692149,0.813907421717394
"Aerococcus urinae",0.0181774222409147,0.1840023005369,0.0115797194811456,0.0975826686685622
"Aerococcus viridans",0.479726008232338,0.843503082132193,0.499566230083555,0.842985356227127
"Aeromicrobium marinum",0.488959001417283,0.84287867700403,0.515826917278704,0.836795686999814
"Afipia clevelandensis",0.469512545268897,0.830424584685285,0.478419931608106,0.816627869632005
"Agrobacterium radiobacter",0.468833879113408,0.850556620999997,0.472085477508155,0.833820034309666
"Agrobacterium tumefaciens",0.499009505336216,0.854152269988903,0.508847154560614,0.850398825437151
"Agromonas oligotrophica",0.515441004804263,0.851373132183928,0.536328805744074,0.868787029477957
"Akkermansia muciniphila",0.43687004628476,0.815121645903729,0.475664568206425,0.828367939966161
"Alcaligenes faecalis",0.443682497993852,0.825574728162082,0.465458714555729,0.836753477990393
"Alicyclobacillus acidocaldarius",0.523433970699192,0.865239855231473,0.563608332990125,0.888657023481884
"Alistipes indistinctus",0.462749150731236,0.831236277525063,0.470386789789425,0.815416208474412
"Alistipes shahii",0.533730822175863,0.85454928748007,0.534403348453177,0.829305085253379
"Alistipes sp.",0.479908586018937,0.835664601773853,0.47322203928753,0.830066973838956
"Alloscardovia omnicolens",0.00970050203594826,0.12436433300574,0.0142362390858402,0.113624802914546
"amorphae DSM",0.471823057916976,0.829686014515323,0.453503008354482,0.810169827440872
"Amphibacillus xylanus",0.479208067113989,0.839678223084745,0.477191546393171,0.838884128477848
"Anaerococcus hydrogenalis",0.458502307416972,0.825833865458994,0.483139864832062,0.821937244295709
"Anaerococcus lactolyticus",0.470966775467034,0.837725903712468,0.465556373832819,0.814595897550043
"Anaerococcus prevotii",0.480793375129638,0.841389860571112,0.490002208508099,0.847972290091935
"Anaerococcus tetradius",0.451698616888897,0.82610273544733,0.479429628467278,0.824808481765111
"Anaerococcus vaginalis",0.511548634492869,0.842264046625172,0.486519761646716,0.812084122324348
"Anaeroglobus geminatus",0.485159623529703,0.844188659079487,0.489775085375323,0.84031554033644
"Anaerotruncus colihominis",0.577051838189906,0.870238797344592,0.587166091678452,0.876505853183727
"Aneurinibacillus aneurinolyticus",0.498800997710428,0.839423224242006,0.495354269173369,0.840867855989551
"Anoxybacillus flavithermus",0.45266555860612,0.819155890230399,0.485875692708274,0.832566793763768
"Arcanobacterium haemolyticum",0.510515064318522,0.859360996592915,0.525502730127954,0.876818379851149
"Arcanobacterium pyogenes",0.461255652655992,0.827990399371404,0.515606929859638,0.844439692129904
"Arthrobacter aurescens",0.508167872908244,0.842492398640057,0.541389482057586,0.858218700412456
"Arthrobacter chlorophenolicus",0.516529614165283,0.857487741403905,0.529157328385947,0.875829885586855
"Arthrobacter gangotriensis",0.476768389750995,0.828203517450006,0.475394398725536,0.815593704082804
"Arthrobacter globiformis",0.49824937656422,0.853905603912269,0.500539867480329,0.825789114752865
"Arthrobacter phenanthrenivorans",0.430322387701695,0.814651184458127,0.453758393410128,0.819258944610195
"Aspergillus niger",0.470023436471938,0.843250712267347,0.509457382657755,0.849344728665085
"Asticcacaulis excentricus",0.471999975706538,0.823231850869941,0.498327337471492,0.831076996030899
"Atopobium minutum",0.515320281290834,0.866732772309926,0.511935090806065,0.850032989022068
"Atopobium parvulum",0.517180714398002,0.85011758448236,0.546627915450576,0.866161234957424
"Atopobium vaginae",7.83199711149025e-14,6.06479563292293e-12,2.08543796485504e-16,1.74694821443152e-14
"Atopostipes suicloacalis",0.469344054917448,0.82155533966776,0.503626143913378,0.829113253236751
"Atopostipes suicloacalis ",0.499511132185316,0.843335834104417,0.522330228475077,0.839841367216845
"Azospirillum canadense",0.517448534959012,0.846453436720008,0.532771990420031,0.845170185174123
"Bacillus bataviensis",0.479914052369792,0.829795488411211,0.507401202716764,0.841488924431889
"Bacillus lentus",0.517867047141456,0.857611355288208,0.518790027183429,0.839883858702604
"Bacillus marinus",0.517189120799943,0.865446940266577,0.518538064774924,0.855963061472049
"Bacillus megaterium",0.488262110392691,0.844359664381579,0.495395112803054,0.844862180634843
"Bacillus mojavensis",0.485239346655317,0.834113772564462,0.498209504542525,0.848617252788649
"Bacillus pseudofirmus",0.488605625054897,0.850478919078788,0.491689068399488,0.850031115495607
"Bacillus psychrosaccharolyticus",0.467223513436676,0.831343667831981,0.500544361021969,0.840898112962728
"Bacillus stratosphericus",0.499938801755459,0.849220258432159,0.49227569720851,0.844549990403358
"Bacteroides cellulosilyticus",0.477084971549484,0.847628592379622,0.498903311423292,0.852940087094183
"Bacteroides clarus",0.47223235905455,0.84154376524217,0.492869947318456,0.843995419753291
"Bacteroides coagulans",0.45649125636464,0.830266499664696,0.540948940730062,0.885325418730436
"Bacteroides eggerthii",0.499607966485022,0.842097179022698,0.480926141195783,0.825253514667631
"Bacteroides pectinophilus",0.18112110671345,0.554820115193136,0.216764003188617,0.556603468259774
"Bacteroides salyersiae",0.480211906747109,0.84435121197775,0.498450763100897,0.860486417159128
"Bacteroides suis",0.441367785428401,0.836849084851654,0.476017653254215,0.84558674926715
"Bacteroides ureolyticus",0.467272795711057,0.83307949374964,0.47396073601413,0.838797015288731
"Bacteroides vulgatus",0.465085132261558,0.822328591611198,0.465321906164636,0.813446269242784
"Barnesiella intestinihominis",0.379074003327684,0.770369149358796,0.39146203942932,0.731862394019311
"Barnesiella viscericola",0.471131372427207,0.835131835102195,0.473262808067258,0.811813228780442
"Bartonella bovis",0.478587588590921,0.839572942915317,0.500853988021672,0.843566448911133
"Bdellovibrio bacteriovorus",0.499370145102222,0.844863232822388,0.518553549673838,0.846566140701416
"Bifidobacterium bifidum",0.468558480875745,0.83461169351542,0.495137752912052,0.840334595501364
"Bifidobacterium boum",0.447288205408331,0.841340459896748,0.476997020556065,0.821332951981255
"Bifidobacterium breve",0.142112241745637,0.535579500828496,0.0280163240596235,0.151366143535978
"Bifidobacterium dentium",0.334631808445647,0.762342007204562,0.278380503948725,0.669059737064094
"Bifidobacterium kashiwanohense",0.4951630428054,0.833700198823039,0.511153112205037,0.836120359881162
"Bifidobacterium pseudocatenulatum",0.474158392362618,0.840671692341216,0.505279591780843,0.835841233582295
"Bifidobacterium thermacidophilum",0.470227978139225,0.837986627599091,0.49759271589781,0.837455274606629
"Bifidobacterium thermophilum",0.48534435393214,0.836074966248033,0.486394221052371,0.827011222033986
"Blautia hansenii ",0.464370241971773,0.828566028876152,0.49473595130589,0.846668863953436
"Blautia producta",0.48162472723166,0.850322850383889,0.494741867470509,0.839823309831194
"Bombus impatiens",0.451544240439189,0.815312754493534,0.486054050046591,0.836724874969394
"Botrytis convoluta",0.472759169173297,0.824176439689082,0.493048309740682,0.832676577479981
"Brachyspira pilosicoli",0.457600214814533,0.836754248866567,0.4706314571868,0.835127893125517
"Bradyrhizobiaceae bacterium",0.506702974605328,0.856230896378424,0.506545456782568,0.852467587680729
"Bradyrhizobium japonicum",0.482493749436045,0.821395293712141,0.50143093997263,0.827365639688608
"Brevibacterium casei",0.549770703552707,0.870264884995551,0.537534698333125,0.864878393840029
"Brevibacterium linens",0.482902224876649,0.846342515105159,0.513309657205456,0.852111485805243
"Brevibacterium mcbrellneri",0.439220266777526,0.829814028958235,0.496072648546227,0.836372134578713
"Brevundimonas diminuta",0.471749396667656,0.825539571347086,0.497855473842882,0.841275556557735
"Brevundimonas vesicularis",0.50250774149147,0.842793251401844,0.482140586668942,0.823834446518704
"Brucella suis",0.357443730543292,0.775272636122211,0.384311000466404,0.765871109874651
"Bulleidia extructa",0.475029146332256,0.832010580668979,0.48909932515089,0.843609906647377
"Burkholderia ambifaria",0.459600812011807,0.824592481117715,0.448974617334516,0.819378248952548
"Burkholderia cepacia",0.495058981288034,0.837409348067602,0.482425357340609,0.816866622133797
"Burkholderia glumae",0.452772739381401,0.827388182135184,0.477482877170179,0.83979700858413
"Burkholderia phytofirmans",0.522961295937504,0.848092048983839,0.571643221514972,0.866791602051187
"Burkholderia pseudomallei",0.479747266961304,0.840411116868145,0.495409033282848,0.839055171896868
"Burkholderia vietnamiensis",0.493478750511522,0.84841065704568,0.510151096521471,0.843546988159587
"Burkholderia xenovorans",0.426961402749948,0.804881209846664,0.443176329371819,0.783487228063464
"Butyrivibrio proteoclasticus",0.491392475057187,0.8549462721382,0.516419844637392,0.860316169943363
"Caldicellulosiruptor saccharolyticus",0.505002409925583,0.852881080716666,0.509427510084921,0.84783252730071
"Campylobacter fetus",0.460693668145875,0.820921794783525,0.467442572104515,0.810496263778343
"Campylobacter hominis",0.481444329503748,0.841774647426661,0.497582644931022,0.841056316736263
"Campylobacter jejuni",0.491700036362309,0.841046482825662,0.513373020627139,0.845950488485607
"Candida albicans",0.495348008579051,0.849411638025224,0.512156361730737,0.8441200782252
"Candidate division TM7",0.468090097045499,0.829867630655534,0.474164419886574,0.816509571224357
"Candidatus Chloracidobacterium",0.455865556216388,0.823686936272992,0.494120975117691,0.839233963048915
"Candidatus Desulforudis audaxviator",0.459356519644421,0.829642431628462,0.461513346924413,0.825911333245433
"Candidatus Ishikawaella capsulata",0.496365351331977,0.838250926739171,0.514937581077245,0.857271432774501
"Candidatus Nitrospira",0.498063624513741,0.838014611900076,0.520072293843948,0.850036300802705
"Candidatus Pelagibacter",0.50621942838265,0.849305318809798,0.534553620822759,0.857448942809112
"Capnocytophaga sputigena",0.495295512337434,0.833038607098926,0.511731515945584,0.839100647609698
"Catenulispora acidiphila",0.479424956454925,0.847504247095119,0.502283070113065,0.867006290312592
"Cellvibrio gilvus",0.456092144253292,0.832059191193896,0.456590348492931,0.813312907625437
"Chlorobium phaeobacteroides",0.50956087783561,0.853857317046189,0.530015466517406,0.863865521877098
"Chlorobium tepidum",0.491289575136937,0.856781888578208,0.537718670380453,0.885518790529986
"Chloroflexus aggregans",0.485422213208911,0.844647660812337,0.485374812520887,0.838850422490986
"Chromohalobacter salexigens",0.516244038937192,0.866292475956377,0.540071881213929,0.857334149073202
"Chryseobacterium gleum",0.44507987014128,0.822676335450326,0.466935097467312,0.829251690458807
"Chryseobacterium meningosepticum",0.454547041451423,0.820270854293284,0.454302170963213,0.812316242318676
"Citrobacter youngae",0.508023203586795,0.857327453941742,0.515159759969775,0.840418388341892
"Citromicrobium bathyomarinum",0.478061545422867,0.828709936221598,0.543452861896229,0.852032136649915
"Clavibacter michiganensis",0.465495996901447,0.836935914834565,0.501920910073452,0.845692420852362
"Clostridia sp. BVAB2",8.42337869507128e-13,5.62999240171896e-11,1.02569025122313e-13,5.84664614191792e-12
"Clostridium aminophilum",0.480636658283392,0.841840922118668,0.5017069649846,0.845170371408302
"Clostridium celatum",0.502575097988565,0.843955481315255,0.521521913916031,0.848978915986299
"Clostridium cellulolyticum",0.481490743316574,0.830803517205499,0.490873470550029,0.830212052699606
"Clostridium colicanis",0.454234833378075,0.826910908416024,0.465961828876485,0.832299090939861
"Clostridium drakei",0.476373368864053,0.831891060638586,0.513938751306225,0.823788867734868
"Clostridium genomosp. BVAB3",0.00316066466225643,0.0539410985716734,2.989740500892e-06,8.69810376463881e-05
"Clostridium hylemonae",0.486363951025113,0.842556667406236,0.492400815782094,0.847369994450786
"Clostridium leptum",0.516123216824984,0.841873453865337,0.516769353734235,0.826368354476794
"Clostridium methylpentosum",0.504050261905113,0.846727958407878,0.52095986881392,0.861140711102284
"Clostridium nexile",0.49826358934903,0.854475136712371,0.50470694436796,0.839899993910718
"Clostridium papyrosolvens",0.520875218303741,0.855706766103719,0.533132952022369,0.857571242154122
"Clostridium saccharoperbutylacetonicum",1.26811105706271e-10,5.76107762192904e-09,4.68465793463108e-08,1.43261725771221e-06
"Clostridium scindens",0.479296045932546,0.838521998603155,0.490541743947612,0.843243659113384
"Clostridium stercorarium subsp. stercorarium",0.439517867869269,0.818900437631437,0.457511517046725,0.823902771503155
"Clostridium symbiosum",0.506456235096698,0.854574941835304,0.509531306591137,0.830863012798457
"Clostridium termitidis",0.467873908366558,0.822766608763235,0.482449448647411,0.820095857650824
"Collinsella aerofaciens",0.481743457361146,0.847490729994141,0.502310358196052,0.850148475563197
"Collinsella intestinalis",0.53299339657178,0.853075981180396,0.516823520762671,0.840410155045928
"Comamonas terrigena",0.442444718027653,0.818307468579356,0.47567058962,0.828779159624522
"Conexibacter woesei",0.487663914682293,0.850949346984028,0.520170872325608,0.866193327030413
"Coprococcus catus",0.466579058626216,0.826547611326055,0.453493321410743,0.814914665489968
"Coprococcus eutactus",0.514020937524513,0.845775422494437,0.557649206708297,0.858847339867784
"Corynebacterium accolens",0.111342840988638,0.467747784447927,0.14399622547279,0.473173943387825
"Corynebacterium amycolatum",0.493197567832936,0.841332125786155,0.52015647352996,0.843384196589342
"Corynebacterium casei",0.484723624960096,0.828319987600785,0.493587275235601,0.835339724801661
"Corynebacterium cystitidis",0.499909007415102,0.853476956846729,0.507256586945109,0.870045704952268
"Corynebacterium flavescens",0.414294263448846,0.804886742030586,0.41541566957839,0.789254515402694
"Corynebacterium genitalium",0.46614707880376,0.833368530269099,0.503573699694554,0.844717066455382
"Corynebacterium glucuronolyticum",0.512704714819189,0.850300292391625,0.49995012351614,0.858784275116656
"Corynebacterium halotolerans",0.495543127795691,0.846996819613423,0.514659035885983,0.851797961039221
"Corynebacterium jeikeium",0.508332135397776,0.864073036493226,0.510294146115104,0.861770029444726
"Corynebacterium kroppenstedtii",0.505133402749817,0.841518163865114,0.512825137085436,0.843299107820376
"Corynebacterium lipophiloflavum",0.470391801909565,0.824767509581267,0.497904337330407,0.838786693424005
"Corynebacterium resistens",0.481016416260784,0.840974240448943,0.471518305094774,0.839468696703277
"Corynebacterium simulans",0.47176490320353,0.833237177296859,0.485203221607795,0.843117705507931
"Corynebacterium striatum",0.483526500634638,0.850268644086235,0.514316411528926,0.843710085608353
"Corynebacterium tuberculostearicum",0.503789655452546,0.84992997265917,0.480535985385294,0.821370925247863
