"","kw.ep","kw.eBH","glm.ep","glm.eBH"
"Acetonema longum",0.498018390467892,0.858532321125895,0.546005874745101,0.92511073509955
"Acidaminococcus fermentans",0.189862222475756,0.643667722253829,0.223842155139917,0.679496688325108
"Acidaminococcus intestini",0.447954681778524,0.832342717589301,0.473408367369175,0.832004845373375
"Acidovorax avenae",0.489622657009151,0.852058542630336,0.514556696711069,0.895148641125153
"Acidovorax ebreus",0.44188012532255,0.835096702855587,0.490796125252082,0.85450639794428
"Acinetobacter bereziniae",0.458349212315169,0.836798383424425,0.491832040550185,0.866294460584765
"Acinetobacter calcoaceticus",0.499656089036366,0.860304876515216,0.561479530330394,0.935317525215557
"Acinetobacter johnsonii",0.540112291307939,0.863705433103237,0.577680924018055,0.920864447461486
"Acinetobacter junii",0.493386250767226,0.856459901588629,0.550105418166332,0.905419740392541
"Acinetobacter lwoffii",0.493662974918859,0.857685840432269,0.541308522183111,0.904342743434402
"Acinetobacter parvus",0.505275860124649,0.863222471767167,0.526834067433531,0.87956784280945
"Acinetobacter pittii",0.490896560431839,0.852588681392608,0.525779889006121,0.886201912349082
"Actinobacillus minor",0.474672412829013,0.852652849209269,0.53148673461799,0.904544616694091
"Actinobacillus pleuropneumoniae",0.489588532891559,0.846761775419677,0.534755940296748,0.894511911136388
"Actinobacteria sp.",0.0120095747516641,0.185982293499678,0.00189455834544644,0.0299529241342321
"Actinobaculum massiliae",0.484182752904003,0.851582921591258,0.53426322523162,0.907904404344973
"Actinomyces neuii",0.52409570559698,0.859596496410875,0.601966327023292,0.931940194109846
"Actinomyces neuii subsp. anitratus",0.474255395581244,0.841615287654924,0.514899451928784,0.896777148303836
"Actinomyces odontolyticus",0.498697827288686,0.852575718370505,0.504014584947964,0.874877898025174
"Actinomyces turicensis",0.48359812088355,0.852443580830112,0.539337940074899,0.914581301246273
"Aerococcus urinae",0.0613799204901069,0.503260075770354,0.121537362998335,0.617566022955272
"Aerococcus viridans",0.493277020685676,0.862498398391772,0.53149037830299,0.923715472035557
"Aeromicrobium marinum",0.502562885157642,0.862907698302995,0.518844557192395,0.88541466565111
"Afipia clevelandensis",0.464271395811918,0.840456945085772,0.524567476877977,0.885058733914194
"Agrobacterium radiobacter",0.486260187749431,0.85304665404389,0.527872509031034,0.903675415240874
"Agrobacterium tumefaciens",0.450036187460376,0.833921003784711,0.510525780889857,0.914580678714403
"Agromonas oligotrophica",0.476354820867481,0.849881575298857,0.539486841142984,0.903973996916424
"Akkermansia muciniphila",0.529042296241628,0.863659073504779,0.558320716784362,0.924221267564876
"Alcaligenes faecalis",0.466224454502377,0.849425215007352,0.502750409736603,0.900934731963342
"Alicyclobacillus acidocaldarius",0.444128917319017,0.842160938869787,0.501722313931103,0.886988371303856
"Alistipes indistinctus",0.498641319378482,0.855507069479142,0.585901420798585,0.908296500591988
"Alistipes shahii",0.455856094510353,0.843044076811865,0.493716781609794,0.887860701935843
"Alistipes sp.",0.478442681924932,0.854966886884284,0.549154002191632,0.911432497213392
"Alloscardovia omnicolens",0.563349902645856,0.874950812938138,0.605339018318832,0.903926030715815
"amorphae DSM",0.429069435248716,0.829196463399792,0.46003570271709,0.858448901401758
"Amphibacillus xylanus",0.419994545947709,0.817710534540113,0.44601092584353,0.851885655460673
"Anaerococcus hydrogenalis",0.482202218828513,0.846231153744835,0.531256712086784,0.877221750288428
"Anaerococcus lactolyticus",0.473941900518776,0.848962674782169,0.503504137270265,0.897682459377664
"Anaerococcus prevotii",0.474802581612433,0.847269714801302,0.513323207557202,0.90819052814008
"Anaerococcus tetradius",0.514716474371234,0.862485951384393,0.557518350956006,0.910448846963042
"Anaerococcus vaginalis",0.469993037047039,0.844172067554251,0.508947191431213,0.906388352646334
"Anaeroglobus geminatus",0.48449849107885,0.844654077063259,0.447455723513893,0.866946023604953
"Anaerotruncus colihominis",0.391974797547237,0.811871923168027,0.450280831445935,0.860750580031568
"Aneurinibacillus aneurinolyticus",0.480716617641965,0.858678153066565,0.5049174321016,0.905848313787107
"Anoxybacillus flavithermus",0.490830009578306,0.850229397342627,0.545647692794829,0.907155686276548
"Arcanobacterium haemolyticum",0.485748035729317,0.849911626525024,0.535424169083498,0.922627374495863
"Arcanobacterium pyogenes",0.4721083887307,0.830464570977321,0.502337215924179,0.881368135252021
"Arthrobacter aurescens",0.470379601371251,0.837016782767378,0.521222114401561,0.885931862877977
"Arthrobacter chlorophenolicus",0.471565765151218,0.852451048360568,0.503345598801338,0.906772849339507
"Arthrobacter gangotriensis",0.442532365127788,0.841339951684218,0.511976458016768,0.885655875577462
"Arthrobacter globiformis",0.438669786396059,0.826737925396847,0.491429219488819,0.893827393871206
"Arthrobacter phenanthrenivorans",0.432463899487987,0.831063434533611,0.486491742387734,0.901556723580022
"Aspergillus niger",0.527036567087246,0.861246804447587,0.548447626637098,0.911052098200904
"Asticcacaulis excentricus",0.459859472883089,0.843661315577258,0.519358652644661,0.907342902301796
