"","kw.ep","kw.eBH","glm.ep","glm.eBH"
"Acetonema longum",0.53622819922294,0.887259434016847,0.540396302447349,0.881846942690208
"Acidaminococcus fermentans",0.252729372469206,0.737722388004757,0.284974019744488,0.765228556019714
"Acidaminococcus intestini",0.506843707241998,0.881109402198462,0.516168830685175,0.903530630719121
"Acidovorax avenae",0.495580818177279,0.870348820318473,0.50599891069828,0.885678283809826
"Acidovorax ebreus",0.439610733235807,0.848373661225511,0.45520300708865,0.861581807192026
"Acinetobacter bereziniae",0.477714871794888,0.864928583720779,0.506463481544217,0.865196243068733
"Acinetobacter calcoaceticus",0.489975091056476,0.870076748675981,0.51347804929662,0.887158693173671
"Acinetobacter johnsonii",0.492819527637443,0.867508355846077,0.510752724888753,0.89758270151116
"Acinetobacter junii",0.43888773886253,0.853403791142011,0.486964965372062,0.883663978019638
"Acinetobacter lwoffii",0.495752310082934,0.87788012499242,0.502657617082484,0.892264708609495
"Acinetobacter parvus",0.50972287946824,0.88254949094991,0.529900414990398,0.887928731383405
"Acinetobacter pittii",0.498911714461333,0.883728137704287,0.515135286763077,0.917784563388895
"Actinobacillus minor",0.505217622599761,0.867881137785452,0.523423464721118,0.881140954085716
"Actinobacillus pleuropneumoniae",0.484232064238468,0.877681971529444,0.533151494194072,0.91890595795619
"Actinobacteria sp.",0.0247841692127284,0.299344119403677,0.00189231149067271,0.047919402812437
"Actinobaculum massiliae",0.426155985118962,0.844124529094774,0.444409274093404,0.849567816384573
"Actinomyces neuii",0.422675085936641,0.842412175460417,0.418729915379848,0.869211609449026
"Actinomyces neuii subsp. anitratus",0.44768785179599,0.855359476710169,0.488857106760733,0.890391850309963
"Actinomyces odontolyticus",0.455570606151585,0.855919769877766,0.476604299515258,0.893379735730399
"Actinomyces turicensis",0.377861182086075,0.843326587881502,0.208682813279946,0.740391223193017
"Aerococcus urinae",0.0972988000536482,0.567857498648303,0.135397444042105,0.612624932068887
"Aerococcus viridans",0.52007791738178,0.871691791436537,0.526977516181133,0.897771690186477
"Aeromicrobium marinum",0.4883538848298,0.869452383761936,0.509741263989814,0.885032397748817
"Afipia clevelandensis",0.507975704618858,0.877144094556792,0.543997099071791,0.899950383967565
"Agrobacterium radiobacter",0.440515404107464,0.855127218277538,0.46986472551572,0.878364721123176
"Agrobacterium tumefaciens",0.421935267131482,0.849650817996289,0.441026393739872,0.867692249006399
"Agromonas oligotrophica",0.508294207901788,0.876198194196194,0.529333877313578,0.900721157312962
"Akkermansia muciniphila",0.488934279509197,0.872194544988699,0.535740653375329,0.898243474875708
"Alcaligenes faecalis",0.528798521064323,0.888927074851934,0.543126435625935,0.905892800570708
"Alicyclobacillus acidocaldarius",0.487333755611982,0.859592947259135,0.505690698386212,0.876135727049054
