"","kw.ep","kw.eBH","glm.ep","glm.eBH"
"Acetonema longum",0.471020258855932,0.83603432372584,0.495882764124181,0.849256057639235
"Acidaminococcus fermentans",0.43080252353827,0.833230232756349,0.455732212045597,0.822678314487515
"Acidaminococcus intestini",0.56976386204164,0.891162171000696,0.602107842331942,0.89653538135036
"Acidovorax avenae",0.457313012619144,0.852637789161251,0.505084451278614,0.840203940461146
"Acidovorax ebreus",0.503090915572194,0.865266450045126,0.541030145742923,0.860756965530653
"Acinetobacter bereziniae",0.509152252316992,0.867517695955983,0.493234964144749,0.835059136214849
"Acinetobacter calcoaceticus",0.522118886355188,0.87518069629119,0.59030337585723,0.896471100290894
"Acinetobacter johnsonii",0.453573467645385,0.847507721797089,0.472638689567475,0.836728593595541
"Acinetobacter junii",0.468547913298456,0.85590645743369,0.478384533281298,0.823988360260834
"Acinetobacter lwoffii",0.493713882101746,0.858897935681736,0.493935712734952,0.836829128912474
"Acinetobacter parvus",0.504258254959384,0.867656139150115,0.505820753642167,0.842431316384327
"Acinetobacter pittii",0.49346299584823,0.844689432272508,0.501508079025551,0.821520185299434
"Actinobacillus minor",0.489786093055971,0.857445787383415,0.495412748088977,0.832712555233527
"Actinobacillus pleuropneumoniae",0.521655324370526,0.876094865562539,0.55124653007685,0.873298440956764
"Actinobacteria sp.",0.320875910077012,0.749841262731462,0.157250648166559,0.47515441317656
"Actinobaculum massiliae",0.468175591659187,0.862504703179554,0.492074897811169,0.857749828142172
"Actinomyces neuii",0.406838592994262,0.828165191232048,0.561109660987719,0.898452738024044
"Actinomyces neuii subsp. anitratus",0.523580771393698,0.866510288134892,0.533825722768916,0.860176751546284
"Actinomyces odontolyticus",0.520588684289524,0.871471439965225,0.532134960355032,0.862833166351091
"Actinomyces turicensis",0.397218047577222,0.815653476621701,0.440685079753804,0.827496348670927
"Aerococcus urinae",0.0434510236872177,0.314038354499225,0.038641485756145,0.213787496170375
"Aerococcus viridans",0.505668934658313,0.864838104837951,0.531065720849543,0.868030843485362
"Aeromicrobium marinum",0.49821575476204,0.858896331776611,0.487930456484442,0.814827263879762
"Afipia clevelandensis",0.460334690889595,0.85421453356657,0.479464980847618,0.835074734122296
"Agrobacterium radiobacter",0.478644787085741,0.857854309935586,0.500570538493525,0.82635529638177
"Agrobacterium tumefaciens",0.528073597791338,0.871037885582199,0.553591457868512,0.882955277821415
"Agromonas oligotrophica",0.4571273664927,0.848546802361278,0.470317298573206,0.810186784079208
"Akkermansia muciniphila",0.516501326125982,0.864718749908727,0.523863280840937,0.841096984272735
"Alcaligenes faecalis",0.513515110240231,0.878077790749421,0.518239603417607,0.860737820491536
