"","kw.ep","kw.eBH","glm.ep","glm.eBH"
"Acetonema longum",0.504644908495361,0.869835641434109,0.495711373639967,0.880523839116119
"Acidaminococcus fermentans",0.0802822204176178,0.441993486292627,0.114791855332207,0.526445731465643
"Acidaminococcus intestini",0.476282112241368,0.854023870721988,0.485583536323332,0.873439460770822
"Acidovorax avenae",0.507195942213352,0.852641951924863,0.486523463838347,0.857899225083778
"Acidovorax ebreus",0.469155162454888,0.838464048685789,0.500240633927452,0.861598616021062
"Acinetobacter bereziniae",0.535008754645326,0.878403710010164,0.549709434177197,0.890176633572866
"Acinetobacter calcoaceticus",0.491960616984586,0.864857075724945,0.525875000241747,0.879741369344831
"Acinetobacter johnsonii",0.493693190982343,0.832547133737663,0.508810044630907,0.860063550358267
"Acinetobacter junii",0.474216131570178,0.833749851458833,0.486245314570927,0.854404819099121
"Acinetobacter lwoffii",0.487210324725242,0.851825899835728,0.477294430518427,0.864852340711074
"Acinetobacter parvus",0.45177825012969,0.838426748499233,0.466511572431895,0.858282213677919
"Acinetobacter pittii",0.444872791795573,0.830163997913042,0.460973950689527,0.848937079219878
"Actinobacillus minor",0.485722806045395,0.857507397476638,0.466828462546724,0.873950957415937
"Actinobacillus pleuropneumoniae",0.528189077328595,0.877843900862961,0.522793370621694,0.885983028728803
"Actinobacteria sp.",0.0059532623482321,0.11406110447898,2.52143820116189e-05,0.00206121368392492
"Actinobaculum massiliae",0.479464773346095,0.84540552102679,0.476636025258498,0.853345046941283
"Actinomyces neuii",0.65575092392252,0.928174067314235,0.620202134598551,0.921679799269562
"Actinomyces neuii subsp. anitratus",0.468827154385256,0.830487477857362,0.459568972283249,0.842608872951621
"Actinomyces odontolyticus",0.517334486419848,0.867108159986283,0.498063012577998,0.867832577667883
"Actinomyces turicensis",0.461802015522603,0.844105825308261,0.462345503279305,0.858261358828981
"Aerococcus urinae",0.0245097606279662,0.2669946278664,0.0377956851590433,0.369336441601027
"Aerococcus viridans",0.524559885562765,0.868205531745656,0.513977696833227,0.867829924349309
"Aeromicrobium marinum",0.496674358389288,0.855610755794273,0.486582941025252,0.867018163808983
"Afipia clevelandensis",0.542123514141911,0.88657893342381,0.537558054834333,0.894992757033422
"Agrobacterium radiobacter",0.483296796093159,0.841720243447055,0.500844117000245,0.864370086123132
"Agrobacterium tumefaciens",0.465974504524571,0.828483832519744,0.483875732599753,0.842114140952708
"Agromonas oligotrophica",0.492807762808394,0.865022151489317,0.492461284741105,0.870110250540918
"Akkermansia muciniphila",0.488050184337869,0.841008027792688,0.479233322480964,0.852927165081167
"Alcaligenes faecalis",0.517754677216457,0.872569505593177,0.53375206340669,0.888800029939874
"Alicyclobacillus acidocaldarius",0.478659205240513,0.850465689528165,0.4925915560104,0.868646495646364
"Alistipes indistinctus",0.513337160488575,0.852051576097546,0.509668436229263,0.861411334643469
"Alistipes shahii",0.462269423793287,0.851108253917346,0.485245903846423,0.864529138320693
"Alistipes sp.",0.547149990570595,0.87719063959993,0.560108052600568,0.89658655347927
"Alloscardovia omnicolens",0.253198545771343,0.698018695346621,0.337562939274627,0.785004880946198
"amorphae DSM",0.549336839110801,0.878744532060063,0.558623145825776,0.885312491095692
"Amphibacillus xylanus",0.507776423997711,0.854319904853583,0.500343401759468,0.854358614840117
"Anaerococcus hydrogenalis",0.540084817152581,0.878166004898897,0.520761102860823,0.887763894065045
"Anaerococcus lactolyticus",0.521445067181818,0.867146025894622,0.541638886511057,0.877394254772922
"Anaerococcus prevotii",0.486020603748079,0.854750267684417,0.48255850085871,0.856796400800158
"Anaerococcus tetradius",0.505829143446859,0.869985440960492,0.525908133000021,0.889220935480425
"Anaerococcus vaginalis",0.498453433360237,0.859037544167015,0.53302137298567,0.879657822843382
"Anaeroglobus geminatus",0.449550252915719,0.839147080559579,0.425788091230508,0.828087700787129
"Anaerotruncus colihominis",0.361613432587908,0.767507980860789,0.342488998891221,0.766807600812693
"Aneurinibacillus aneurinolyticus",0.46442170006973,0.854395681244865,0.491662377518602,0.852529065682934
"Anoxybacillus flavithermus",0.477174604184469,0.837784435786549,0.470165520384361,0.847410640538916
"Arcanobacterium haemolyticum",0.505454588099933,0.863810245669816,0.502733526575508,0.875775096337569
"Arcanobacterium pyogenes",0.486962708243852,0.850354507841748,0.495673368412722,0.860139373485794
"Arthrobacter aurescens",0.505802778912454,0.859392561998632,0.50571868004335,0.867166922957135
"Arthrobacter chlorophenolicus",0.501906250942336,0.859714498144718,0.513329649426441,0.873722150750531
"Arthrobacter gangotriensis",0.52521439227546,0.875039250211765,0.535896434880104,0.88727880968856
"Arthrobacter globiformis",0.44865564427504,0.839182378043426,0.467382525905327,0.855070598780288
