"","kw.ep","kw.eBH","glm.ep","glm.eBH"
"Acetonema longum",0.486328005118486,0.852108774418893,0.546672922184069,0.908956768862286
"Acidaminococcus fermentans",0.17102928588494,0.613160117567499,0.244016082113108,0.651245585729257
"Acidaminococcus intestini",0.454476242389118,0.847769982294448,0.502381041605821,0.906710335697709
"Acidovorax avenae",0.511696000799116,0.856095455873153,0.582444728944366,0.907960535436409
"Acidovorax ebreus",0.434785368771078,0.834848001167196,0.490841706176226,0.866521176898633
"Acinetobacter bereziniae",0.510841458593035,0.857181587202711,0.565058730604406,0.916358779215327
"Acinetobacter calcoaceticus",0.484415342891013,0.852178298797758,0.53874231979328,0.912794846069669
"Acinetobacter johnsonii",0.485474530580914,0.85189432594027,0.534050608486165,0.925624342449239
"Acinetobacter junii",0.288476344564682,0.808935861776324,0.394838878038073,0.920016377102571
"Acinetobacter lwoffii",0.506523302328473,0.853000885749068,0.561375691264322,0.905675535963552
"Acinetobacter parvus",0.435779148881504,0.827755019968977,0.475736068599687,0.856765009605206
"Acinetobacter pittii",0.487454714856187,0.851660068494291,0.543977254204543,0.902717377925611
"Actinobacillus minor",0.509455570301132,0.853704936977681,0.524069342208584,0.883702693698468
"Actinobacillus pleuropneumoniae",0.454301195960886,0.838629935418472,0.499326689873648,0.851996019506716
"Actinobacteria sp.",0.00285634146301139,0.085938405212715,7.54793127493628e-05,0.00275180199035473
"Actinobaculum massiliae",0.498832993407824,0.854807898514028,0.553825602864369,0.90875169213072
"Actinomyces neuii",0.575406082731728,0.873290029240332,0.64102764970172,0.950183363164299
"Actinomyces neuii subsp. anitratus",0.447769623628752,0.842265791045187,0.521321950666729,0.925548286568212
"Actinomyces odontolyticus",0.467570857591718,0.846549713650322,0.510094107600708,0.895261099096222
"Actinomyces turicensis",0.524475844479934,0.861057730038992,0.58643819562481,0.933602075883993
"Aerococcus urinae",0.0400098498072215,0.4222479771105,0.0864748072459229,0.441516340086239
"Aerococcus viridans",0.487722255673256,0.846169120112778,0.522175487060107,0.858943087785861
"Aeromicrobium marinum",0.500097110926299,0.85264272187892,0.543329677570276,0.896337782699284
"Afipia clevelandensis",0.485492293076977,0.853864876919404,0.576103732950187,0.945010955755772
