"","kw.ep","kw.eBH","glm.ep","glm.eBH"
"Acetonema longum",0.498310905293928,0.872856445779822,0.460322334299268,0.868822724902213
"Acidaminococcus fermentans",0.150980476809865,0.585722201504588,0.178794055894966,0.642051147488466
"Acidaminococcus intestini",0.480932459148509,0.863739514279371,0.493402971690433,0.86242296436512
"Acidovorax avenae",0.445249195857811,0.84641714881523,0.447311617917356,0.869650367976871
"Acidovorax ebreus",0.392423669155136,0.79146542370204,0.395406250304511,0.808552234316357
"Acinetobacter bereziniae",0.524497970889991,0.87424059937095,0.505041460376344,0.883997739132903
"Acinetobacter calcoaceticus",0.490508171710044,0.864755124462002,0.491338828519604,0.87206035412441
"Acinetobacter johnsonii",0.443763815188009,0.84555161572042,0.48479599936508,0.876794268001382
"Acinetobacter junii",0.474370179852609,0.859990925757276,0.499350515525855,0.865664634302384
"Acinetobacter lwoffii",0.532814003668056,0.879393350584469,0.523276738430251,0.889410312317227
"Acinetobacter parvus",0.52945841325998,0.870800363196954,0.509094886439902,0.877598897701264
"Acinetobacter pittii",0.470653797740949,0.851453806111935,0.50561248242181,0.88303522343706
"Actinobacillus minor",0.532846251107956,0.884418521704657,0.535554035980431,0.894773460334317
"Actinobacillus pleuropneumoniae",0.517103675783903,0.879944539719614,0.534757736849805,0.891292394002791
"Actinobacteria sp.",0.00913308841309773,0.153391164712166,0.000312113167958811,0.0185237658847615
"Actinobaculum massiliae",0.535535663217283,0.882509800671295,0.502100467130745,0.887509655244561
"Actinomyces neuii",0.481286464245592,0.87080557046327,0.489682730759596,0.879391194565081
"Actinomyces neuii subsp. anitratus",0.444387163328987,0.823883541963432,0.458929243284168,0.866730408759937
"Actinomyces odontolyticus",0.496409440286234,0.869355034368549,0.486627156617645,0.885432445212909
"Actinomyces turicensis",0.521513106482931,0.867558583347918,0.534843284738868,0.872114594767879
"Aerococcus urinae",0.151063404380425,0.616395256968921,0.188013688874464,0.688947459147046
"Aerococcus viridans",0.467338832632537,0.852130468757898,0.459792441252514,0.854995258479765
"Aeromicrobium marinum",0.522571893337796,0.876619736931158,0.512056490161671,0.88206799802557
"Afipia clevelandensis",0.49918701899881,0.879792215088539,0.505989035739975,0.881503956295532
"Agrobacterium radiobacter",0.533138173336412,0.885066301797693,0.533416925948561,0.890304714300005
"Agrobacterium tumefaciens",0.433253153711207,0.846903122675112,0.447763965199594,0.873588330896666
"Agromonas oligotrophica",0.51827761503568,0.876993100124051,0.517486009844497,0.89120942993722
"Akkermansia muciniphila",0.463830894929628,0.839267185923996,0.43697431424058,0.845355003692935
"Alcaligenes faecalis",0.497517040819188,0.871735707442899,0.522729276827446,0.888116480253828
"Alicyclobacillus acidocaldarius",0.515132391398732,0.869074199418926,0.507076314361958,0.870438328521913
"Alistipes indistinctus",0.494616728073949,0.863055335797535,0.502900200477706,0.882301900000094
"Alistipes shahii",0.538826080720867,0.893414359819906,0.529537275449631,0.895402229082225
"Alistipes sp.",0.501482407089691,0.870187733081638,0.533984542009835,0.888177647661662
"Alloscardovia omnicolens",0.470858549813717,0.872199190127731,0.535338602719646,0.915356839570344
"amorphae DSM",0.533800837441465,0.868683021916618,0.518811284321407,0.87457070560481
"Amphibacillus xylanus",0.475263307042136,0.858040541868183,0.495149474480383,0.873659569557442
"Anaerococcus hydrogenalis",0.460644417738296,0.857235076491785,0.471070465405577,0.867345912112756
"Anaerococcus lactolyticus",0.482807132786757,0.864768517267029,0.510432072513235,0.874951341310718
"Anaerococcus prevotii",0.473268504701969,0.858674358809014,0.451952923477758,0.856387835965781
"Anaerococcus tetradius",0.478295164451857,0.852619465229009,0.489713245017881,0.868151798939471
"Anaerococcus vaginalis",0.494091981003821,0.870601584162119,0.493432416273216,0.88055929589174
"Anaeroglobus geminatus",0.528506836902967,0.88745612758533,0.506724153147554,0.884884192330844
"Anaerotruncus colihominis",0.48634680828164,0.863989594203932,0.538347043434935,0.893690667475943
"Aneurinibacillus aneurinolyticus",0.513641688925659,0.871353537783926,0.5142448568623,0.888667096882697
"Anoxybacillus flavithermus",0.525317301742237,0.863515446177818,0.522435164228484,0.866191232818994
"Arcanobacterium haemolyticum",0.485585039009156,0.862353458943491,0.504378216234843,0.869533675533069
"Arcanobacterium pyogenes",0.494209683865659,0.874020699477467,0.503242155325513,0.876923986333294
"Arthrobacter aurescens",0.505292884677654,0.859552282686639,0.519978897797668,0.874778593036124
"Arthrobacter chlorophenolicus",0.541680385254054,0.876343221134791,0.527171482582717,0.893942381335951
"Arthrobacter gangotriensis",0.510795816487489,0.865302122113473,0.503206761823984,0.861877255289256
"Arthrobacter globiformis",0.538964093139803,0.887711204559027,0.554204095165124,0.892080567609869
"Arthrobacter phenanthrenivorans",0.492959806552226,0.86196723914971,0.515492118540836,0.873277675264098
"Aspergillus niger",0.472822250778768,0.865429069044732,0.492061433207516,0.872710779933022
"Asticcacaulis excentricus",0.508614565585028,0.880129073135455,0.528727618255162,0.898877872920582
"Atopobium minutum",0.508203358674831,0.876653485745636,0.513553553272509,0.87988853829846
"Atopobium parvulum",0.480761957314364,0.851337351062276,0.507426057129115,0.866392207924616
"Atopobium vaginae",0.0249821126904516,0.367028372559932,0.120332303429897,0.666027291518582
"Atopostipes suicloacalis",0.496090326548987,0.865874352753446,0.49639215262666,0.874257222053136
"Atopostipes suicloacalis ",0.477585003764718,0.858968032202451,0.453216808362353,0.865577058867263
"Azospirillum canadense",0.484637845180514,0.862944762059215,0.470270154640615,0.864757894777065
"Bacillus bataviensis",0.477987960490676,0.865522137934395,0.505250343305968,0.895003105662075
"Bacillus lentus",0.529047495407456,0.880274149292583,0.52452366930117,0.89486987793901
"Bacillus marinus",0.467269474830768,0.872930331839659,0.483797872316594,0.893081212361951
"Bacillus megaterium",0.523211064530089,0.88192976085412,0.528260742366462,0.896337997245603
"Bacillus mojavensis",0.497528283833688,0.873321194765884,0.497114207234239,0.88549245501353
"Bacillus pseudofirmus",0.472907144723638,0.855882055520966,0.476235897986576,0.87134224114292
"Bacillus psychrosaccharolyticus",0.450119357550583,0.841533321302852,0.461927745704246,0.868761379443933
"Bacillus stratosphericus",0.451256418795702,0.843090454273621,0.433959248079718,0.860340294080226
"Bacteroides cellulosilyticus",0.478070751527443,0.870655439684499,0.477834687163643,0.873671703079252
"Bacteroides clarus",0.487444030338181,0.866435980666511,0.502282431358046,0.880011219503327
"Bacteroides coagulans",0.492772058439784,0.866213064717935,0.495803687698229,0.872034495653127
"Bacteroides eggerthii",0.556075005250886,0.885388666272808,0.525756808778718,0.891485207054257
"Bacteroides pectinophilus",0.421444491750134,0.824112505732611,0.448196089610946,0.83852502020491
"Bacteroides salyersiae",0.542240078328737,0.877117960822792,0.549643824586689,0.890241286486044
"Bacteroides suis",0.490233869188887,0.854334814601479,0.477621832902644,0.861753712780542
"Bacteroides ureolyticus",0.521141033122251,0.885797180955421,0.509543864733582,0.898034140475627
"Bacteroides vulgatus",0.530177320321452,0.889072154171386,0.555335245807962,0.917311062939491
"Barnesiella intestinihominis",0.395292570007023,0.815127801089989,0.401314134147636,0.823455542227192
