"","kw.ep","kw.eBH","glm.ep","glm.eBH"
"Acetonema longum",0.471287816872649,0.87617301964483,0.491036224842933,0.905580867086146
"Acidaminococcus fermentans",0.2098271130823,0.69521634991676,0.218926652157158,0.738605872988563
"Acidaminococcus intestini",0.493001027038017,0.872681406072479,0.518225300306172,0.88899812494806
"Acidovorax avenae",0.488625926369367,0.875749439215869,0.503724249208491,0.910739574607779
"Acidovorax ebreus",0.466679278402182,0.851890723638834,0.522923812409374,0.881767427470198
"Acinetobacter bereziniae",0.473607907315587,0.872506605648352,0.480224180367526,0.907318385011507
"Acinetobacter calcoaceticus",0.46308881958909,0.855411197788998,0.471470039052952,0.898499707344247
"Acinetobacter johnsonii",0.459113504568132,0.875048087523667,0.480121070200322,0.890365207959521
"Acinetobacter junii",0.53586980916581,0.887766802626166,0.567821281571325,0.906899077894276
"Acinetobacter lwoffii",0.447916966383435,0.858030185833838,0.469866038422315,0.881803904618323
"Acinetobacter parvus",0.458274840002625,0.863995314737725,0.452697966785773,0.85938446686909
"Acinetobacter pittii",0.521110934716594,0.890212903596278,0.532649735280817,0.904257600777848
"Actinobacillus minor",0.524049035187381,0.895739950079526,0.542369483945567,0.905077240389745
"Actinobacillus pleuropneumoniae",0.501379778820819,0.870821982881425,0.496043766689942,0.890167757035849
"Actinobacteria sp.",0.0669416590733378,0.444259724790953,0.0376513968907053,0.337004204809623
"Actinobaculum massiliae",0.508057220349741,0.886690049596758,0.505768657519798,0.909081565059049
"Actinomyces neuii",0.551255242097387,0.904780029679652,0.564893502325863,0.936296894390355
"Actinomyces neuii subsp. anitratus",0.494931518469436,0.865532118727597,0.495037324603398,0.875529135878026
"Actinomyces odontolyticus",0.497789048140676,0.875467138232361,0.515005833201075,0.90974484995995
"Actinomyces turicensis",0.434650224741721,0.846197031441591,0.47191752513437,0.888091079774807
"Aerococcus urinae",0.072393809382827,0.531269715960211,0.0794538321858369,0.560868621943686
"Aerococcus viridans",0.487578490430995,0.866580375976116,0.490493054663332,0.89149418584032
"Aeromicrobium marinum",0.51261024852798,0.891832968403116,0.504721964466339,0.907551340095724
"Afipia clevelandensis",0.540174240986214,0.89118383361384,0.546255058015834,0.899232848810333
"Agrobacterium radiobacter",0.437923104082314,0.852482172964627,0.46152354032046,0.887223138396607
"Agrobacterium tumefaciens",0.476861491453737,0.862029271983685,0.483100286704024,0.895976526757572
"Agromonas oligotrophica",0.49740960698454,0.884565197829607,0.532077406340105,0.908064371737238
"Akkermansia muciniphila",0.534006030574078,0.887986976796831,0.541529322552268,0.913272795669268
"Alcaligenes faecalis",0.52673794877633,0.890533115992468,0.532947615104076,0.915226842688993
"Alicyclobacillus acidocaldarius",0.46743894825911,0.867679141673418,0.470718667035219,0.8869345977748
"Alistipes indistinctus",0.476219875515592,0.880401162035513,0.533271735538045,0.908124824519437
"Alistipes shahii",0.484755239220323,0.873662688968092,0.499180389451869,0.890749709763322
"Alistipes sp.",0.492241338123624,0.867748380456941,0.508068586996861,0.896757353572395
"Alloscardovia omnicolens",0.605203255550614,0.923843996672364,0.633769833716549,0.94550185394474
"amorphae DSM",0.43862170892475,0.852017769492463,0.456559792342277,0.866553348057568
