"","kw.ep","kw.eBH","glm.ep","glm.eBH"
"Acetonema longum",0.463857662634931,0.845398578152857,0.489903940246524,0.863473791467091
"Acidaminococcus fermentans",0.23745333443349,0.683917007645974,0.257201444423505,0.739546291385381
"Acidaminococcus intestini",0.507732149360846,0.866222023826514,0.520164369038182,0.877015475250773
"Acidovorax avenae",0.496617472696868,0.856186938792605,0.527060675620533,0.890265537887061
"Acidovorax ebreus",0.48399726081353,0.854754304304434,0.548440025507447,0.904786966048072
"Acinetobacter bereziniae",0.464419578171967,0.849961381108086,0.495387367209076,0.898955200721801
"Acinetobacter calcoaceticus",0.471722551436581,0.854314455600704,0.517964816130852,0.912614281732812
"Acinetobacter johnsonii",0.494917138774043,0.863827000878181,0.515213827495657,0.899208588134148
"Acinetobacter junii",0.47995963658183,0.86050137834275,0.515979032236961,0.886877485009467
"Acinetobacter lwoffii",0.440724084078449,0.834175666728838,0.48030914956705,0.888063293730778
"Acinetobacter parvus",0.520388849229351,0.868640893831955,0.529560726501665,0.888905279376238
"Acinetobacter pittii",0.484937978588714,0.866315478834354,0.512785306210207,0.898440957979755
"Actinobacillus minor",0.467345950036784,0.839694013394576,0.490373586821547,0.857406138797815
"Actinobacillus pleuropneumoniae",0.464089886159561,0.853163677775516,0.474893229698514,0.882918685365312
"Actinobacteria sp.",0.0593311985329247,0.413037573894921,0.0383870307235897,0.287122310380215
"Actinobaculum massiliae",0.487129167499153,0.850849324090207,0.50146048118793,0.884574520469478
"Actinomyces neuii",0.546940970950021,0.880142891189137,0.597978525553492,0.926962092404539
"Actinomyces neuii subsp. anitratus",0.449442184353328,0.846707162540762,0.487738396628665,0.896178687672562
"Actinomyces odontolyticus",0.509917005446645,0.868486368306104,0.519044302583942,0.900353889031844
"Actinomyces turicensis",0.31862100036323,0.786352647688338,0.399913293682374,0.869245259516794
"Aerococcus urinae",0.00848370396785497,0.245319794985164,0.00372971534225984,0.106461701690363
"Aerococcus viridans",0.463882523291167,0.845021180622376,0.50738717863467,0.905991021323473
"Aeromicrobium marinum",0.47417494970969,0.846975115963231,0.492467756442093,0.890418171894114
"Afipia clevelandensis",0.501724553536177,0.868673894206933,0.525766624627701,0.90222420119583
"Agrobacterium radiobacter",0.490547909859142,0.85735457839696,0.504330773980917,0.909946144575842
"Agrobacterium tumefaciens",0.485554787171517,0.852924257608389,0.49406761629545,0.882360784345986
"Agromonas oligotrophica",0.450710964187429,0.847650423982612,0.465935771721371,0.877326550020457
"Akkermansia muciniphila",0.459181277361421,0.846524464772506,0.46988517232681,0.871043539267337
"Alcaligenes faecalis",0.486911851884786,0.864212573213575,0.541300995068365,0.922216369905871
"Alicyclobacillus acidocaldarius",0.526946395404516,0.873086498511399,0.541666939787004,0.900385994128696
"Alistipes indistinctus",0.5109403945925,0.870041243860449,0.546097600660606,0.898025107700329
"Alistipes shahii",0.492960245130491,0.86131374318504,0.508407844781082,0.901839686629093
"Alistipes sp.",0.50979240261306,0.860921056320763,0.536472607418117,0.90513310269034
"Alloscardovia omnicolens",0.549688803731294,0.884676933354296,0.575618179675186,0.942107670274453
"amorphae DSM",0.474884915589519,0.850577350839587,0.534778850151701,0.897881084508877
"Amphibacillus xylanus",0.475053406979859,0.854238676287837,0.524464525316752,0.912122470266545
"Anaerococcus hydrogenalis",0.489886653502705,0.855488826664561,0.505884558851559,0.906643446920567
"Anaerococcus lactolyticus",0.49195733459833,0.859258817833181,0.48746944124868,0.892635600783067
"Anaerococcus prevotii",0.473753443688204,0.855710868824998,0.469005098326793,0.886240554981369
"Anaerococcus tetradius",0.426913656083088,0.830960678545599,0.448634762065036,0.903317713637312
"Anaerococcus vaginalis",0.475701730383662,0.860464753856755,0.494980863515129,0.897953229449089
"Anaeroglobus geminatus",0.459453025777349,0.849923554804824,0.473782434563329,0.881778229777753
"Anaerotruncus colihominis",0.518227170082002,0.866861036472955,0.557576036123177,0.909119138893926
"Aneurinibacillus aneurinolyticus",0.488663905770181,0.866849051604783,0.521271873006056,0.918515457506808
"Anoxybacillus flavithermus",0.499362408939908,0.861858650283954,0.503022611201544,0.905416718484712
"Arcanobacterium haemolyticum",0.482526608435307,0.843225261238128,0.473250539527449,0.861023788251737
"Arcanobacterium pyogenes",0.471947076899877,0.854482552900852,0.510043567034862,0.891239297315265
"Arthrobacter aurescens",0.458893794084144,0.849316940326797,0.513432153662781,0.912569868992291
"Arthrobacter chlorophenolicus",0.481461395706603,0.860203029684743,0.504504856819869,0.910103718520756
