"","kw.ep","kw.eBH","glm.ep","glm.eBH"
"Acetonema longum",0.462637360253923,0.854175075200183,0.466190492557871,0.871798581868559
"Acidaminococcus fermentans",0.265491141031477,0.734257339099302,0.283938722952202,0.746695534500528
"Acidaminococcus intestini",0.356844008684071,0.799521402725919,0.269681644950454,0.743639830417221
"Acidovorax avenae",0.490037969343499,0.862131110574009,0.418890724049607,0.855017835917988
"Acidovorax ebreus",0.464237137444883,0.868504998895847,0.422907878664879,0.844488780972085
"Acinetobacter bereziniae",0.498414059812851,0.877843555188845,0.483462818985999,0.870714175307122
"Acinetobacter calcoaceticus",0.522203708379221,0.890448659566038,0.535278138495762,0.896901770657766
"Acinetobacter johnsonii",0.525933584251365,0.888808549079326,0.539046850159977,0.890021315217613
"Acinetobacter junii",0.525893514613634,0.885394223278457,0.548930772787372,0.882045263468785
"Acinetobacter lwoffii",0.488118938148545,0.864979703450341,0.513114449685353,0.880861348563037
"Acinetobacter parvus",0.5114663493337,0.875623467829849,0.519894173598806,0.89330524137858
"Acinetobacter pittii",0.490827920730091,0.870237349684399,0.477327529589198,0.877483420401232
"Actinobacillus minor",0.521709999966356,0.872988612830272,0.522961581127997,0.888038340663714
"Actinobacillus pleuropneumoniae",0.478561941256394,0.866706812634875,0.495824759892799,0.87977111345786
"Actinobacteria sp.",0.0850949085566389,0.468871892709427,0.0168933874236414,0.187911328195962
"Actinobaculum massiliae",0.496298357873082,0.875109194875259,0.491637687535674,0.880882197714335
"Actinomyces neuii",0.524230289364587,0.881862863957555,0.522801202881755,0.882580753544319
"Actinomyces neuii subsp. anitratus",0.478957662641284,0.867961510538024,0.478209319907347,0.877457573779893
"Actinomyces odontolyticus",0.517751985554272,0.879133796518352,0.497049756441184,0.88865246380694
"Actinomyces turicensis",0.444924506964191,0.857182674814332,0.454555656976395,0.858709819266556
"Aerococcus urinae",0.066145338442903,0.489377845852796,0.087249710618318,0.532573144214748
"Aerococcus viridans",0.54374813175576,0.888809413852121,0.552983674907294,0.89224923210277
"Aeromicrobium marinum",0.498935038365503,0.879374367802029,0.521594387959112,0.8780001881329
"Afipia clevelandensis",0.438205511631227,0.844496699137805,0.364847871631208,0.808432078985135
"Agrobacterium radiobacter",0.507419525252832,0.879340870125886,0.521062314210675,0.889836970061422
"Agrobacterium tumefaciens",0.415429732709124,0.824638172020117,0.431203618698888,0.855941650215753
"Agromonas oligotrophica",0.48522984399909,0.859450068608231,0.485461377551162,0.8694420009758
"Akkermansia muciniphila",0.487647447060027,0.866007842960866,0.471882186970578,0.872362647135114
"Alcaligenes faecalis",0.481972918026889,0.877135814152282,0.479076561494512,0.882229964256212
"Alicyclobacillus acidocaldarius",0.509074478727465,0.883261130067083,0.504330757398032,0.884107508428676
"Alistipes indistinctus",0.493377784169568,0.877467404189503,0.512749565426269,0.875901882039997
"Alistipes shahii",0.467126484172608,0.871680993178988,0.47854245237133,0.879955487547824
"Alistipes sp.",0.481561990161982,0.877433501138125,0.500683589128338,0.890886592319077
"Alloscardovia omnicolens",0.45928349072277,0.863367683175347,0.418748287913733,0.869761626948423
"amorphae DSM",0.457205831116509,0.848348166216163,0.449954587307804,0.849160998280264
"Amphibacillus xylanus",0.541503289322541,0.89373886327989,0.506790068290064,0.893158207145455
"Anaerococcus hydrogenalis",0.440900626798959,0.852644812346953,0.450221027781743,0.864159214137016
"Anaerococcus lactolyticus",0.451628512771914,0.85650643250321,0.482946559291005,0.870806254710462
"Anaerococcus prevotii",0.492800106833315,0.877305601077467,0.471191895554527,0.876830794343172
"Anaerococcus tetradius",0.470950765354336,0.866766959166791,0.473542040630921,0.862676262693237
"Anaerococcus vaginalis",0.502160839199154,0.872529677576485,0.529196500872608,0.893435908464544
"Anaeroglobus geminatus",0.526219027769565,0.890623646846934,0.505255549073262,0.888050398725718
"Anaerotruncus colihominis",0.455254124684425,0.844881518022031,0.468097884771693,0.854712937504953
"Aneurinibacillus aneurinolyticus",0.506002170018121,0.86999207778823,0.505588374604302,0.879352692337695
"Anoxybacillus flavithermus",0.4862894643322,0.865822339036456,0.496206464088722,0.885277939040045
"Arcanobacterium haemolyticum",0.513168934946237,0.895572387286389,0.524952318183007,0.896809407087944
"Arcanobacterium pyogenes",0.503082076341294,0.88702744731222,0.501274006321263,0.87838938152021
"Arthrobacter aurescens",0.523107885646629,0.870985739000882,0.498869638558926,0.869042167565141
"Arthrobacter chlorophenolicus",0.495917473195021,0.860619078143229,0.523582215386289,0.88420795090291
"Arthrobacter gangotriensis",0.482693972063802,0.879067510110782,0.521639256063606,0.897218654980268
"Arthrobacter globiformis",0.471484297547711,0.85300484129382,0.472006365224995,0.849794269869632
"Arthrobacter phenanthrenivorans",0.495427981851552,0.867765127071547,0.473493030084152,0.864356338261947
"Aspergillus niger",0.525184756657613,0.883587656975138,0.54773692355122,0.894427813914172
"Asticcacaulis excentricus",0.540460306578549,0.893296774744577,0.542713148393774,0.902342106658252
"Atopobium minutum",0.508215240181228,0.878600410196164,0.524209282015528,0.879847918591948
"Atopobium parvulum",0.499997168011506,0.8768632709522,0.520920032543362,0.879189032463972
"Atopobium vaginae",0.0967622068462459,0.648555417765513,0.159468878614089,0.725495625881739
"Atopostipes suicloacalis",0.541989749766236,0.901633527533136,0.545432250902606,0.901088459506313
"Atopostipes suicloacalis ",0.372963860289544,0.802806093529446,0.356301710687517,0.798779352395032
"Azospirillum canadense",0.485927271861356,0.873152932066327,0.502369216067638,0.885703847930046
"Bacillus bataviensis",0.522325462618954,0.898513742268131,0.527708830065639,0.904233150359679
"Bacillus lentus",0.514781359561397,0.875788398965449,0.52014564296944,0.888613469496568
"Bacillus marinus",0.516788415915373,0.880145652665641,0.538355957171616,0.891361500834421
"Bacillus megaterium",0.499321262754525,0.875586063626532,0.520129757024364,0.902340953741514
"Bacillus mojavensis",0.481453962195178,0.867935867415199,0.504414615676078,0.882893494593335
"Bacillus pseudofirmus",0.485828024136369,0.871682290530777,0.505412548159264,0.880447643694978
"Bacillus psychrosaccharolyticus",0.473912737294848,0.865639090450334,0.485520600125462,0.870410016115911
"Bacillus stratosphericus",0.498284061804282,0.873914345507727,0.491485076333745,0.877816997620225
"Bacteroides cellulosilyticus",0.510567715808964,0.882370284058253,0.53428584269079,0.890979105900074
"Bacteroides clarus",0.519215424021703,0.873411568330742,0.539136122433408,0.878201040387681
"Bacteroides coagulans",0.44500200459365,0.856815052516174,0.534768898435536,0.882582357497299
"Bacteroides eggerthii",0.498960752589504,0.880585014389383,0.5129782045696,0.890634766378893
"Bacteroides pectinophilus",0.452375777720234,0.867513985768329,0.458643119500752,0.867305483967061
"Bacteroides salyersiae",0.530602168802008,0.869781879565531,0.544196491044244,0.891398452523541
"Bacteroides suis",0.456873801925002,0.862363476330073,0.488706017096473,0.880055517917138
"Bacteroides ureolyticus",0.485825255577047,0.862184431057042,0.442541057434322,0.85695366349423
"Bacteroides vulgatus",0.501888796517323,0.878829072580668,0.487683234561726,0.881332694134267
"Barnesiella intestinihominis",0.397739232960896,0.806779374080766,0.403101756296937,0.816675926746778
"Barnesiella viscericola",0.536156805413215,0.880101263097276,0.546074307178783,0.880991679091953
"Bartonella bovis",0.534799263560525,0.887055223574628,0.547038812887171,0.902183517134637
"Bdellovibrio bacteriovorus",0.461180549596224,0.863203753823375,0.46705182590536,0.870119303862093
"Bifidobacterium bifidum",0.478981122040255,0.844962549722982,0.49761267106877,0.863414443193573
"Bifidobacterium boum",0.504533754294263,0.879050254268211,0.522619726714221,0.896300513956716
"Bifidobacterium breve",0.534546648400382,0.887516789696527,0.596880936642622,0.924751263891298
"Bifidobacterium dentium",0.504755844701419,0.882605494066612,0.52899957318081,0.888639583417047
"Bifidobacterium kashiwanohense",0.503290461271617,0.8672032057286,0.506674388547888,0.867936450771954
"Bifidobacterium pseudocatenulatum",0.48893379615777,0.862486876522506,0.477181003588426,0.862895417513216
"Bifidobacterium thermacidophilum",0.497431750864618,0.882285540110097,0.501057214812005,0.884352228190785
"Bifidobacterium thermophilum",0.475219377615753,0.867828682054831,0.472077025378152,0.868774889763211
"Blautia hansenii ",0.435039710093396,0.854989644258098,0.460894555210439,0.863839486344218
"Blautia producta",0.490236121242513,0.879879695158731,0.495182033242172,0.88721146550164
"Bombus impatiens",0.546356335805273,0.897913051190174,0.54763912621429,0.899999954660404
"Botrytis convoluta",0.526576711816881,0.882805678128308,0.516588646086208,0.883322859843453
"Brachyspira pilosicoli",0.454112428733839,0.853418553882072,0.471049165660999,0.851090548089277
"Bradyrhizobiaceae bacterium",0.52183864967694,0.897513141653554,0.518816551037825,0.893745090778707
"Bradyrhizobium japonicum",0.308954008943108,0.770881457892957,0.205120874044499,0.674514299531815
"Brevibacterium casei",0.478373705840412,0.864019365824436,0.479225540091184,0.874628005622109
"Brevibacterium linens",0.533530841103036,0.89298387275307,0.538239374234882,0.894418509362649
"Brevibacterium mcbrellneri",0.497528722123646,0.874913250340921,0.48844887414748,0.871628678140937
"Brevundimonas diminuta",0.563520386006188,0.902307553736807,0.568178585276522,0.908503522667276
"Brevundimonas vesicularis",0.50811630513709,0.882664573917945,0.454320595953288,0.862071140081986
"Brucella suis",0.478873278331374,0.860140911249693,0.463307144681206,0.867859144866734
"Bulleidia extructa",0.466379334112802,0.858079765881036,0.5037846183869,0.88701235366332
"Burkholderia ambifaria",0.487745929341754,0.882888416153745,0.478094720016973,0.870667981767292
"Burkholderia cepacia",0.502058200285884,0.875980018955508,0.560982270828601,0.896242303805737
"Burkholderia glumae",0.505691711496748,0.876565674989715,0.503194020206912,0.889124918583675
"Burkholderia phytofirmans",0.542736908233863,0.89693767384177,0.532698921238313,0.899259715650767
"Burkholderia pseudomallei",0.503009592706076,0.871709440282478,0.496417461061296,0.878725290587499
"Burkholderia vietnamiensis",0.483437176035094,0.86161532814028,0.458310382333477,0.863604730356964
"Burkholderia xenovorans",0.421293608198201,0.832880686349944,0.448509007677422,0.855893954304002
"Butyrivibrio proteoclasticus",0.515247902010224,0.885791075199965,0.532765928466309,0.897141290494549
"Caldicellulosiruptor saccharolyticus",0.517634726038778,0.869459739390625,0.507420168865821,0.870589233815016
"Campylobacter fetus",0.537524337962617,0.884157165018249,0.55799816120795,0.892623354358535
"Campylobacter hominis",0.464730212386853,0.860106691884567,0.473230354559116,0.860343422463454
"Campylobacter jejuni",0.516400094805011,0.881303785836643,0.518510070373994,0.873979514637064
"Candida albicans",0.485120544785812,0.875590609470951,0.49973351027151,0.882977200341322
"Candidate division TM7",0.496163223921412,0.884405849026696,0.47519800380416,0.870047382190861
"Candidatus Chloracidobacterium",0.470338083284424,0.860321170744959,0.501723217243854,0.866298746418256
"Candidatus Desulforudis audaxviator",0.526610850795779,0.882006403091997,0.530458739075239,0.892892373526105
"Candidatus Ishikawaella capsulata",0.50790664721961,0.882360571176853,0.530936170121993,0.896320510163491
"Candidatus Nitrospira",0.507203144081907,0.881514146905225,0.505429224887292,0.88572630743113
"Candidatus Pelagibacter",0.459708027309194,0.862179455788852,0.46937819923905,0.876446175805837
"Capnocytophaga sputigena",0.500046234377017,0.878201719777153,0.533980478197866,0.900597599833308
"Catenulispora acidiphila",0.522774352946071,0.891890648519048,0.523858232541238,0.895630734507836
"Cellvibrio gilvus",0.514475872404412,0.869827386361518,0.518135475793989,0.879551973827471
"Chlorobium phaeobacteroides",0.472798995058084,0.86328565568264,0.456477662700118,0.854528203074437
"Chlorobium tepidum",0.561391795219567,0.892808797461109,0.54967458174217,0.894534812217975
"Chloroflexus aggregans",0.451078610494084,0.857300370393514,0.461866111939888,0.869472703430277
"Chromohalobacter salexigens",0.526214308774068,0.892003248299141,0.559386273696249,0.904145058093347
"Chryseobacterium gleum",0.442757086525234,0.844115031987851,0.459914153339498,0.858220819978291
"Chryseobacterium meningosepticum",0.479655571080834,0.869157919075434,0.482416994267995,0.881083692229066
"Citrobacter youngae",0.478626412290796,0.865838953820522,0.480901128475423,0.877397396540269
"Citromicrobium bathyomarinum",0.453446033501739,0.855368037780364,0.461558050420177,0.863479873161235
"Clavibacter michiganensis",0.501286145132697,0.880227033628977,0.498696625274931,0.884041004219688
"Clostridia sp. BVAB2",0.0451308104591115,0.529247136282346,0.123401196443654,0.712029263250275
