"","kw.ep","kw.eBH","glm.ep","glm.eBH"
"Acetonema longum",0.485237174053313,0.845536191397839,0.474907064112071,0.85445596369426
"Acidaminococcus fermentans",0.441373238578109,0.815254552271062,0.413719532630342,0.840170386445852
"Acidaminococcus intestini",0.542597588953648,0.885518292739279,0.535598147907658,0.891388974978388
"Acidovorax avenae",0.502092179352047,0.858735404917938,0.506796744897349,0.87333107158854
"Acidovorax ebreus",0.00295982288604007,0.079927059866177,8.05424140843987e-05,0.00413872575861291
"Acinetobacter bereziniae",0.455582087279767,0.835784817538395,0.481519721132742,0.862126583697412
"Acinetobacter calcoaceticus",0.465037800203953,0.828137573273166,0.492772460623671,0.833385588050443
"Acinetobacter johnsonii",0.500547110569492,0.844992934861101,0.506430936577895,0.868341063525813
"Acinetobacter junii",0.510588730413977,0.864010505267449,0.52132404221317,0.876334002042385
"Acinetobacter lwoffii",0.445231761342557,0.83548753074335,0.462554292426432,0.846144805033328
"Acinetobacter parvus",0.45037377742345,0.821955871787806,0.47824650225265,0.843321640984618
"Acinetobacter pittii",0.460689183806693,0.825773715268589,0.47329216442671,0.871325504073515
"Actinobacillus minor",0.491793599987002,0.853180099283256,0.498989270104379,0.879948069455998
"Actinobacillus pleuropneumoniae",0.510836965191381,0.845203156311265,0.510315205785339,0.85387735431235
"Actinobacteria sp.",0.387135027713086,0.800504556393403,0.238183106388168,0.721872078952357
"Actinobaculum massiliae",0.499596050823839,0.852171409266095,0.525622219467257,0.882855784210935
"Actinomyces neuii",0.523972866002868,0.862739029151953,0.550991910459585,0.877787564161745
"Actinomyces neuii subsp. anitratus",0.455501350734057,0.833013786037432,0.467633174619878,0.857093454442597
"Actinomyces odontolyticus",0.487292728499268,0.842898685968729,0.484491008900312,0.85338550025564
"Actinomyces turicensis",0.562940271568557,0.886452818522212,0.545859593973103,0.8921500815188
"Aerococcus urinae",0.231545321476635,0.646263488690697,0.270435051818302,0.685561947524982
"Aerococcus viridans",0.491104355124544,0.841458450028548,0.507692920986532,0.868311608328095
"Aeromicrobium marinum",0.457522111880435,0.836308207611434,0.492401998404795,0.873185177944369
"Afipia clevelandensis",0.464361457256251,0.821443118806505,0.408618979566927,0.816895808224575
"Agrobacterium radiobacter",0.449148791346819,0.826915128435656,0.458765360102957,0.836324978392373
"Agrobacterium tumefaciens",0.463298379618412,0.832098153585108,0.465965866164098,0.854409942846072
"Agromonas oligotrophica",0.4736332462957,0.847200531797916,0.495547839090486,0.877927752938717
"Akkermansia muciniphila",0.489917193666634,0.851182979819056,0.488877550889927,0.856353269790458
"Alcaligenes faecalis",0.474146022500014,0.848837160621817,0.497668757725323,0.873626770526319
"Alicyclobacillus acidocaldarius",0.499630021712652,0.861823874007592,0.484844965862303,0.866156042782223
"Alistipes indistinctus",0.463384991423752,0.83105411840253,0.497570954667787,0.870806471461952
"Alistipes shahii",0.494473563644592,0.851067875644193,0.522645716509821,0.88122725119904
"Alistipes sp.",0.502579807324975,0.856483263089523,0.537017731691897,0.868556788802636
"Alloscardovia omnicolens",0.485187440843459,0.848037848608712,0.474025104927343,0.836011094866548
"amorphae DSM",0.48651310529736,0.850554814452315,0.522127970527099,0.857954881752739
"Amphibacillus xylanus",0.486783152621977,0.857575465584037,0.519764064769732,0.876668567073904
"Anaerococcus hydrogenalis",0.464563704707866,0.847389318015897,0.483126783860374,0.867744296989724
"Anaerococcus lactolyticus",0.465898167637121,0.830865405775393,0.459739421790532,0.854884786253282
"Anaerococcus prevotii",0.497341445917877,0.847303732932465,0.503094473789295,0.853755656706358
"Anaerococcus tetradius",0.497152699763236,0.841142949763959,0.52295850918459,0.876725071201269
"Anaerococcus vaginalis",0.502424717012476,0.866958288088804,0.51652886860351,0.882324643786269
"Anaeroglobus geminatus",0.525092094458596,0.848809933410346,0.52232160499455,0.874247477505698
"Anaerotruncus colihominis",0.424346291749207,0.813399563970247,0.367366109583622,0.806857723745389
"Aneurinibacillus aneurinolyticus",0.488010009357883,0.845467897621894,0.49484186087388,0.871515596403646
"Anoxybacillus flavithermus",0.515644811339586,0.866686547354923,0.51707268435152,0.883435276217523
"Arcanobacterium haemolyticum",0.484507958550818,0.849885414701309,0.539506723495986,0.877169499405361
"Arcanobacterium pyogenes",0.513136951325037,0.84955317760878,0.526014272164752,0.867703392282479
"Arthrobacter aurescens",0.503266831626941,0.859637815093261,0.511603121003802,0.882923667228442
"Arthrobacter chlorophenolicus",0.533190163278231,0.848891263361243,0.498851327364233,0.851643865469
"Arthrobacter gangotriensis",0.505161571549993,0.84927289969964,0.516411908351894,0.873442414616379
"Arthrobacter globiformis",0.509622477357635,0.857910020277463,0.533615168108667,0.88680392124461
"Arthrobacter phenanthrenivorans",0.470954708885083,0.850808357991238,0.490352334469742,0.873520266523704
"Aspergillus niger",0.494872514848719,0.850775223831923,0.51378517150326,0.869242150064056
"Asticcacaulis excentricus",0.486323758767731,0.852881036419361,0.482406131316613,0.867068444742353
"Atopobium minutum",0.50292348926847,0.861156683416427,0.533509331389538,0.881137386144432
"Atopobium parvulum",0.46932918482084,0.852485210988453,0.488497375968238,0.868975423089367
"Atopobium vaginae",0.178899402253043,0.677357281546877,0.213149291587274,0.722331312457045
"Atopostipes suicloacalis",0.456598139081044,0.838880922883062,0.493873923494666,0.867557686451873
"Atopostipes suicloacalis ",0.437145727943054,0.816307683389235,0.452381796881936,0.833614169306654
"Azospirillum canadense",0.420274645823504,0.816704073955243,0.439383815606815,0.814123206859265
"Bacillus bataviensis",0.534663156402953,0.878780400417655,0.540637740127058,0.895538006260117
"Bacillus lentus",0.479846632953263,0.838583792874676,0.522081556917594,0.87908839119288
"Bacillus marinus",0.466916863602389,0.832094373745432,0.467533028888956,0.858250551331642
"Bacillus megaterium",0.497621374559502,0.839967096619422,0.510310128053396,0.860634155239902
"Bacillus mojavensis",0.476454864393032,0.843683547617037,0.491616172997032,0.870785780717918
"Bacillus pseudofirmus",0.448766170117686,0.822045134886937,0.492643565984655,0.855813912225453
"Bacillus psychrosaccharolyticus",0.502922348360417,0.862672356480337,0.519741415316945,0.871707319494254
"Bacillus stratosphericus",0.438040049723459,0.824415409809989,0.467040537532254,0.84077462199122
"Bacteroides cellulosilyticus",0.503221306667575,0.85966828737331,0.520517433230583,0.887023255767546
"Bacteroides clarus",0.478862621365267,0.844151750789211,0.48173770026562,0.855181965912271
"Bacteroides coagulans",0.368757216876091,0.778513265495162,0.398267938415266,0.818049661149378
"Bacteroides eggerthii",0.504440845223482,0.843737538740262,0.521857234765573,0.860889017727233
"Bacteroides pectinophilus",0.277442426139845,0.721619521053981,0.328907395201085,0.748777126944796
"Bacteroides salyersiae",0.433937762130623,0.819245557683536,0.453684515330849,0.837021777240104
"Bacteroides suis",0.486159452615903,0.842398267012714,0.514977680899942,0.878887070162455
"Bacteroides ureolyticus",0.492935925630936,0.838642005645783,0.511984473824776,0.866135915655044
"Bacteroides vulgatus",0.535913835637646,0.85787899697094,0.531176909828691,0.871878244632326
"Barnesiella intestinihominis",0.507605518184827,0.86028870809348,0.519635255757138,0.869515049630077
"Barnesiella viscericola",0.488461796455924,0.856194231673195,0.507534746052658,0.882988691670598
"Bartonella bovis",0.46350411694897,0.829804582717922,0.463089268888856,0.849688025808593
"Bdellovibrio bacteriovorus",0.47826603399818,0.836135480156733,0.480579535642492,0.836610014292704
"Bifidobacterium bifidum",0.469106154410507,0.843648141326555,0.494844251474714,0.862374761611109
"Bifidobacterium boum",0.480438575164959,0.84172761150007,0.472051987923545,0.854445824122091
"Bifidobacterium breve",0.537342026255157,0.882634878084977,0.578561478898058,0.911736230838622
"Bifidobacterium dentium",0.506390530276492,0.852867337770402,0.569329861998798,0.890612073601278
"Bifidobacterium kashiwanohense",0.504101591930263,0.851152634529596,0.494426645684467,0.870099286085834
"Bifidobacterium pseudocatenulatum",0.512043876475977,0.843105390238315,0.481728905155023,0.869092231445105
"Bifidobacterium thermacidophilum",0.457097046968975,0.835636512755493,0.444836976054445,0.848065659214669
"Bifidobacterium thermophilum",0.47006354396886,0.83309179997839,0.487464408193325,0.853351313309851
"Blautia hansenii ",0.495357957391067,0.840565872285512,0.508162353232507,0.869421064982697
"Blautia producta",0.474629502291967,0.843813892616924,0.479140084325053,0.860146156615411
"Bombus impatiens",0.539658485938865,0.865333943594418,0.549052625887607,0.890525483208816
"Botrytis convoluta",0.491325331713645,0.853118250263403,0.514203364696226,0.874491181814174
"Brachyspira pilosicoli",0.517787841922835,0.86371176867991,0.51933853131526,0.869520668024248
"Bradyrhizobiaceae bacterium",0.47716763481025,0.84677924628941,0.519761685770622,0.873758621126762
"Bradyrhizobium japonicum",0.480759733824127,0.843485712868867,0.514694923157381,0.865622580168872
"Brevibacterium casei",0.519678758974866,0.867023631841732,0.519366030825784,0.878769237262115
"Brevibacterium linens",0.503652656484079,0.854472156551985,0.510149313197444,0.875064603398457
"Brevibacterium mcbrellneri",0.448742069754581,0.830489212003852,0.452297834366301,0.863769543306926
