"","kw.ep","kw.eBH","glm.ep","glm.eBH"
"3alikevirus",0.477316008540749,0.802346928364683,0.443862145391543,0.760814104539022
"77likevirus",0.396086818305739,0.724959779209937,0.400706435049712,0.716772058533506
"Ahjdlikevirus",0.453797087373494,0.775851681879614,0.387953204068213,0.716581674729605
"Alphabaculovirus",0.712000173874373,0.912343925360544,0.314761133125268,0.71089540744896
"Alphalipothrixvirus",0.494278940684273,0.795906973022574,0.515493461660585,0.785338133121928
"Alphapapillomavirus",0.172630747504743,0.640551317286041,0.249971214327953,0.688527247612068
"Alpharetrovirus",0.098367838861741,0.505738821034527,0.138173543145591,0.506601436020751
"Alphatorquevirus",0.533664640937583,0.820126103489718,0.518319120299931,0.786779235126907
"Ampullavirus",0.508690384529905,0.813623428422855,0.485345358828352,0.785850767664589
"Ascovirus",0.530818766162819,0.824821678959935,0.504965633498246,0.79052342840564
"Aviadenovirus",0.160450685173403,0.609601628754346,0.227351197407649,0.607170276762452
"Avipoxvirus",0.507133648276725,0.808595460316936,0.48591250984143,0.785973466867858
"Badnavirus",0.4749126714301,0.792878873180461,0.454882640769008,0.760973556016213
"Bcep22likevirus",0.507414189603442,0.810515343268623,0.493923592403399,0.782493415213415
"Bcepmulikevirus",0.489761424450101,0.805016894872611,0.459777640896008,0.761640023327818
"Betabaculovirus",0.549038027541644,0.839933058954834,0.520563221999769,0.808240428307358
"Betaentomopoxvirus",0.460631587268813,0.782777970800629,0.440983761741133,0.753620553038798
"Betapapillomavirus",0.369231431652039,0.73554313730165,0.388436668902555,0.715043288795022
"Betapolyomavirus",0.469705910472295,0.789478267319642,0.446500151984766,0.744558609644851
"Betatorquevirus",0.486037922118316,0.799875029191722,0.489463109688625,0.787601184369001
"Bicaudavirus",0.484558208780807,0.800129689737215,0.490594208421046,0.789798232260882
"Bppunalikevirus",0.53829888469776,0.825162543561853,0.520169921673121,0.793012038731667
"Bracovirus",0.511878854816579,0.822791049647353,0.518932834099715,0.807639774860701
"C2likevirus",0.52347164313634,0.808343254448415,0.515311480421013,0.7946139531996
"C5likevirus",0.460348506031449,0.793163294559338,0.460273812809773,0.76604946793894
"Cafeteriavirus",0.619440447157053,0.87436766259101,0.575112002378528,0.840533903927029
"Che8likevirus",0.495870530973814,0.819832653342426,0.492301251708628,0.788721158935339
"Chipapillomavirus",0.514900628278399,0.817525756961272,0.511313708945514,0.789413697655132
"Chloriridovirus",0.46355589276541,0.794877503422518,0.454029659773333,0.768570297884552
"Chlorovirus",0.669310708430931,0.893479051980635,0.745400842155512,0.913045706796697
"Chrysovirus",0.470854124157384,0.788764996847205,0.467766905259048,0.762054237409979
"Circoviridae",0.417830186390381,0.754866584491223,0.398656489768911,0.716302395605537
"Coccolithovirus",0.101761795674954,0.563276102255615,0.0417363770033822,0.407751305897724
"Cp220likevirus",0.466893005842655,0.776922343326502,0.445693815110356,0.748745581146519
"Crocodylidpoxvirus",0.491497155108788,0.798036497048324,0.470339333308891,0.759078643192589
"Cyprinivirus",0.438590823532713,0.780142261753983,0.457308549570016,0.766730022434619
"Cytomegalovirus",0.517289734128918,0.818629140229548,0.448436140975055,0.768623271638861
"D3likevirus",0.537711354501439,0.820385225646961,0.523219500111345,0.799702996392239
"Dyoomikronpapillomavirus",0.401474876723682,0.758144907213963,0.434304745510032,0.745272246699785
"Enterovirus",0.73925077644181,0.923931550535038,0.770082472911122,0.921583639761428
"Fuselloviridae",0.469776483361741,0.786487809803202,0.461689376973065,0.760699852876137
"Gammapapillomavirus",0.579474974323506,0.85577522282674,0.618573177496604,0.85081853184223
"Gammaretrovirus",0.504082153158614,0.817230624941064,0.413221054555102,0.753301817376647
"Glossinavirus",0.519302179412866,0.819729081284585,0.505153883925464,0.79382107630804
"Hapunalikevirus",0.424267868719068,0.759675482547111,0.382410412399231,0.72305410626909
"Hepacivirus",0.444438567195322,0.779254711850469,0.445043204188279,0.760877047533202
"Hpunalikevirus",0.430186118389152,0.757857859344176,0.351403342730008,0.689298024780322
"Ichnovirus",0.0807883276887698,0.538371227749054,0.147869259641225,0.584945953116213
"Ictalurivirus",0.464377188535096,0.787662261777919,0.454190482709517,0.75413814238117
"Kayvirus",0.0150117754545612,0.2948016899899,0.0101282509723598,0.226361619226455
"L5likevirus",0.487068045214108,0.803429949947173,0.495030432199712,0.786867049093537
"Lagovirus",0.483604694765207,0.786284685970313,0.43809133365942,0.748962952095156
"Lambdalikevirus",0.458693965198353,0.784638109535934,0.485495261465847,0.776190653695566
"Lambdapapillomavirus",0.425850024416287,0.754263187674783,0.437433072960255,0.731022981556601
"Lentivirus",0.490107052735643,0.803100081740941,0.505063999273003,0.791142737612613
"Lymphocryptovirus",0.181856980602863,0.642720084093172,0.139134910920093,0.597165867134147
"Macavirus",0.531012970971231,0.833238159636488,0.517801968481159,0.802357250654604
"Mandarivirus",0.470615557536932,0.801123417148979,0.45611356588159,0.761318175878496
"Mardivirus",0.512849862529828,0.817105774019047,0.502058021772741,0.786031015865458
"Marseilleviridae",0.486374093366872,0.798024596689534,0.492142620317054,0.783477827223311
"Mastadenovirus",0.0543541002572217,0.436346572512924,0.0245996987442748,0.315849287745297
"Mimivirus",0.510163903014338,0.817205606662253,0.499837812127243,0.781987060316149
"Molluscipoxvirus",0.525069047652292,0.824141087997235,0.518358642771776,0.79413883885514
"Muromegalovirus",0.548882334920962,0.840268619696907,0.531158281748816,0.789192858747275
"Muscavirus",0.475267241185091,0.791165621289717,0.428140531967963,0.742744081883793
"N15likevirus",6.53802704242681e-06,0.000810715353260924,0.00022247769736203,0.0132191688053917
"N4likevirus",0.548361500663099,0.830138280475593,0.532514289882822,0.80758418591296
"Omegalikevirus",0.460575209855065,0.782436633955784,0.481662721371743,0.773870408891704
"Omikronpapillomavirus",0.498083077485138,0.802304202334457,0.473171037400965,0.771768976253693
"Orbivirus",0.504508950315187,0.795838603022102,0.495328783215729,0.77283287568004
"Orthohepadnavirus",0.49901009525728,0.802822885090805,0.479494754473539,0.772529296789879
"Other Adenoviridae",0.541303149491267,0.828856305574266,0.540423819135286,0.807035744006725
"Other Anelloviridae",0.12305681528926,0.527018942629898,0.169271802044825,0.534411985245257
"Other dsDNA Viruses",0.884691940741803,0.96267365547609,0.874587283243323,0.959261665431335
"Other Herpesviridae",0.4531269046369,0.786447368115566,0.471242211808641,0.760196910944789
"Other Mimiviridae",0.528573530314204,0.837277295116773,0.518115742084303,0.814672078685537
"Other Myoviridae",0.322486690895097,0.761044789535325,0.405785657888146,0.776735507177974
"Other Nudiviridae",0.508608036651731,0.804764131225641,0.477707384893648,0.777994427333953
"Other Papillomaviridae",0.121290744983516,0.591060779731285,0.162816665406366,0.621338915913496
"Other Phages",0.212836690259573,0.675972059536761,0.269831845183022,0.677224044899454
"Other Phycodnaviridae",0.435219991533029,0.774886029040666,0.440791429476653,0.751776591279334
"Other Podoviridae",0.881828652813329,0.965075201921303,0.798742626573734,0.936450623652731
"Other Polyomaviridae",0.501420129272604,0.815970313871953,0.465966415598354,0.771738561523473
"Other Retroviridae",0.488353494335809,0.797113212688417,0.50257045393791,0.780277194598726
"Other Siphoviridae",0.0121139993058343,0.337099274291565,0.0167029990316143,0.313153505723282
"Other ssDNA Viruses",0.502948368640009,0.811863639778814,0.49689227535428,0.791424891713642
"Other ssRNA positive Viruses",0.468154147101158,0.789620184289551,0.464202054193393,0.7670797331371
"Other Totiviridae",0.545763234662103,0.831699408300649,0.50268765805575,0.796911881121327
"Other Viruses",0.0502390486713171,0.486917554257587,0.0761967100985043,0.464126675708734
"Panicovirus",0.467192273758055,0.789445564594253,0.494464183305169,0.782163598148471
"Parapoxvirus",0.479879941763986,0.804809277034726,0.475845767026842,0.778786983465823
"Pbunalikevirus",0.5051775424785,0.804537716197838,0.486943821641987,0.769326066682716
"Percavirus",0.476569242593668,0.782985496901978,0.474488612738279,0.760895622639452
"Pestivirus",0.522162951660771,0.820861274419656,0.514593314755686,0.796238177283205
"Phaeovirus",0.317343660300646,0.690311794320712,0.23396090178533,0.604483064513493
"Phieco32likevirus",0.390961232515944,0.74330834706876,0.368463276349265,0.708410529301244
"Phietalikevirus",0.523535672683381,0.827291826408409,0.554086487157219,0.829896469247779
"Phijlunalikevirus",0.40134977198584,0.741190546004761,0.320319925398121,0.66871130883446
"Phikmvlikevirus",0.489151946485532,0.804539853825834,0.474191941708126,0.766178749444941
"Phikzlikevirus",0.4534464574272,0.77459966778675,0.426647117061524,0.748374119275785
"Pipapillomavirus",0.495111524866793,0.810137682974094,0.457655546184834,0.764866648714659
"Pithovirus",0.486103507712282,0.802213037697191,0.45307836288224,0.767384650150281
"Prasinovirus",0.526194357624278,0.823035933023027,0.498488260329936,0.783816737930774
"Proboscivirus",0.247645316000616,0.657171778045839,0.201142049487174,0.599553499297635
"Protoparvovirus",0.458856270622432,0.776355026302299,0.455584629720257,0.752441555145654
"Prymnesiovirus",0.282257873603249,0.696067903908207,0.236806479656793,0.639103418868421
"Ranavirus",0.368481687463848,0.750471644284115,0.351129139277911,0.706454652665446
"Rhabdoviridae",0.513601891884182,0.809118846611997,0.529840643087031,0.803946757732425
"Rhadinovirus",0.56305571250581,0.853198517014591,0.548815559494211,0.823164512620225
"Roseolovirus",0.1477125237325,0.609249071673827,0.151068569763062,0.581940478482956
"Sap6likevirus",0.479402714053851,0.798115548698287,0.481577002919108,0.782472183133773
"Sfi1unalikevirus",0.513651695020186,0.807481510154551,0.537518881824853,0.809809608700422
"Sfi21dtunalikevirus",0.540793743633807,0.840485335999605,0.487567762411117,0.787619026588946
"Simplexvirus",0.550789709620381,0.842015165816967,0.52367037931622,0.807016551604634
"Skunalikevirus",0.506563639662036,0.803126178117422,0.499511177000363,0.78312334291243
"T4likevirus",0.419048083130256,0.774534279923395,0.417020103537291,0.72946534874714
"T5likevirus",0.467404278499136,0.798111783172195,0.476131726436134,0.774916657128792
"T7likevirus",0.397384932936143,0.778055511054349,0.348879043386087,0.70005034535089
"Tobamovirus",0.465796706499665,0.783348869841416,0.444010220113123,0.748900302604007
"Totivirus",0.494807741795767,0.792358774597414,0.457076917036547,0.756086899967105
"Twortlikevirus",0.491488329724112,0.803177203517025,0.449978567990428,0.759476374209136
"Upsilonpapillomavirus",0.49591096111936,0.812979599893835,0.499496870125825,0.791502346130198
"Varicellovirus",0.519766105712386,0.820478559025027,0.511644402302791,0.796610960568649
"Whispovirus",0.314989024880124,0.703611030262758,0.390884290608127,0.705645048801534
