"","variable","glm.eBH","kw.eBH","signif"
"1","rxdrug",0.790672001249516,0.83364773162718,FALSE
"2","antimicrodrug",0.520467683685821,0.702944611989627,FALSE
"3","vaginalintercourse48hr",0.677075127850492,0.733711119397829,FALSE
"4","t16",0.280460731910196,0.774557158060334,FALSE
"5","t18",0.0139780417496244,0.587087503861813,FALSE
"6","t26",0.148474256393878,0.610607750166272,FALSE
"7","t33",0.0178911559839029,0.696024285907997,FALSE
"8","t35",0.782971642625748,0.655082866260287,FALSE
"9","t42",0.240662237075807,0.772848552583987,FALSE
"10","t45",0.0132161037313333,0.59033421129759,FALSE
"11","t51",0.222071523313416,0.735969796507786,FALSE
"12","t52",8.4198225043538e-09,0.649505274937099,FALSE
"13","t53",0.00812179852890578,0.616646002652797,FALSE
"14","t54",0.0209029736779057,0.703312611210732,FALSE
"15","t56",0.205997403615702,0.798999419596763,FALSE
"16","t61",0.520415056103883,0.818322134471185,FALSE
"17","t62",0.610458867518059,0.824012627155357,FALSE
"18","t66",0.083788749461461,0.69815835653995,FALSE
"19","t67",0.0504663594024588,0.778335009654365,FALSE
"20","t68",0.0135587964192171,0.589573833042291,FALSE
"21","t70",0.0989437122654519,0.825359380403185,FALSE
"22","t71",0.00995114681623652,0.660847546229523,FALSE
"23","t72",0.27818452672043,0.64738666515703,FALSE
"24","t73",0.011739554863567,0.585512098142193,FALSE
"25","t81",0.149014279886211,0.833960596160339,FALSE
"26","t83",0.0105086010563577,0.623474549509462,FALSE
"27","t84",0.247754385393947,0.749266072281151,FALSE
"28","t89",0.14237698488923,0.612416394501888,FALSE
"29","Number.of.Different.HPV.Types",0.0279041896999979,0.8365931520788,FALSE
"30","Med.Duration",1.03170717897196e-07,0.775405611138499,FALSE
"31","Is.the.patient.antiretroviral.naive.",0.0696582412991592,0.646818681526155,FALSE
"32","HIV.Clade...Result",0.0984533065076131,0.859308534085993,FALSE
"33","Likely.mode.of.HIV.acquisition",0.236860066767797,0.863627634043547,FALSE
"34","Duration.of.HIV.Infection.",3.57811250072043e-10,0.782959561721806,FALSE
"35","CD4.Nadir.",1.08850489275337e-09,0.75770787436913,FALSE
"36","Highest.VL.Ever..",2.29234075099836e-08,0.789253975857557,FALSE
"37","CD4.",5.35166363708457e-10,0.735819363750525,FALSE
"38","VL..copies.mL..",1.53619180374786e-05,0.464779138725871,FALSE
"39","HCV.Antibody...Result",0.0164856090590542,0.848726792933456,FALSE
"40","HCV.PCR...Result",0.599090199364867,0.920795555268082,FALSE
"41","HBV.sAb...Result",0.441467909095955,0.915780976764965,FALSE
"42","HBV.sAg...Result",0.808199470036136,0.869740321867756,FALSE
"43","HBV.cAb...Result",0.694157088273577,0.915346657741742,FALSE
"44","study_arm",0.0278866092158474,0.00135940225396154,TRUE
