"","kw.ep","kw.eBH","glm.ep","glm.eBH"
"Acanthamoeba polyphaga mimivirus",0.492184241690027,0.869901660050701,0.474433530510013,0.846299079839129
"Acanthocystis turfacea Chlorella virus 1",0.563429609367446,0.909214779936044,0.544282907255772,0.88806382348151
"Acanthocystis turfacea Chlorella virus Canal-1",0.408895438206004,0.850563672925405,0.286005115227144,0.746570957733374
"Acidianus bottle-shaped virus",0.5198687392541,0.885022689796673,0.505982155673463,0.855102734402888
"Acidianus two-tailed virus",0.508408607217273,0.872208372255562,0.500648174811038,0.838895826631488
"Acinetobacter phage 133",0.528562779735937,0.894947383269127,0.525138818224399,0.865907589934808
"Acinetobacter phage Presley",0.491099769937302,0.87198231226322,0.48490585862873,0.84086029407812
"Acinetobacter phage vB_AbaM_Acibel004",0.522775499642537,0.880180346568877,0.510036410752456,0.847893825138098
"Actinomyces phage Av-1",0.505431318253456,0.874483740518286,0.457161366025412,0.849121614416019
"Aeromonas phage vB_AsaM-56",0.530665872807421,0.888715944103272,0.514261836225402,0.857358458038078
"Aggregatibacter phage Aabphi01",0.467794719762711,0.864120604843925,0.450327496043568,0.827779939869659
"Alcelaphine herpesvirus 2",0.522746008202083,0.886882784226673,0.487126724683925,0.852896736955405
"Alphapapillomavirus 1",0.51393570496022,0.884204837714212,0.294563018518028,0.764252931424601
"Alphapapillomavirus 10",0.179996472023826,0.781458756063068,0.151686416514013,0.728535142500607
"Alphapapillomavirus 11",0.471219901889659,0.869014161274773,0.451454518499034,0.840306284203458
"Alphapapillomavirus 12",0.460763513283107,0.860295037016262,0.424468254890335,0.817634324387116
"Alphapapillomavirus 13",0.478711552286587,0.866003810569468,0.49515534870307,0.843904198992641
"Alphapapillomavirus 14",0.628234854395026,0.927901712633722,0.850409936534374,0.96656452605084
"Alphapapillomavirus 2",0.566259772174584,0.904869609562653,0.571693161577287,0.885177628281822
"Alphapapillomavirus 3",0.0697679103432874,0.695081257388471,0.112014409345557,0.698483445379552
"Alphapapillomavirus 4",0.443472576304236,0.851849863187601,0.44703477829192,0.824170075940477
"Alphapapillomavirus 5",0.433502288772246,0.855708832106435,0.404458695216639,0.818066507383173
"Alphapapillomavirus 6",0.648185261334824,0.934527130671858,0.467067061588567,0.876543027016943
"Alphapapillomavirus 7",0.129972001297116,0.719436315551328,0.141976510954037,0.683824039477212
"Alphapapillomavirus 8",0.38355989081212,0.820072495491198,0.383780668303087,0.796760637553519
"Alphapapillomavirus 9",0.139738254961182,0.757129724056875,0.635750009057232,0.92265738079536
"Ambrosia asymptomatic virus 2 UKM-2007",0.466313889651757,0.865190500339313,0.48133318186418,0.843985090881969
"Ambystoma tigrinum virus",0.492122373515096,0.868642928912145,0.471114779012994,0.827808974526324
"Antheraea pernyi nucleopolyhedrovirus",0.487292267978335,0.872047899786587,0.465907158718332,0.841295995124819
"Ateline herpesvirus 3",0.482701187050667,0.877786790848513,0.48789105178381,0.8534058748937
"Aureococcus anophagefferens virus",0.393085422450462,0.835361773412046,0.387759138991658,0.807163962162322
"Autographa californica multiple nucleopolyhedrovirus",0.489492416793862,0.876358636393351,0.482844805660246,0.844114353965689
"Avian sarcoma virus",0.0821912323911652,0.633214437850518,0.113138695922525,0.610733602441639
"Bacillus phage 0305phi8-36",0.468042167995081,0.860689110815442,0.460097407773004,0.830137208407789
"Bacillus phage BCD7",0.485325435915166,0.873577139225809,0.492870243765976,0.852195941229997
"Bacillus phage BCJA1c",0.405375334652372,0.843740843209007,0.362213710568282,0.788875880442871
"Bacillus phage G",0.570593394906563,0.906825404057385,0.540187641915792,0.872181367634595
"Bacillus phage PBC1",0.521958126936549,0.882655791216625,0.53321106648509,0.865839209949094
"Bacillus phage SIOphi",0.505848975821279,0.889929914249457,0.491319918231944,0.855566281614073
"Bacillus phage SPP1",0.476415677618105,0.868532024026765,0.48002616552791,0.845500772285306
"Bacillus phage Staley",0.522628886076592,0.88285615883657,0.49127557264789,0.850988688413446
"Bacillus phage vB_BanS-Tsamsa",0.488322245762042,0.87082652584407,0.461542170511814,0.832766303694499
"Bacillus virus 1",0.542283005303339,0.894848862221784,0.52186048787568,0.861063531068894
"Bacteriophage Lily",0.47750203965823,0.868563622945477,0.502106020574407,0.853986923614376
"Baku virus",0.468747890846465,0.866675726862524,0.462795853022204,0.824962192692236
"Ball python nidovirus",0.493999470033934,0.87862853850648,0.476344576225248,0.84661331079945
"Bat betaherpesvirus B7D8",0.505271357639253,0.881632131639779,0.486763017543904,0.855274694505834
"Bat mastadenovirus B",0.507108997364627,0.872603581442174,0.494975313923465,0.840406299100055
"Bathycoccus sp. RCC1105 virus BpV",0.510715033331787,0.883768169216683,0.500771062313777,0.859687998444893
"Bell pepper mottle virus",0.517689253000664,0.880959193930752,0.494856829254189,0.83959281191353
"Betapapillomavirus 1",0.49214677374158,0.871584262455071,0.483708511629412,0.84611736995333
"Betapapillomavirus 2",0.447978298558124,0.865155354263698,0.4529876150063,0.84346725492398
"Betapapillomavirus 3",0.519328589013669,0.886323339813191,0.502736737533771,0.858997222621324
"Bovine herpesvirus 1",0.46903340971114,0.862009532277914,0.490628139147298,0.847035329501677
"Bovine herpesvirus 5",0.516021541982243,0.889769312313883,0.510016726896793,0.868481506621449
"Brevibacillus phage Emery",0.497373339506895,0.873249393151357,0.479145449630344,0.837314219083572
"Brochothrix phage A9",0.559565234220515,0.895973367635268,0.52668025860362,0.87110212691599
"Brochothrix phage BL3",0.433301114338016,0.860840667739795,0.445345534499718,0.836300700298389
"Brochothrix phage NF5",0.496764322760457,0.874558458973931,0.516435565403025,0.865607179299456
"Burkholderia phage Bcep22",0.409629270401819,0.832871982647682,0.413459056102916,0.800775881807359
"Burkholderia phage BcepC6B",0.489117272178486,0.878918989319579,0.474320685663591,0.842564155215465
"Burkholderia phage BcepF1",0.507720824949668,0.880258409782219,0.503034788229304,0.852622346092491
"Burkholderia phage DC1",0.487076382604764,0.872835413940641,0.495225365161324,0.852912154405203
"Burkholderia phage JG068",0.467513238308022,0.871416079106865,0.456901573369304,0.83533846629682
"Burkholderia phage phiE255",0.523205192999454,0.885627984250233,0.535871534240142,0.861304408978904
"Cafeteria roenbergensis virus",0.592566484686511,0.915894643366224,0.567881188579655,0.892669557179549
"Callitrichine herpesvirus 3",0.513138073404216,0.882288763793286,0.507149813537278,0.86224789493787
"Canarypox virus",0.478675134803753,0.860667365146933,0.467278268482235,0.832771139728254
"Canid herpesvirus 1",0.480169061080951,0.867062315255202,0.455441206907091,0.827406309119011
"Cardioderma polyomavirus",0.509622594678455,0.880876971827046,0.469088294445054,0.848201072182928
"Caviid herpesvirus 2",0.497340348185648,0.869329551355306,0.478311735847758,0.851646753087541
"Cellulophaga phage phi13:2",0.49844067363283,0.874741335519235,0.480660909724634,0.836119701435144
"Cellulophaga phage phi39:1",0.577493123381516,0.900690934584664,0.516749235511151,0.863469279239183
"Cellulophaga phage phi46:3",0.499458194648651,0.884850037124615,0.509432793502449,0.859618958618051
"Cellulophaga phage phiST",0.501865127099891,0.882215033542777,0.493147053012519,0.859213712153715
"Cercopithecine herpesvirus 2",0.541102290408378,0.893988834099966,0.519770231195896,0.868214017837928
"Cercopithecine herpesvirus 5",0.508904461134631,0.86675690362863,0.509892552536073,0.850056722710791
"Chimpanzee stool associated circular ssDNA virus",0.484332080086648,0.875688427958124,0.474663311650534,0.8481771691432
"Chipapillomavirus 1",0.461114230021699,0.860802200851659,0.458666963925248,0.834584238824538
"Choristoneura occidentalis granulovirus",0.488198042990169,0.874737815406133,0.48722421719393,0.844145311630488
"Choristoneura rosaceana alphabaculovirus",0.570920577071463,0.900561773139744,0.544218636885676,0.878480594414537
"Choristoneura rosaceana entomopoxvirus 'L'",0.51231006263703,0.878918647195527,0.501246711141095,0.84808853048708
"Circoviridae",0.489713439766656,0.86101171011451,0.486277718482828,0.826479213477043
"Clostridium phage phiCD211",0.547680750086139,0.896882320358879,0.553497983399739,0.872197432065016
"Clostridium phage phiCDHM19",0.472172512896136,0.871843118062952,0.490656806256842,0.849698822339714
"Clostridium phage phiCP26F",0.492522809477714,0.873035468425888,0.473050040777456,0.839886551601076
"Clostridium phage phiCT19406C",0.451145973160979,0.862181954867072,0.448004453310747,0.829390909824512
"Clostridium phage phiCT453A",0.503869549728656,0.883292532299713,0.504534452022759,0.858139459857511
"Clostridium phage phiCT9441A",0.48603871816088,0.871023383539904,0.500029718668765,0.848637103775722
"Clostridium phage phiCTP1",0.557742319387066,0.895724278648907,0.521153261916846,0.863293111410203
"Corynebacterium phage BFK20",0.51540178999799,0.885841275347228,0.498249296344874,0.849444421078933
"Corynebacterium phage P1201",0.547509376544736,0.903992807846612,0.608130579165218,0.901271810624894
"Cotesia congregata bracovirus",0.521565027788918,0.890326509887924,0.481102274741153,0.850858861592135
"Croceibacter phage P2559Y",0.519281306138647,0.878351553157423,0.509221314545671,0.84721738252083
"Cronobacter phage CR5",0.455214387792816,0.854729046177358,0.484441504824964,0.851372900883655
"Cronobacter phage CR9",0.501123570997918,0.873110447363462,0.491255058911596,0.836312506221255
"Cronobacter phage vB_CsaP_GAP52",0.36199383954326,0.828611576487968,0.34919914001759,0.790508775195434
"Cyprinid herpesvirus 2",0.469469238027762,0.861904332318289,0.453911661435821,0.834873550937153
"Cyprinid herpesvirus 3",0.506774615612314,0.890373280303444,0.518979521943243,0.872778125100054
"Debaryomyces hansenii virus JB-2008",0.488947454799383,0.871632966966021,0.473890582485493,0.83650305481097
"Deep-sea thermophilic phage D6E",0.460494895621977,0.858922660588247,0.463909398185901,0.837565026267893
"Delftia phage IME-DE1",0.459900399069159,0.861971468071749,0.499300244333894,0.836800596155168
"Dendrolimus kikuchii nucleopolyhedrovirus",0.532789747118507,0.893355126065423,0.507749811243031,0.862241096404241
"Diadromus pulchellus ascovirus 4a",0.526001501898392,0.892271959764983,0.481804401395096,0.850457396038864
"Dromedary stool-associated circular ssDNA virus",0.469184819551898,0.870108718825952,0.458056881636381,0.841042174779911
"Duck adenovirus 2",0.523029993253294,0.879969347637837,0.494967804717682,0.851381350417444
"Dyoomikronpapillomavirus 1",0.374110244327878,0.822159333194992,0.381658465448253,0.791730461410699
"EBPR siphovirus 1",0.533211510837349,0.881789098320059,0.512119285766325,0.852612806939259
"EBPR siphovirus 5",0.503395289058652,0.874268949119072,0.482597771710837,0.841814404384256
"Ectocarpus siliculosus virus 1",0.308946966064579,0.806288738495027,0.234397628266214,0.719403005228012
"Edwardsiella phage MSW-3",0.469011228668877,0.867030546096491,0.469753045302638,0.844326428397286
"Edwardsiella phage PEi2",0.52362701379704,0.884615728544234,0.514821885021561,0.860532361254656
"Elephant endotheliotropic herpesvirus 6",0.433651129026751,0.844893530310248,0.42455364174387,0.816323689415527
"Elephantid herpesvirus 1",0.33894988754074,0.835521686245812,0.390682026830061,0.814570459799417
"Emiliania huxleyi virus 145",0.222309236697242,0.789051699756425,0.222591751206878,0.726602463940685
"Emiliania huxleyi virus 156",0.507061454815552,0.89737128402488,0.455641355198284,0.858149806089899
"Emiliania huxleyi virus 164",0.533406697569383,0.891864105088994,0.529707530082688,0.875473006616766
"Emiliania huxleyi virus 18",0.527323740622906,0.874862464260733,0.513182071520524,0.853613267597714
"Emiliania huxleyi virus 203",0.513492197017741,0.888124937165389,0.518200422903559,0.856200452984177
"Emiliania huxleyi virus 84",0.409168424487085,0.845598264127235,0.405756865250161,0.813773306125049
"Emiliania huxleyi virus 99B1",0.430774238449104,0.862652304185293,0.42951591660683,0.83044621118842
"Emiliania huxleyi virus PS401",0.217930850787965,0.757289022957248,0.257918319967106,0.720306165952398
"Enhydra lutris papillomavirus 1",0.476670953578835,0.872230486393194,0.469809775744251,0.844553411807621
"Enterobacter phage Enc34",0.50722832370205,0.886170915044783,0.488212100673199,0.849723046520789
"Enterobacteria phage N15",9.787629949261e-06,0.0043157388796473,0.000224377957710235,0.029296703975308
"Enterococcus phage ECP3",0.531645123903649,0.890198136322593,0.484611424260553,0.845073232737973
"Enterococcus phage EFDG1",0.551632543990544,0.89839380222852,0.535958504794433,0.871525561751251
"Enterococcus phage EFLK1",0.36024794248987,0.822786999591031,0.384526581234893,0.795722324553526
"Enterococcus phage vB_Efae230P-4",0.506154079007295,0.879833208198466,0.433912505137793,0.830226088484055
"Enterovirus B",0.588501173488033,0.914235236863486,0.625691993073803,0.908286611707961
"Environmental Halophage eHP-35",0.510612239000553,0.88381813905309,0.496450209526454,0.851977320111064
"Environmental Halophage eHP-40",0.477765924888192,0.861115227439707,0.472367630490805,0.831202762344918
"Equid herpesvirus 5",0.430597308040822,0.863826387735869,0.406746171464746,0.828489188941023
"Erwinia phage Ea35-70",0.465040198545931,0.857831879482446,0.458711160968736,0.829866973999257
"Erwinia phage GR-2012",0.476580393800866,0.869002180538176,0.464423538288846,0.836945349333285
"Erwinia phage phiEt88",0.50522634007986,0.877745115508186,0.504266152819982,0.850483290758467
"Escherichia phage ECML-117",0.514422566441153,0.885574571759515,0.52805208516871,0.859288784103857
