"","kw.ep","kw.eBH","glm.ep","glm.eBH"
"Autographivirinae",0.501600847884005,0.907602027142673,0.52007716950482,0.880377616635339
"Enterobacteria phage SV14",0.514147518937882,0.910695580466353,0.497562905067463,0.880815051377134
"Myoviridae",0.5375046031937,0.917379688404036,0.527827109078652,0.884572226374573
"Podoviridae",0.198288152114865,0.851618264037612,0.220552568533468,0.78132260187862
"Bacillus phage SPP1",0.431902244814034,0.89811273956463,0.429670405437789,0.851878738448765
"Caudovirales",0.600543192445128,0.933375042116215,0.584593412031583,0.907681141175581
"Enterobacteria phage N15",1.57049429035418e-06,0.00122710931950111,0.000122815403117059,0.0123262611066168
"Haemophilus phage HP1c1",0.4296343100836,0.895127124625556,0.356321604534457,0.827615241837023
"L5likevirus",0.482433113147476,0.905249473585515,0.496614434289359,0.878480070714522
"Lactobacillus phage LL-H",0.503206769119258,0.914181306981013,0.446285895670165,0.866512849732698
"Lactobacillus phage mv1",0.507620231418511,0.911432739729786,0.501084341432081,0.882034242436641
"Lactococcus phage c2",0.494114481915094,0.904604815785083,0.471203222336544,0.867095305281613
"Picovirinae",0.113926775182205,0.76319698241838,0.163171660358875,0.764967320591941
"Pseudomonas phage D3",0.449590614022457,0.893420267506505,0.450927987266534,0.858003524398438
"Siphoviridae",0.659088639850795,0.945766175760149,0.649138045853059,0.929826208884018
"Staphylococcus phage phiMR11",0.444273199324663,0.895839748207613,0.47387725679148,0.865346767690377
"Streptococcus phage Cp-1",0.423581740700261,0.880060934595031,0.33238493081301,0.816001212348132
"Streptococcus phage CP-7",0.441071381606192,0.884983461143393,0.442050703596965,0.853385383225401
"Streptococcus phage Dp-1",0.459573929648982,0.905455065608756,0.438681467668895,0.864793526837139
"T7likevirus",0.189740673393907,0.794635494569373,0.145902773531319,0.701773421087336
"Viruses",0.143913884966923,0.828163351487527,0.215574549171428,0.789679072812132
" no DNA stage",0.460515750998314,0.900764957391395,0.446802072006304,0.865854642989197
" no RNA stage",0.511078081067302,0.917196529037834,0.52203032904876,0.885495398941163
"Acanthamoeba polyphaga mimivirus",0.464240648246921,0.898331830405474,0.465518640017793,0.863422808616489
"Acanthocystis turfacea Chlorella virus 1",0.695402346354167,0.952785489402585,0.647727437769562,0.927860869212256
"Acanthocystis turfacea Chlorella virus Canal-1",0.463032538372967,0.902257817052154,0.285578433666704,0.799411236724034
"Acanthocystis turfacea Chlorella virus MN0810.1",0.523256093710013,0.915393114574885,0.463271210322872,0.868972491750061
"Acidianus bottle-shaped virus (isolate Pozzuoli)",0.513312208501928,0.912253246770787,0.494279786910277,0.886537385683543
"Acidianus two-tailed virus",0.425598665376643,0.890925276893386,0.411845722853256,0.851486771871249
"Acinetobacter phage 133",0.527306770027336,0.911642038656384,0.527823229728377,0.883004962500622
"Acinetobacter phage AB1",0.539068823450907,0.920588036694768,0.518358786993941,0.885810735583664
"Acinetobacter phage Ac42",0.458008667134063,0.897328401646336,0.435508624401069,0.856190605178366
"Acinetobacter phage Presley",0.475644982015538,0.910733203693721,0.467330858080513,0.869332684022894
"Acinetobacter phage vB_AbaM_Acibel004",0.516579202623844,0.90824188381457,0.480826466074986,0.867268657895054
"Actinomyces phage Av-1",0.456674998286934,0.894559128072892,0.453221934225699,0.863815485323886
"Adenoviridae",0.462342164429574,0.906719985520648,0.435103548597118,0.858302553904057
"Aeromonas phage 65",0.480478155017697,0.898417832689325,0.483222255471654,0.867737438649033
"Aeromonas phage phiAS5",0.510046044076332,0.912019758496192,0.505455887918609,0.877009632049157
"Aeromonas phage PX29",0.482898475715688,0.90061820656105,0.48329228022347,0.872151586684704
"Aeromonas phage vB_AsaM-56",0.585336390305831,0.925697931473271,0.579003973480793,0.901873463749481
"African horse sickness virus",0.477795390150849,0.895682846212716,0.460156004586078,0.861425253138236
"Aggregatibacter phage Aabphi01",0.457298513999083,0.896422190710479,0.431242915969187,0.856381935094334
"Agrotis ipsilon multiple nucleopolyhedrovirus",0.470037288746722,0.904446285313012,0.454885322123299,0.867838472297463
"Alcelaphine herpesvirus 2",0.397509915018528,0.882213066752403,0.417185979615705,0.853420384175974
"Alphabaculovirus",0.312459449505428,0.86174790799061,0.16109143430005,0.726290692038925
"Alphaherpesvirinae",0.528117816222364,0.911200300179603,0.50406914880775,0.877826943182935
"Alphapapillomavirus",0.440042925210877,0.904718566724791,0.505367869018932,0.886189802424845
"Alphapapillomavirus 10",0.60494538011231,0.940320393828822,0.386894037066082,0.862959054200402
"Alphapapillomavirus 12",0.528871859056206,0.910290024001447,0.520097903142424,0.874004918779704
"Alphapapillomavirus 13",0.459944437519001,0.899820138922551,0.457818531028859,0.871919077205114
"Alphapapillomavirus 14",0.566205390318873,0.922849156512542,0.58648642208087,0.907861450220446
"Alphapapillomavirus 2",0.51466775012311,0.915434290353986,0.535345821874873,0.890838856428403
"Alphapapillomavirus 3",0.324724032143506,0.886532028422212,0.295337205143898,0.829578905121048
"Alphapapillomavirus 4",0.523391205224727,0.914049520752872,0.541965991242338,0.89467389716023
"Alphapapillomavirus 5",0.48946801702554,0.912377576963023,0.495120810065703,0.875897629561465
"Alphapapillomavirus 6",0.616175655405175,0.940461621654522,0.491635391047648,0.894718142991658
"Alphapapillomavirus 7",0.48213049487016,0.908995845011685,0.477874739244728,0.879728086313869
"Alphapapillomavirus 8",0.476006643558342,0.900480600658973,0.475650448186353,0.863204430953653
"Alphapapillomavirus 9",0.485147086676998,0.908359255998908,0.458473106895584,0.869766311505236
"Ambrosia asymptomatic virus 2 UKM-2007",0.49324871856547,0.905885313764808,0.484867419566989,0.867882466949536
"Ambystoma tigrinum stebbensi virus",0.480036354751416,0.90926822586998,0.470407031936093,0.871443561744329
"Anatid herpesvirus 1",0.481028785699644,0.903757872749669,0.471037298850017,0.873941499173341
"Andrias davidianus ranavirus",0.374984126688724,0.87649125921868,0.381478873398069,0.83729719993602
"Anelloviridae",0.521509091496712,0.913551486442016,0.553158384409009,0.889366797810454
"Antheraea pernyi nucleopolyhedrovirus",0.509148928915136,0.913098061188248,0.476625039256492,0.869126587187451
"Aotine herpesvirus 1",0.478085781471465,0.900186394850615,0.479878756199768,0.869946527516738
"Apophua simplicipes ichnovirus",0.475582593226338,0.910344489880359,0.478916300243848,0.874557949434912
"Archaeal BJ1 virus",0.477355811948804,0.906722632995799,0.471690149302549,0.868909340169723
"Arthrobacter phage vB_ArtM-ArV1",0.496073445482976,0.906975839543591,0.462983945557708,0.860788256570703
"Ateline herpesvirus 3",0.500487991343291,0.914336574756483,0.519653208408522,0.888243168588816
"Aureococcus anophagefferens virus",0.390971024163021,0.882104317394096,0.403767042986694,0.842613121681032
"Autographa californica multiple nucleopolyhedrovirus",0.499338052782831,0.904936151530937,0.483905226912989,0.8692344132925
"Avian sarcoma virus 31",0.147537471645163,0.796740775971196,0.158501280413813,0.729993012156858
"Bacillus phage 0305phi8-36",0.511612552289194,0.914120953373797,0.485739591138287,0.876213967333372
"Bacillus phage BCD7",0.520324329733431,0.909231404834061,0.499940972697176,0.879259854634669
"Bacillus phage BCJA1c",0.460278738989733,0.894121083153439,0.392890797606625,0.838738222646526
"Bacillus phage BCP78",0.518054639204809,0.914412719528437,0.505537817520828,0.879523412496996
"Bacillus phage BCP8-2",0.50542639101486,0.910399799488072,0.481896907369401,0.872615769005698
"Bacillus phage G",0.525142618906953,0.916369092238695,0.514237501408961,0.883311472253816
"Bacillus phage Moonbeam",0.52259106090421,0.915605756708558,0.53516055696057,0.893148409357002
"Bacillus phage PBC1",0.5248307679168,0.916449230708826,0.51127087308315,0.884992059967487
"Bacillus phage phiAGATE",0.47564144166089,0.905276503551224,0.488297491403044,0.87714521314677
"Bacillus phage PM1",0.521085238656264,0.915108408394611,0.476097201961812,0.876470805639207
"Bacillus phage SIOphi",0.50949172741039,0.908733409551681,0.493590478526943,0.868067054449331
"Bacillus phage SP-10",0.473801305166405,0.897583979692421,0.475878937367068,0.867189796275079
"Bacillus phage Staley",0.522136376672586,0.916658116581882,0.484351357374604,0.878624027666092
"Bacillus phage vB_BanS-Tsamsa",0.527082060968255,0.913451341136152,0.533313639366049,0.884865745660508
"Bacillus phage vB_BceM-Bc431v3",0.467409251399121,0.90330314166785,0.45036046604523,0.86662236970153
"Bacillus phage W.Ph.",0.543832190739064,0.924644858026123,0.517942342907811,0.88234540861091
"Bacillus virus 1",0.561421913133129,0.923590996613297,0.529738955690152,0.89032154110849
"Bacteriophage Lily",0.556504518398196,0.923473301526346,0.561525826212987,0.898869651475632
"Ball python nidovirus",0.513458604342454,0.912250204788262,0.496992901349932,0.879521446186309
"Bat adenovirus 2",0.493893184539936,0.90977976968785,0.482380218955927,0.874927511603892
"Bat adenovirus TJM",0.51001914806312,0.910509086371491,0.473415004657893,0.872975094221201
"Bat betaherpesvirus B7D8",0.503439326520662,0.915079617986114,0.493176347807677,0.874533242548562
"Bat polyomavirus 6a",0.491038394898955,0.906715544853569,0.514927396617487,0.882556784056029
"Bathycoccus sp. RCC1105 virus BpV",0.545273243478773,0.91779076497493,0.548050886707764,0.88624254053562
"Bathycoccus sp. RCC1105 virus BpV2",0.486750950605864,0.902714260439904,0.473601824197004,0.867067741934676
"Betabaculovirus",0.50078831715355,0.904273384953415,0.494088845687766,0.874649095225923
"Betacoronavirus",0.529115646286341,0.905898834892856,0.503381224106078,0.878103483125931
"Betaentomopoxvirus",0.472983459937532,0.907556890753757,0.465085286464467,0.868163928288114
"Betapapillomavirus 1",0.477124994735905,0.903161609062698,0.45183832587917,0.863138483909069
"Betapapillomavirus 2",0.526292405947989,0.913811047837427,0.49559613890423,0.877150001385409
"Bovine herpesvirus 1",0.468101883908878,0.903925616691642,0.441652081807746,0.858276544238879
"Bovine herpesvirus 4",0.516263966370564,0.913977869895844,0.50038465936214,0.879818345345485
"Bovine herpesvirus 5",0.472529081831071,0.898441667737994,0.475703328755011,0.862281031743631
"Bovine herpesvirus 6",0.517368337692094,0.914986662937148,0.511664071664945,0.887583089470224
"Bovine herpesvirus type 1.2",0.443290271486967,0.887868806276348,0.432502355378361,0.852980114546569
"Bovine papillomavirus type 6",0.501961472376618,0.904860872970716,0.504527680792971,0.874554986491464
"Brevibacillus phage Emery",0.439990844232893,0.894184857607755,0.446100940249523,0.848476147074134
"Brochothrix phage A9",0.536738732588339,0.921619719863641,0.514961360683988,0.891481983020436
"Brochothrix phage BL3",0.410293313658467,0.887335004780137,0.408861059320297,0.845119010936637
"Brochothrix phage NF5",0.470411103502263,0.906161395411875,0.487826211389371,0.874454972896535
"Burkholderia phage AH2",0.487951494864943,0.907015978355138,0.453303065178508,0.856547632941368
"Burkholderia phage Bcep22",0.43447782393852,0.899441105533812,0.435862586083481,0.864938414923126
"Burkholderia phage BcepC6B",0.53951096769428,0.916150753677129,0.524235150225553,0.880016854282132
"Burkholderia phage BcepF1",0.470954634687688,0.901459413847023,0.465191238592293,0.855989478909947
"Burkholderia phage BcepGomr",0.45939933617349,0.897714073199224,0.444414713139161,0.858013120218722
"Burkholderia phage DC1",0.475176670509419,0.902351985011671,0.478346875884226,0.871555020025394
"Burkholderia phage JG068",0.467260309418138,0.907071164052149,0.504032780521341,0.881088115697245
"Burkholderia phage KL3",0.486912385254741,0.90917094566913,0.466748564163635,0.874419649747973
"Burkholderia phage phiE255",0.433370425414853,0.900475891102738,0.4409535483602,0.857349619531365
"Cafeteria roenbergensis virus BV-PW1",0.642913896350056,0.945239624123229,0.608423786024356,0.91576385486559
"Callitrichine herpesvirus 3",0.501374124615568,0.907651053961568,0.498665106149483,0.869205903100316
"Canarypox virus",0.463950563964333,0.908076729800841,0.468863587702153,0.874382934261765
"Canine papillomavirus 3",0.482423502157252,0.909501685351292,0.453346544620461,0.863189041936887
"Canis familiaris papillomavirus 13",0.476622907449145,0.896595969003146,0.474248648990614,0.864073960662235
"Cardioderma polyomavirus",0.530984997611206,0.920633150650356,0.521298410334513,0.889543926218718
"Carollia perspicillata polyomavirus 1",0.472127430610611,0.895222404262007,0.459037395856157,0.861097366987082
"Castor fiber papillomavirus 1 EES-2009",0.495638929132271,0.910638013658649,0.499895525869698,0.882525611670501
"Caulobacter phage rogue",0.506790994553624,0.905395821320238,0.469694866977761,0.863614510039152
"Caviid herpesvirus 2",0.506041046374233,0.913529950710237,0.484403157867004,0.870330255193894
