,Estimate,OddsRatio,
Shannon.s.Diversity,4.14E-14,1,
Nugent.score.cat1,1.01E-14,1,
Nugent.score.cat2,1.57E-14,1,
Age.cat3,51.13213557,1.60844E+22,
Age.cat4,51.13213557,1.60844E+22,
BMI.cat2,-102.2642711,3.86537E-45,
BMI.cat3,-102.2642711,3.86537E-45,
BMI.cat4,-153.3964067,2.40318E-67,
Ethnicity.cat2,-51.13213557,6.21721E-23,
Marital.Status.cat2,-51.13213557,6.21721E-23,
Highest.Education.Level.cat3,-6.38E-14,1,
Highest.Education.Level.cat4,5.69E-14,1,
Highest.Education.Level.cat5,5.64E-14,1,
Current.or.chronic.conditions...y.1..n.0.1,7.08E-14,1,
