"","var","pval","Fvalue"
"1","age",0.521748389141144,0.873154722966109
"2","bmi",0.601352655758191,0.764670778057459
"3","bv_life",0.758737338777332,0.561331756780849
"4","bv_infecttotal_1yr",0.919974442950084,0.326073884323859
"5","bv_infecttotal_2mo",0.860489557248182,0.422226971236801
"6","days.since.LMP",0.566531603549666,0.811400663740459
"7","Number.of.Different.HPV.Types",0.396554307797831,1.11459161147903
"8","Med.Duration",0.249376432912539,1.36247922356036
"9","Duration.of.HIV.Infection.",0.017842777015745,2.88272699501522
"10","CD4.Nadir.",0.85013335003734,0.428813924856719
"11","Highest.VL.Ever..",0.812497709853767,0.490007834750602
"12","CD4.",0.38152282438678,1.1361654108144
"13","VL..copies.mL..",0.399066900919163,1.06122953703622
"14","ShannonsDiversity",0.000962013323014253,4.58996752918595
