"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-44.5409963181416,275051.842278546,-0.000161936731450919,0.999870793182713
"Yeast..lifetime.",0.714374142398106,31708.954512742,2.25290979590967e-05,0.999982024380571
"Yeast..year.",0.397620198927588,29233.4277547056,1.3601559224049e-05,0.999989147525893
"probiotics.2.months1",-20.0419823284655,531111.321647487,-3.77359350320305e-05,0.999969891080058
"Other.Symptoms.2wks1",3.61059034248487,309102.534764263,1.16808823494071e-05,0.999990680004317
"Freq.anal.sex.cat1",-3.73382603359455,461224.083685859,-8.09547065226037e-06,0.999993540748954
"UTI.ever1",34.4286543789474,343532.316290039,0.00010021955066923,0.999920036367964
"Antimicrobial.Use..y.1..n.0.1",-18.3889980175358,426045.046771715,-4.31620978975706e-05,0.999965561628486
"X.Non..Prescription..y.1..n.0.1",17.8934623237663,325990.958218624,5.48894436261209e-05,0.999956204560402
"Irritation.Discomfort.2wks1",-43.3311496211613,942479.717886581,-4.59756839312439e-05,0.999963316711632
"Presence.Symptoms.48hrs1",12.8285624190986,614834.063414907,2.08650808119614e-05,0.999983352074161
"Abnormal.odor.48hrs1",17.2842748088717,529956.352037084,3.2614525219734e-05,0.999973977373874
"Symptom.pain1",-8.1952895909275,590616.090207943,-1.38758319097641e-05,0.999988928687951
"Vaginal.intercourse.in.past.48.hours..y.1..n.0.1",-11.6776911487192,306940.185932654,-3.80454944771599e-05,0.999969644087356
"Freq.sex.toy.use.cat1",6.04213166047562,603096.627442842,1.00185134280961e-05,0.999992006382814
"Feminine.products1",5.67560462795549,343143.94964308,1.65400107851499e-05,0.99998680298076
"Tampon.use.1mth1",33.7660533681905,379265.168271867,8.90301989029115e-05,0.999928964178944
"Sexual.Partners.cat1",9.45049151937907,973164.111731068,9.71109744539233e-06,0.99999225166528
"contraception.C.IUD1",7.13363263457792,626473.841939508,1.13869600883779e-05,0.999990914520351
