"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",642.719080230049,17747100.6705823,3.62154411675494e-05,0.999971104258636
"Abnormal.odor.2wks1",417.380938250115,10471426.7485481,3.98590324196258e-05,0.999968197093432
"Abnormal.odor.48hrs1",879.94841642755,24678830.8169883,3.56560010055993e-05,0.999971550627304
"Freq.sex.toy.use.cat1",978.64533328574,28300168.1514933,3.45809017122077e-05,0.999972408432431
"Yeast..lifetime.",22.5932701538494,632641.511228661,3.57125951314366e-05,0.999971505471725
"Symptom.pain1",662.339551275532,18721903.0584127,3.53777898116992e-05,0.99997177260772
"probiotics.2.months1",1127.28526883474,30397483.1514728,3.708482255644e-05,0.999970410592649
"Feminine.products.48hrs1",-2774.21575082762,77526707.5227964,-3.57840006298717e-05,0.99997144849838
"UTI.ever1",-2296.18971906935,64489424.3674463,-3.56056786301297e-05,0.99997159077875
"Chlamydia.ever1",884.704894240083,25627763.7945358,3.45213457300834e-05,0.999972455951229
"Feminine.products1",2789.67430412103,77527946.0425125,3.59828222792245e-05,0.999971289861656
"Yeast..year.",-58.2668545997301,1650283.88343315,-3.53071705932893e-05,0.999971828953704
"Presence.Symptoms.48hrs1",523.212572015202,14069689.810337,3.71872144353032e-05,0.99997032889575
"Abnormal.discharge.48hrs1",359.114083270004,11334019.9435149,3.16846172019912e-05,0.999974719333124
"Yeast..2months.",481.593390091252,13320263.2100172,3.61549454765338e-05,0.999971152527214
"Freq.oral.sex.cat1",-3197.54228627262,89159211.6070083,-3.58632857855069e-05,0.999971385237978
"Freq.oral.sex.cat2",-1485.21023272236,40421046.2466506,-3.67434881239727e-05,0.999970682938122
"Freq.oral.sex.cat3",-1844.32431599236,51773993.6705146,-3.56226009476783e-05,0.999971577276694
"Age.cat3",-348.41200821601,9001702.28021877,-3.87051245831186e-05,0.999969117778679
"Age.cat4",-1347.27237260769,38368201.7391752,-3.51142954722343e-05,0.999971982845785
