Variables	Estimate	OddsRatio
Shannon.s.Diversity	0.1266	1.134962942
Amsels.cat1	-0.06782	0.934428656
Agecat3	0.2019	1.223725629
Agecat4	0.1466	1.157890714
BMIcat2	-0.01143	0.988635074
BMIcat3	-0.04652	0.954545469
BMIcat4	-0.31845	0.727275441
Ethnicitycat2	0.1886	1.207557833
Ethnicitycat3	-1.1977	0.301887756
Ethnicitycat4	0.3064	1.358525608
Marital.Statuscat2	0.04124	1.04210218
Marital.Statuscat3	-0.01592	0.984206053
Highest.Education.Levelcat2	1.25E+00	3.500829709
Highest.Education.Levelcat3	1.23E+00	3.428078842
Highest.Education.Levelcat4	1.37E+00	3.92748786
Highest.Education.Levelcat5	6.93E-01	1.999905641
Current.or.chronic.conditions...y.1..n.0.	0.09393	1.098482849
Genital.Infections..y.1..n.0.	0.1598	1.173276192
BV..number.of.episodes.2.months.	0.2722	1.312849545
BV..number.of.episodes.year.	0.03203	1.032548481
BV..number.of.episodes.lifetime.	0.001016	1.001016516
Yeast..2months.	-0.1244	0.88302656
Yeast..year.	0.003705	1.003711872
Yeast..lifetime.	0.001786	1.001787596
UTI..2.months.	0.02311	1.023379105
UTI..year.	-0.04045	0.960357181
UTI..lifetime.	-0.01252	0.987558049
Trich..2.months.	NA	NA
Trich..year.	NA	NA
Trich..lifetime.	NA	NA
Genital.Warts..2months.	NA	NA
Genital.Warts..year.	NA	NA
Genital.Warts..lifetime.	-0.08701	0.916667929
Genital.Herpes..2months.	0.374	1.45353715
Genital.Herpes..year.	0.03813	1.038866277
Genital.Herpes..lifetime.	0.004832	1.004843693
Chlamydia..2.months.	0.374	1.45353715
Chlamydia..year.	-0.166	0.847046234
Chlamydia..lifetime.	-0.04423	0.956733883
Gonorrhea	NA	NA
Syphillis	NA	NA
Antimicrobial.Use..y.1..n.0.	2.20E-11	1
X.Non..Prescription..y.1..n.0.	0.1076	1.113602215
Freq.of.Menstrual.Periodcat2	0.2958	1.34420129
Freq.of.Menstrual.Periodcat3	0.4011	1.493466608
Tampon.Usecat2	-0.1823	0.833351298
Tampon.Usecat3	-0.4824	0.617300092
Tampon.Usecat4	-0.2719	0.76193045
Pregnancy.History..g.	-0.003992	0.996015957
Pregnancy.History..term.	0.02103	1.021252689
Pregnancy.History..p.	0.1393	1.149468889
Pregnancy.History..sa.	-0.158	0.853849782
Pregnancy.History..ta.	-0.008077	0.991955531
Pregnancy.History..l.	0.02075	1.020966778
Use.of.douche.products..y.1..n.0.	0.1393	1.149468889
Used.in.the.past.48.hours	0.1393	1.149468889
Use.of.feminine.wipes.or.genital.deodrant..y.1..n.0.	-0.4495	0.637947045
Used.in.past.48.hours	-0.614	0.541181807
Sexual.Partnerscat1	0.1301	1.138942272
Number.partners.in.past.2.monthscat1	-0.02281	0.977448181
Number.partners.in.past.2.monthscat2	-0.15415	0.85714344
Number.partners.in.past.yearcat1	-0.47	0.625002268
Number.partners.in.past.yearcat2	-0.2231	0.800034842
Vaginal.intercourse.in.past.48.hours..y.1..n.0.	0.1006	1.10583422
