"","Viral_Family","Vogue1A.01.61","Vogue1A.01.101","Vogue1A.01.52","Vogue1A.01.59","Vogue1A.01.62","Vogue1A.01.64","Vogue1A.01.71","Vogue1A.01.75","Vogue1A.01.76","Vogue1A.01.78","Vogue1A.01.81","Vogue1A.01.84","Vogue1A.01.85","Vogue1A.01.92","Vogue1A.01.106","Vogue1A.01.65","Vogue1A.01.68","Vogue1A.01.69","Vogue1A.01.70","Vogue1A.01.74","Vogue1A.01.77"
"2","Adenoviridae",76,18,16,9,48,23,25,10,198,8,20,22,5,21,24,31,19,23,15,27,13
"3","Alloherpesviridae",3,1,1,0,0,1,0,1,1,0,3,3,0,1,3,0,1,1,0,0,1
"4","Alphaflexiviridae",3,2,6,1,1,3,0,1,22,3,3,5,0,1,1,1,3,1,1,1,2
"5","Anelloviridae",0,0,8,1,1,33,1,0,1,0,337,0,0,0,1,34,1,6,0,0,0
"6","Ascoviridae",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","Baculoviridae",10,14,5,1,7,4,9,2,12,1,9,11,6,3,2,3,5,8,1,4,6
"8","Bicaudaviridae",0,0,0,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0
"9","Caudovirales",3,1,1,0,0,0,0,0,345,2,2,2,1,3,0,0,2,0,0,0,0
"10","Circoviridae",0,0,0,0,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0
"11","Coronaviridae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"12","Endornaviridae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"13","Flaviviridae",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"14","Fuselloviridae",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,2,0,2,1
"15","Hepadnaviridae",0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0
"16","Herpesviridae",102,61,63,12,84,83,95,82,837,33,47,84,24,52,82,239,85,107,40,69,76
"17","Hytrosaviridae",0,0,0,0,0,0,1,0,119,0,0,0,0,0,0,0,0,0,1,0,1
"18","Iridoviridae",3,2,2,0,1,1,2,0,32,0,1,0,0,2,4,1,2,3,1,4,1
"19","Lipothrixviridae",0,0,0,0,0,0,0,9,0,0,3,0,0,0,1,0,0,0,0,0,0
"20","Luteoviridae",0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"21","Marseilleviridae",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"22","Microviridae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"23","Mimiviridae",2,33,45,53,0,0,1,6,41,1,1,3,2,1,6,0,0,0,1,1,2
"24","Myoviridae",90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Nimaviridae",7,1,0,0,4,2,4,0,3,0,19,2,0,0,0,4,8,5,0,0,0
"26","Nudiviridae",2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
"27","Other dsDNA viruses",21,22,121,3,7,28,15,10,72,1,44,35,5,13,20,18,13,25,6,23,8
"28","Other Phages",4,NA,42,40,19,1,9,1,243,2,4,46,9,2,0,NA,NA,NA,NA,NA,NA
"29","Other ssDNA viruses",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
"30","Other ssRNA positive-strand viruses",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","Other Viruses",5,NA,10,9,3,2,2,36,795,1,37,2,94,12,2,NA,NA,NA,NA,NA,NA
"32","Papillomaviridae",9085,188,366,12,3637,209,332,246,134,1099164,216,231,293,284918,162,197,189,227,154,1072,4048
"33","Parvoviridae",0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"34","Phycodnaviridae",220,144,163,74,226,172,118,163,434,65,285,231,22,110,132,140,79,164,104,130,71
"35","Picornaviridae",72,1,5,10,3,9,6,6,1,1,0,6,1,2796,1,5,3,4,2,4,2
"36","Podoviridae",253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Polydnaviridae",21,34,29,3,6,25,16,5,168,2,43,31,4,23,43,15,16,27,3,20,10
"38","Polyomaviridae",1,0,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0
"39","Poxviridae",151,0,2,1,0,0,1,0,1,0,1,2,0,0,1,0,3,0,0,2,0
"40","Reoviridae",0,0,3,0,4,0,0,0,0,0,0,0,0,1,0,6,0,2,1,0,0
"41","Retroviridae",14,10,7,1,3,21,7,1,25,1,3,13,6,5,6,6,8,5,4,13,3
"42","Siphoviridae",391,NA,37,12,215,52,10,79,6674,50,77,466,18125,838,14,NA,NA,NA,NA,NA,NA
"43","Tombusviridae",0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0
"44","Tymoviridae",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","Virgaviridae",0,0,0,0,0,0,0,1,0,0,63,2,0,0,0,74,0,0,0,0,0
