"","Viral_Family","Vogue1B2.01.06","Vogue1B2.01.07","Vogue1B2.01.08","Vogue1B2.01.09","Vogue1B2.01.10","Vogue1B2.01.11","Vogue1B2.01.12","Vogue1B2.01.15"
"2","Adenoviridae",8,801,9,5,16,10,59,22
"3","Alloherpesviridae",0,2,1,0,6,2,0,0
"4","Alphaflexiviridae",0,1,2,0,1,1,2,0
"5","Baculoviridae",5,2,2,23,766,1,5,0
"6","Caliciviridae",0,0,0,0,0,0,7,0
"7","Circoviridae",7,0,0,0,0,0,0,0
"8","Flaviviridae",6,0,0,0,0,0,0,0
"9","Herpesviridae",35,170,60,31,138,86,22,24
"10","Iridoviridae",0,2,2,0,2,8,0,0
"11","Lipothrixviridae",12,0,0,1,0,0,1,0
"12","Mimiviridae",2,0,2,49,2,6,8,3
"13","Myoviridae",622,3,11,83,115,6,334,12
"14","Nimaviridae",0,0,0,0,1,0,3,0
"15","Nudiviridae",0,0,0,0,2,1,0,0
"16","Other dsDNA Viruses",34,14,16,2,146,30,7,3
"17","Other Phages",896,0,1,0,0,0,411,3
"18","Other Viruses",44,0,1,51,0,1,153,2
"19","Papillomaviridae",95421,189,111,130,433,167,43,88
"20","Phycodnaviridae",18,48,101,112,1222,46,238,35
"21","Picornaviridae",36,5,0,4,0,2,15,10
"22","Podoviridae",1053,4,3,194,4,4,10,19798
"23","Polydnaviridae",3,25,38,1,41,53,3,5
"24","Polyomaviridae",0,0,0,160,0,0,0,0
"25","Retroviridae",0,2,2,0,5,1,3,3
"26","Siphoviridae",6545,4,49,282,12,2,840,7
