,Viral_Family,Vogue1B2.01.11,Vogue1B2.01.06,Vogue1B2.01.07,Vogue1B2.01.08,Vogue1B2.01.09,Vogue1B2.01.10,Vogue1B2.01.12,Vogue1B2.01.15
2,Adenoviridae,10,8,804,9,6,17,60,22
3,Alloherpesviridae,2,1,2,1,0,7,0,0
4,Alphaflexiviridae,1,0,1,2,0,1,3,0
5,Anelloviridae,0,0,0,1,0,3,0,0
6,Arteriviridae,0,0,0,0,1,0,0,0
7,Ascoviridae,1,0,0,0,0,0,0,0
8,Baculoviridae,2,6,3,4,23,774,5,1
9,Bicaudaviridae,0,0,0,0,0,0,1,0
10,Caliciviridae,0,0,0,0,0,0,7,0
11,Caudovirales,0,46,0,0,2,0,1,0
12,Chrysoviridae,0,1,0,0,0,0,0,0
13,Circoviridae,0,9,0,0,0,0,0,0
14,Flaviviridae,0,6,0,0,0,0,0,0
15,Herpesviridae,91,36,171,61,32,147,23,25
16,Iridoviridae,8,0,2,2,0,2,0,0
17,Lipothrixviridae,0,12,0,0,1,0,1,0
18,Luteoviridae,0,1,0,0,0,0,0,0
19,Mimiviridae,6,3,0,3,49,2,8,3
20,Myoviridae,7,631,3,12,85,115,335,12
21,Nimaviridae,0,0,0,0,0,1,3,0
22,Nudiviridae,2,0,0,0,0,2,0,0
23,Other_dsDNA_viruses,30,10,14,17,3,146,6,3
24,Other_Phages,0,876,0,2,51,1,412,3
25,Other_Viruses,1,45,0,1,0,0,153,2
26,Papillomaviridae,168,95434,192,112,131,435,43,88
27,Parvoviridae,1,0,0,0,0,0,0,0
28,Phycodnaviridae,47,22,48,105,112,1227,238,37
29,Picornaviridae,2,36,5,0,4,0,16,10
30,Podoviridae,4,1054,4,4,197,5,10,19798
31,Polydnaviridae,53,3,25,38,1,41,3,5
32,Polyomaviridae,0,0,0,1,162,0,0,0
33,Poxviridae,1,0,1,0,4,0,3,0
34,Reoviridae,0,1,0,0,0,0,0,0
35,Retroviridae,5,0,3,3,0,7,3,3
36,Siphoviridae,2,6569,4,50,284,15,841,7
